slug,locale,,,,
animals,Animals,,,,
cat,Cat,❤️I like cats.,👀I saw a cat.,🔊What noise does a cat make?,🐈Can we get a cat as pet?
dog,Dog,❤️I like dog.,👀I saw a dog.,🔊What noise does a dog make?,🐕Can we get a dog as pet?
fish,Fish,❤️I like fish.,👀I saw a fish.,🔊What noise does a fish make?,🐠Can we get a fish as pet?
rabbit,Rabbit,❤️I like rabbits.,👀I saw a rabbit.,🔊What noise does a rabbit make?,🐇Can we get a rabbit as pet?
butterfly,Butterfly,❤️I like butterflies.,👀I saw a butterfly.,🔊What noise does a butterfly make?,
kangaroo,Kangaroo,❤️I like kangaroos.,👀I saw a kangaroo.,🔊What noise does a kangaroo make?,
turtle,Turtle,❤️I like turtles.,👀I saw a turtle.,🔊What noise does a turtle make?,
giraffe,Giraffe,❤️I like giraffes.,👀I saw a giraffe.,🔊What noise does a giraffe make?,
frog,Frog,❤️I like frogs.,👀I saw a frog.,🔊What noise does a frog make?,
swan,Swan,❤️I like swans.,👀I saw a swan.,🔊What noise does a swan make?,
spider,Spider,❤️I like spiders.,👀I saw a spider.,🔊What noise does a spider make?,
cow,Cow,❤️I like cows.,👀I saw a cow.,🔊What noise does a cow make?,
duck,Duck,❤️I like ducks.,👀I saw a duck.,🔊What noise does a duck make?,
horse,Horse,❤️I like horses.,👀I saw a horse.,🔊What noise does a horse make?,
chicken,Chicken,❤️I like chickens.,👀I saw a chicken.,🔊What noise does a chicken make?,
bee,Bee,❤️I like bees.,👀I saw a bee.,🔊What noise does a bee make?,
pig,Pig,❤️I like pigs.,👀I saw a pig.,🔊What noise does a pig make?,
dove,Dove,❤️I like doves.,👀I saw a dove.,🔊What noise does a dove make?,
crab,Crab,❤️I like crabs.,👀I saw a crab.,🔊What noise does a crab make?,
penguin,Penguin,❤️I like penguins.,👀I saw a penguin.,🔊What noise does a penguin make?,
elephant,Elephant,❤️I like elephants.,👀I saw an elephant.,🔊What noise does an elephant make?,
zebra,Zebra,❤️I like zebras.,👀I saw a zebra.,🔊What noise does a zebra make?,
panda,Panda,❤️I like pandas.,👀I saw a panda.,🔊What noise does a panda make?,
monkey,Monkey,❤️I like monkeys.,👀I saw a monkey.,🔊What noise does a monkey make?,
camel,Camel,❤️I like camels.,👀I saw a camel.,🔊What noise does a camel make?,
mouse,Mouse,❤️I like mice.,👀I saw a mouse.,🔊What noise does a mouse make?,
tiger,Tiger,❤️I like tigers.,👀I saw a tiger.,🔊What noise does a tiger make?,
jellyfish,Jellyfish,❤️I like jellyfishes.,👀I saw a jellyfish.,🔊What noise does a jellyfish make?,
crocodile,Crocodile,❤️I like crocodiles.,👀I saw a crocodile.,🔊What noise does a crocodile make?,
koala,Koala,❤️I like koalas.,👀I saw a koala.,🔊What noise does a koala make?,
ostrich,Ostrich,❤️I like ostriches.,👀I saw an ostrich.,🔊What noise does an ostrich make?,
racoon,Racoon,❤️I like racoons.,👀I saw a racoon.,🔊What noise does a racoon make?,
bat,Bat,❤️I like bats.,👀I saw a bat.,🔊What noise does a bat make?,
eagle,Eagle,❤️I like eagles.,👀I saw an eagle.,🔊What noise does an eagle make?,
hippopotamus,Hippopotamus,❤️I like hippopotamus.,👀I saw a hippopotamus.,🔊What noise does a hippopotamus make?,
seal,Seal,❤️I like seals.,👀I saw a seal.,🔊What noise does a seal make?,
walrus,Walrus,❤️I like walruses.,👀I saw a walrus.,🔊What noise does a walrus make?,
seahorse,Seahorse,❤️I like seahorses.,👀I saw a seahorse.,🔊What noise does a seahorse make?,
bull,Bull,❤️I like bulls.,👀I saw a bull.,🔊What noise does a bull make?,
pelican,Pelican,❤️I like pelicans.,👀I saw a pelican.,🔊What noise does a pelican make?,
beaver,Beaver,❤️I like beavers.,👀I saw a beaver.,🔊What noise does a beaver make?,
goldfish,Goldfish,❤️I like goldfishes.,👀I saw a goldfish.,🔊What noise does a goldfish make?,🐠Can we get a goldfish as pet?
rhinoceros,Rhinoceros,❤️I like rhinoceros.,👀I saw a rhinoceros.,🔊What noise does a rhinoceros make?,
snake,Snake,❤️I like snakes.,👀I saw a snake.,🔊What noise does a snake make?,
lion,Lion,❤️I like lions.,👀I saw a lion.,🔊What noise does a lion make?,
squid,Squid,❤️I like squids.,👀I saw a squid.,🔊What noise does a squid make?,
whale,Whale,❤️I like whales.,👀I saw a whale.,🔊What noise does a whale make?,
beetle,Beetle,❤️I like beetles.,👀I saw a beetle.,🔊What noise does a beetle make?,
dolphin,Dolphin,❤️I like dolphins.,👀I saw a dolphin.,🔊What noise does a dolphin make?,
starfish,Starfish,❤️I like starfishes.,👀I saw a starfish.,🔊What noise does a starfish make?,
parakeet,Parakeet,❤️I like parakeets.,👀I saw a parakeet.,🔊What noise does a parakeet make?,
owl,Owl,❤️I like owls.,👀I saw an owl.,🔊What noise does an owl make?,
sheep,Sheep,❤️I like sheeps.,👀I saw a sheep.,🔊What noise does a sheep make?,
