"activities","Activities","aktiviteter"
"walking","Walking","walking"
"walking_2","I like walking","Jeg liker å gå"
"walking_3","I don't like walking","Jeg liker ikke å gå"
"walking_4","Do you want to walk together?","Vil du gå sammen?"
"running","Running","Løping"
"running_2","I like running.","Jeg liker å løpe."
"running_3","I don't like running.","Jeg liker ikke å løpe."
"running_4","Do you want to go running?","Vil du løpe?"
"talking","Talking","snakke"
"talking_2","I like talking.","Jeg liker å snakke."
"talking_3","I don't like talking.","Jeg liker ikke å snakke."
"talking_4","Do you want to talk with me?","Ønsker du å snakke med meg?"
"reading","Reading","Lesning"
"reading_2","I like reading.","Jeg liker å lese."
"reading_3","I don't like reading.","Jeg liker ikke å lese."
"reading_4","Do you want to read together?","Vil du lese sammen?"
"football","Football","Fotball"
"football_2","I like playing football.","Jeg liker å spille fotball."
"football_3","I don't like playing football.","Jeg liker ikke å spille fotball."
"football_4","Do you want to play football?","Vil du spille fotball?"
"basketball","Basketball","basketball"
"basketball_2","I like playing basketball.","Jeg liker å spille basketball."
"basketball_3","I don't like playing basketball.","Jeg liker ikke å spille basketball."
"basketball_4","Do you want to play basketball?","Vil du spille basketball?"
"swimming","Swimming","svømming"
"swimming_2","I like swimming.","Jeg liker å svømme."
"swimming_3","I don't like swimming.","Jeg liker ikke å svømme."
"swimming_4","Do you want to go to swimming?","Vil du gå på svømming?"
"painting","Painting","Maleri"
"painting_2","I like painting.","Jeg liker å male."
"painting_3","I don't like painting.","Jeg liker ikke å male."
"painting_4","Do you want to paint together?","Vil du male sammen?"
"drawing","Drawing","Tegning"
"drawing_2","I like drawing.","Jeg liker å tegne."
"drawing_3","I don't like drawing.","Jeg liker ikke å tegne."
"drawing_4","Do you want to draw together?","Vil du tegne sammen?"
"cycling","Cycling","Sykling"
"cycling_2","I like cycling.","Jeg liker å sykle."
"cycling_3","I don't like cycling.","Jeg liker ikke å sykle."
"cycling_4","Do you want to go cycling?","Vil du sykle?"
"skating","Skating","skating"
"skating_2","I like skating.","Jeg liker å gå på skøyter."
"skating_3","I don't like skating.","Jeg liker ikke skøyter."
"skating_4","Do you want to go skating?","Vil du gå på skøyter?"
"sightseeing","Sightseeing","Sightseeing"
