"activities","Activities","Activități"
"walking","Walking","Mersul pe jos"
"walking_2","I like walking","Îmi place să merg pe jos"
"walking_3","I don't like walking","Nu-mi place să merg"
"walking_4","Do you want to walk together?","Vrei să mergi împreună?"
"running","Running","Alergare"
"running_2","I like running.","Îmi place să alerg."
"running_3","I don't like running.","Nu-mi place să alerg."
"running_4","Do you want to go running?","Vrei să alergi?"
"talking","Talking","vorbind"
"talking_2","I like talking.","Îmi place să vorbesc."
"talking_3","I don't like talking.","Nu-mi place să vorbesc."
"talking_4","Do you want to talk with me?","Vrei sa vorbesti cu mine?"
"reading","Reading","Citind"
"reading_2","I like reading.","Îmi place să citesc."
"reading_3","I don't like reading.","Nu-mi place să citesc."
"reading_4","Do you want to read together?","Vrei să citești împreună?"
"football","Football","Fotbal"
"football_2","I like playing football.","Imi place sa joc fotbal."
"football_3","I don't like playing football.","Nu-mi place să joc fotbal."
"football_4","Do you want to play football?","Vrei sa joci fotbal?"
"basketball","Basketball","Baschet"
"basketball_2","I like playing basketball.","Imi place sa joc baschet."
"basketball_3","I don't like playing basketball.","Nu-mi place să joc baschet."
"basketball_4","Do you want to play basketball?","Vrei să joci baschet?"
"swimming","Swimming","Înot"
"swimming_2","I like swimming.","Îmi place înotul."
"swimming_3","I don't like swimming.","Nu-mi place să înot."
"swimming_4","Do you want to go to swimming?","Vrei să mergi la înot?"
"painting","Painting","pictura"
"painting_2","I like painting.","Îmi place să pictez."
"painting_3","I don't like painting.","Nu-mi place să pictez."
"painting_4","Do you want to paint together?","Vrei să pictezi împreună?"
"drawing","Drawing","Desen"
"drawing_2","I like drawing.","Îmi place să desenez."
"drawing_3","I don't like drawing.","Nu-mi place să desenez."
"drawing_4","Do you want to draw together?","Vrei să desenezi împreună?"
"cycling","Cycling","Ciclism"
"cycling_2","I like cycling.","Îmi place ciclismul."
"cycling_3","I don't like cycling.","Nu-mi place ciclismul."
"cycling_4","Do you want to go cycling?","Vrei să mergi cu bicicleta?"
"skating","Skating","Patinaj"
"skating_2","I like skating.","Îmi place patinajul."
"skating_3","I don't like skating.","Nu-mi place patinajul."
"skating_4","Do you want to go skating?","Vrei să mergi la patinaj?"
"sightseeing","Sightseeing","Turistic"
"sightseeing_2","I like sightseeing.","Îmi plac obiectivele turistice."
"sightseeing_3","I don't like sightseeing.","Nu-mi plac obiectivele turistice."
"sightseeing_4","Do you want to go for sightseeing?","Vrei să mergi la vizitarea obiectivelor turistice?"
"video-games","Video games","Jocuri video"
"video-games_2","I like playing video games.","Îmi place să joc jocuri video."
"video-games_3","I don't like playing video games.","Nu-mi place să joc jocuri video."
"video-games_4","Do you want to play games?","Vrei să joci jocuri?"
"tidying","Tidying","tidying"
"tidying_2","I like tidying my room.","Îmi place să-mi îngrijesc camera."
"tidying_3","I don't like tidying my room.","Nu-mi place să-mi îngrijesc camera."
"tidying_4","Can you help me tidy my room?","Poți să mă ajuți să-mi aranjez camera?"
"toys","Toys","Jucării"
"toys_2","I like toys.","Îmi plac jucăriile."
"toys_3","I don't like toys.","Nu-mi plac jucăriile."
"toys_4","Do you want to play with my toys?","Vrei să te joci cu jucăriile mele?"
"puzzle","Puzzle","Puzzle"
"puzzle_2","I like solving puzzle.","Îmi place să rezolv puzzle."
"puzzle_3","I don't like solving puzzle.","Nu-mi place să rezolv puzzle."
"puzzle_4","Do you want to solve puzzles with me?","Vrei să rezolvi puzzle-uri cu mine?"
"comics","Comics","Benzi desenate"
"comics_2","I like reading comics.","Îmi place să citesc benzi desenate."
"comics_3","I don't like reading comics.","Nu-mi place să citesc benzi desenate."
"comics_4","Do you want to read comics?","Vrei să citești benzi desenate?"
"chess","Chess","Şah"
"chess_2","I like playing chess.","Îmi place să joace șah."
"chess_3","I don't like playing chess.","Nu-mi place să joace șah."
"chess_4","Do you want to play chess with me?","Vrei să joci șah cu mine?"
"using-leeloo","Using Leeloo","Folosind Leeloo"
"using-leeloo_2","I like using leeloo.","Îmi place să folosesc leeloo."
"using-leeloo_3","I don't like using leeloo.","Nu-mi place să folosesc leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Puteți schimba pachetele de carduri pe leeloo?"
"texting","Texting","Scriind"
"texting_2","I like texting.","Îmi place textul."
"texting_3","I don't like texting.","Nu-mi place textul."
"knitting","Knitting","Tricotare"
"knitting_2","I like knitting.","Îmi place să tricot."
"knitting_3","I don't like knitting.","Nu-mi place să tricot."
"knitting_4","I want to learn how to knit.","Vreau să învăț cum să tricot."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Îmi place bowling-ul."
"bowling_3","I don't like bowling.","Nu-mi place bowling-ul."
"bowling_4","Do you want to play bowling with me?","Vrei să joci bowling cu mine?"
