"activities","Activities","Mga Aktibidad"
"walking","Walking","Naglalakad"
"walking_2","I like walking","mahilig akong maglakad"
"walking_3","I don't like walking","Ayaw kong maglakad"
"walking_4","Do you want to walk together?","Gusto mo bang maglakad nang magkasama?"
"running","Running","Tumatakbo"
"running_2","I like running.","Para akong tumatakbo."
"running_3","I don't like running.","Ayaw kong tumakbo."
"running_4","Do you want to go running?","Gusto mo bang tumakbo?"
"talking","Talking","Nakikipag-usap"
"talking_2","I like talking.","Gusto kong magsalita."
"talking_3","I don't like talking.","Ayaw kong magsalita."
"talking_4","Do you want to talk with me?","Gusto mo ba akong makausap?"
"reading","Reading","Pagbasa"
"reading_2","I like reading.","Gusto kong magbasa."
"reading_3","I don't like reading.","Ayaw kong magbasa"
"reading_4","Do you want to read together?","Nais mo bang basahin nang magkasama?"
"football","Football","Football"
"football_2","I like playing football.","Gusto ko maglaro ng football."
"football_3","I don't like playing football.","Hindi ko gusto maglaro ng football."
"football_4","Do you want to play football?","Gusto mo bang maglaro ng football?"
"basketball","Basketball","Basketball"
"basketball_2","I like playing basketball.","Gusto ko maglaro ng basketball."
"basketball_3","I don't like playing basketball.","Hindi ko gusto maglaro ng basketball."
"basketball_4","Do you want to play basketball?","Gusto mo bang maglaro ng basketball?"
"swimming","Swimming","Paglangoy"
"swimming_2","I like swimming.","Gusto ko lumangoy."
"swimming_3","I don't like swimming.","Hindi ko gusto ang paglangoy."
"swimming_4","Do you want to go to swimming?","Gusto mo bang mag-swimming?"
"painting","Painting","Pagpipinta"
"painting_2","I like painting.","Gusto kong magpinta."
"painting_3","I don't like painting.","Hindi ko gusto ang pagpipinta."
"painting_4","Do you want to paint together?","Nais mo bang magpinta nang magkasama?"
"drawing","Drawing","Pagguhit"
"drawing_2","I like drawing.","Mahilig ako magdrawing."
"drawing_3","I don't like drawing.","Hindi ko gusto ang pagguhit."
"drawing_4","Do you want to draw together?","Nais mo bang gumuhit?"
"cycling","Cycling","Pagbibisikleta"
"cycling_2","I like cycling.","Gusto ko ang pagbibisikleta."
"cycling_3","I don't like cycling.","Hindi ko gusto ang pagbibisikleta."
"cycling_4","Do you want to go cycling?","Gusto mo bang mag-cycling?"
"skating","Skating","Skating"
"skating_2","I like skating.","Gusto ko ng skating."
"skating_3","I don't like skating.","Hindi ko gusto ang skate."
"skating_4","Do you want to go skating?","Gusto mo bang mag-skate?"
"sightseeing","Sightseeing","Paglilibot"
"sightseeing_2","I like sightseeing.","Gusto ko ang pamamasyal."
"sightseeing_3","I don't like sightseeing.","Hindi ko gusto ang pamamasyal."
"sightseeing_4","Do you want to go for sightseeing?","Nais mo bang pumunta para sa paglalakbay?"
"video-games","Video games","Mga larong video"
"video-games_2","I like playing video games.","Gusto ko maglaro ng mga video game."
"video-games_3","I don't like playing video games.","Hindi ko gusto ang paglalaro ng mga video game."
"video-games_4","Do you want to play games?","Nais mo bang maglaro?"
"tidying","Tidying","Tidying"
"tidying_2","I like tidying my room.","Gusto kong mag-tid ang aking silid."
"tidying_3","I don't like tidying my room.","Hindi ko gusto ang pag-tid sa aking silid."
"tidying_4","Can you help me tidy my room?","Maaari mo bang tulungan akong maglinis ng aking silid?"
"toys","Toys","Mga Laruan"
"toys_2","I like toys.","Gusto ko ng mga laruan."
"toys_3","I don't like toys.","Hindi ko gusto ang mga laruan."
"toys_4","Do you want to play with my toys?","Gusto mo bang makipaglaro sa mga laruan ko?"
"puzzle","Puzzle","Palaisipan"
"puzzle_2","I like solving puzzle.","Gusto kong malutas ang puzzle."
"puzzle_3","I don't like solving puzzle.","Hindi ko gusto ang paglutas ng puzzle."
"puzzle_4","Do you want to solve puzzles with me?","Nais mo bang malutas ang mga puzzle sa akin?"
"comics","Comics","Komiks"
"comics_2","I like reading comics.","Gusto kong magbasa ng mga komiks."
"comics_3","I don't like reading comics.","Hindi ko gusto ang pagbabasa ng mga komiks."
"comics_4","Do you want to read comics?","Nais mo bang magbasa ng mga komiks?"
"chess","Chess","Chess"
"chess_2","I like playing chess.","Gusto ko maglaro ng chess."
"chess_3","I don't like playing chess.","Hindi ako mahilig maglaro ng chess."
"chess_4","Do you want to play chess with me?","Gusto mo bang maglaro ng chess sa akin?"
"using-leeloo","Using Leeloo","Gamit ang Leeloo"
"using-leeloo_2","I like using leeloo.","Gusto kong gumamit ng leeloo."
"using-leeloo_3","I don't like using leeloo.","Hindi ko gusto ang paggamit ng leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Maaari mong baguhin ang mga pack ng card sa leeloo?"
"texting","Texting","Pag-text"
"texting_2","I like texting.","Gusto ko magtext."
"texting_3","I don't like texting.","Hindi ko gusto ang pag-text."
"knitting","Knitting","Pagniniting"
"knitting_2","I like knitting.","Gusto ko ang pagniniting."
"knitting_3","I don't like knitting.","Hindi ko gusto ang pagniniting."
"knitting_4","I want to learn how to knit.","Gusto kong malaman kung paano mangunot."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Para akong bowling."
"bowling_3","I don't like bowling.","Hindi ko gusto ang bowling."
"bowling_4","Do you want to play bowling with me?","Gusto mo bang maglaro ng bowling sa akin?"
"watching-tv","Watching TV","Nanonood ng TV"
"watching-tv_2","I like watching tv.","Gusto ko ang panonood ng telebisyon."
"watching-tv_3","I don't like watching tv.","Hindi ko gusto ang panonood sa tv."
"watching-tv_4","Do you want to watch tv?","Gusto mo bang manood ng tv?"
"fishing","Fishing","Pangingisda"
"fishing_2","I like fishing.","Gusto ko pangingisda."
"fishing_3","I don't like fishing.","Hindi ko gusto ang pangingisda."
"fishing_4","Do you want to go to fishing?","Gusto mo bang mangisda?"
"exercising","Exercising","Pagsasanay"
"exercising_2","I like exercising.","Gusto ko mag-ehersisyo."
"exercising_3","I don't like exercising.","Ayaw kong mag-ehersisyo."
"exercising_4","Do you want to exercise with me?","Gusto mo bang mag-ehersisyo sa akin?"
"tennis","Tennis","Tennis"
"tennis_2","I like playing tennis.","Para akong naglalaro ng tennis."
"tennis_3","I don't like playing tennis.","Hindi ako mahilig maglaro ng tennis."
"tennis_4","Do you want to play tennis with me?","Gusto mo bang maglaro ng tennis sa akin?"
"animals","Animals","Mga Hayop"
"cat","Cat","Cat"
"cat_2","I like cats.","Gusto ko ng mga pusa."
"cat_3","I saw a cat.","May nakita akong pusa."
"cat_4","What noise does a cat make?","Anong ingay ang ginagawa ng isang pusa?"
"cat_5","Can we get a cat as pet?","Maaari ba tayong makakuha ng isang pusa bilang alagang hayop?"
"dog","Dog","Aso"
"dog_2","I like dog.","Gusto ko ng aso."
"dog_3","I saw a dog.","May nakita akong aso."
"dog_4","What noise does a dog make?","Anong ingay ang ginagawa ng isang aso?"
"dog_5","Can we get a dog as pet?","Maaari ba tayong makakuha ng isang aso bilang alagang hayop?"
"fish","Fish","Isda"
"fish_2","I like fish.","Gusto ko ng isda."
"fish_3","I saw a fish.","May nakita akong isda."
"fish_4","What noise does a fish make?","Anong ingay ang ginagawa ng isang isda?"
"fish_5","Can we get a fish as pet?","Maaari ba tayong makakuha ng isang isda bilang alagang hayop?"
"rabbit","Rabbit","Kuneho"
"rabbit_2","I like rabbits.","Gusto ko ng mga kuneho."
"rabbit_3","I saw a rabbit.","Nakita ko ang isang kuneho."
"rabbit_4","What noise does a rabbit make?","Anong ingay ang ginagawa ng isang kuneho?"
"rabbit_5","Can we get a rabbit as pet?","Maaari ba tayong makakuha ng isang kuneho bilang pet?"
"butterfly","Butterfly","Butterfly"
"butterfly_2","I like butterflies.","Gusto ko ng butterflies."
"butterfly_3","I saw a butterfly.","Nakakita ako ng butterfly."
"butterfly_4","What noise does a butterfly make?","Anong ingay ang ginagawa ng isang butterfly?"
"kangaroo","Kangaroo","Kangaroo"
"kangaroo_2","I like kangaroos.","Gusto ko ng mga kangaro."
"kangaroo_3","I saw a kangaroo.","Nakita ko ang isang kangaroo."
"kangaroo_4","What noise does a kangaroo make?","Anong ingay ang ginagawa ng isang kangaroo?"
"turtle","Turtle","Pagong"
"turtle_2","I like turtles.","Mahilig ako sa pagong."
"turtle_3","I saw a turtle.","Nakita ko ang isang pagong."
"turtle_4","What noise does a turtle make?","Anong ingay ang ginagawa ng isang pagong?"
"giraffe","Giraffe","Giraffe"
"giraffe_2","I like giraffes.","Gusto ko ng mga giraffes."
"giraffe_3","I saw a giraffe.","Nakita ko ang isang dyirap."
"giraffe_4","What noise does a giraffe make?","Anong ingay ang ginagawa ng isang dyirap?"
"frog","Frog","Palaka"
"frog_2","I like frogs.","Gusto ko ng mga palaka."
"frog_3","I saw a frog.","Nakita ko ang isang palaka."
"frog_4","What noise does a frog make?","Anong ingay ang ginagawa ng isang palaka?"
"swan","Swan","Swan"
"swan_2","I like swans.","Gusto ko swans."
"swan_3","I saw a swan.","Nakita ko ang isang swan."
"swan_4","What noise does a swan make?","Anong ingay ang ginagawa ng isang swan?"
"spider","Spider","Spider"
"spider_2","I like spiders.","Gusto ko ng mga spider."
"spider_3","I saw a spider.","Nakita ko ang isang spider."
"spider_4","What noise does a spider make?","Anong ingay ang ginagawa ng isang spider?"
"cow","Cow","Baka"
"cow_2","I like cows.","Gusto ko ng mga baka."
"cow_3","I saw a cow.","Nakita ko ang isang baka."
"cow_4","What noise does a cow make?","Anong ingay ang ginagawa ng isang baka?"
"duck","Duck","Itik"
"duck_2","I like ducks.","Gusto ko ng mga pato."
"duck_3","I saw a duck.","Nakita ko ang isang pato."
"duck_4","What noise does a duck make?","Anong ingay ang ginagawa ng isang pato?"
"horse","Horse","Kabayo"
"horse_2","I like horses.","Gusto ko ng kabayo."
"horse_3","I saw a horse.","May nakita akong kabayo."
"horse_4","What noise does a horse make?","Anong ingay ang ginagawa ng isang kabayo?"
"chicken","Chicken","Manok"
"chicken_2","I like chickens.","Gusto ko ng manok."
"chicken_3","I saw a chicken.","May nakita akong manok."
"chicken_4","What noise does a chicken make?","Anong ingay ang ginagawa ng isang manok?"
"bee","Bee","Bee"
"bee_2","I like bees.","Gusto ko ng mga bubuyog."
"bee_3","I saw a bee.","Nakita ko ang isang bubuyog."
"bee_4","What noise does a bee make?","Anong ingay ang ginagawa ng isang bubuyog?"
"pig","Pig","Baboy"
"pig_2","I like pigs.","Gusto ko ng baboy."
"pig_3","I saw a pig.","Nakita ko ang isang baboy."
"pig_4","What noise does a pig make?","Anong ingay ang ginagawa ng isang baboy?"
"dove","Dove","Dove"
"dove_2","I like doves.","Gusto ko ng mga kalapati."
"dove_3","I saw a dove.","Nakita ko ang kalapati."
"dove_4","What noise does a dove make?","Anong ingay ang ginagawa ng isang kalapati?"
"crab","Crab","Crab"
"crab_2","I like crabs.","Gusto ko ng mga crab."
"crab_3","I saw a crab.","Nakita ko ang isang alimango."
"crab_4","What noise does a crab make?","Anong ingay ang ginagawa ng isang alimango?"
"penguin","Penguin","Penguin"
"penguin_2","I like penguins.","Gusto ko ng mga penguin."
"penguin_3","I saw a penguin.","Nakita ko ang isang penguin."
"penguin_4","What noise does a penguin make?","Anong ingay ang ginagawa ng isang penguin?"
"elephant","Elephant","Elephant"
"elephant_2","I like elephants.","Gusto ko ng mga elepante."
"elephant_3","I saw an elephant.","Nakita ko ang isang elepante."
"elephant_4","What noise does an elephant make?","Anong ingay ang ginagawa ng isang elepante?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Gusto ko ng mga zebras."
"zebra_3","I saw a zebra.","Nakita ko ang isang zebra."
"zebra_4","What noise does a zebra make?","Anong ingay ang ginagawa ng isang zebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Gusto ko ng mga pandas."
"panda_3","I saw a panda.","Nakita ko ang isang panda."
"panda_4","What noise does a panda make?","Anong ingay ang ginagawa ng isang panda?"
"monkey","Monkey","Unggoy"
"monkey_2","I like monkeys.","Gusto ko ng mga unggoy."
"monkey_3","I saw a monkey.","Nakita ko ang unggoy."
"monkey_4","What noise does a monkey make?","Anong ingay ang ginagawa ng unggoy?"
"camel","Camel","Kamelyo"
"camel_2","I like camels.","Gusto ko ng mga kamelyo."
"camel_3","I saw a camel.","Nakita ko ang isang kamelyo."
"camel_4","What noise does a camel make?","Anong ingay ang ginagawa ng isang kamelyo?"
"mouse","Mouse","Mouse"
"mouse_2","I like mice.","Gusto ko ng mga daga."
"mouse_3","I saw a mouse.","Nakita ko ang isang daga."
"mouse_4","What noise does a mouse make?","Anong ingay ang ginagawa ng isang mouse?"
"tiger","Tiger","Tigre"
"tiger_2","I like tigers.","Gusto ko ng tigre."
"tiger_3","I saw a tiger.","Nakita ko ang isang tigre."
