slug,locale,,,,,,,
food,Food,,,,,,,
hungry,Hungry,‼️I'm hungry.,❓Are you hungry?,🙋Can you make me food?,🍳What is for dinner?,,,
thirsty,Thirsty,‼️I'm thirsty.,🌊Can I have some water?,🥛Can I have a glass of water?,🙋I want something to drink.,,,
cutlery,Cutlery,🙋I need cutlery.,🍽️Help me use cutlery.,🍴I need a fork.,🥄I need a spoon.,🥢I need chopsticks.,🔪I need a knife.,🧻I need a napkin.
apple,Apple,❤️I like apple.,❌I don't like apple.,🙋I want to eat an apple.,,,,
carrot,Carrot,❤️I like carrot.,❌I don't like carrot.,🙋I want to eat a carrot.,,,,
beans,Beans,❤️I like beans.,❌I don't like beans.,🙋I want to eat beans.,,,,
chicken,Chicken,❤️I like chicken.,❌I don't like chicken.,🙋I want to eat chicken.,🍗I want fried chicken.,🐣I want boiled chicken.,,
chocolate,Chocolate,❤️I like chocolate.,❌I don't like chocolate.,🙋I want to eat chocolate.,⚫I want dark chocolate.,⚪I want white chocolate.,,
milk,Milk,❤️I like milk.,❌I don't like milk.,🙋I want to drink milk.,🍳Can I have a glass of milk?,,,
sandwich,Sandwich,❤️I like sandwich.,❌I don't like sandwich.,🙋I want to eat a sandwich.,🍳Can you make me a sandwich?,,,
steak,Steak,❤️I like steak.,❌I don't like steak.,🙋I want to eat steak.,🍳Can you cook steak for me?,,,
banana,Banana,❤️I like banana.,❌I don't like banana.,🙋I want to eat a banana.,,,,
pie,Pie,❤️I like pie.,❌I don't like pie.,🙋I want to eat pie.,🍳Can you bake pie for me?,,,
egg,Egg,❤️I like egg.,❌I don't like egg.,🙋I want to eat egg.,🍳I want fried eggs.,🥚I want boiled eggs.,,
noodles,Noodles,❤️I like noodles.,❌I don't like noodles.,🙋I want to eat noodles.,🍳Can you cook noodles for me?,,,
salt,Salt,🙋I want salt.,❓Can you pass me the salt?,🧂Food is too salty.,🧂My food needs some salt.,,,
spices,Spices,❤️I like spicy food.,❌I don't like spicy food.,🙋I want paprika.,⚫I want black pepper.,,,
pizza,Pizza,❤️I like pizza.,❌I don't like pizza.,🙋I want to eat pizza.,🍳Can you cook pizza for me?,☝️Can we order pizza?,,
cheese,Cheese,❤️I like cheese.,❌I don't like cheese.,🙋I want to eat cheese.,,,,
fish,Fish,❤️I like fish.,❌I don't like fish.,🙋I want to eat fish.,🍳Can you cook fish for me?,,,
ice-cream,Ice cream,❤️I like ice cream.,❌I don't like ice cream.,🙋I want to eat ice cream.,☝️Can you buy ice cream for me?,,,
tea,Tea,❤️I like tea.,❌I don't like tea.,🙋I want to drink tea.,🍳Can you make tea for me?,,,
coffee,Coffee,❤️I like coffee.,❌I don't like coffee.,🙋I want to drink coffee.,🍳Can you make coffee for me?,,,
tomato,Tomato,❤️I like tomato.,❌I don't like tomato.,🙋I want to eat tomato.,,,,
cereal,Cereal,❤️I like cereal.,❌I don't like cereal.,🙋I want to eat cereal.,🍳Can you make me cereal?,,,
burger,Burger,❤️I like burger.,❌I don't like burger.,🙋I want to eat burger.,🍳Can you cook burger for me?,☝️Can we order burger?,,
french-fries,French fries,❤️I like french fries.,❌I don't like french fries.,🙋I want to eat french fries.,🍳Can you cook french fries for me?,☝️Can we order french fries?,,
spinach,Spinach,❤️I like spinach.,❌I don't like spinach.,🙋I want to eat spinach.,,,,
rice,Rice,❤️I like rice.,❌I don't like rice.,🙋I want to eat rice.,🍳Can you cook rice for me?,,,
bread,Bread,❤️I like bread.,❌I don't like bread.,🙋I want to eat bread.,☝️Can you buy some bread?,,,
pasta,Pasta,❤️I like pasta.,❌I don't like pasta.,🙋I want to eat pasta.,🍳Can you cook pasta for me?,,,
sauce,Sauce,❤️I like sauce.,❌I don't like sauce.,🙋I want some sauce.,🔴Can I have ketchup?,⚪Can I have mayonnaise?,🟡Can I have mustard?,🚜Can I have ranch sauce?
kebab,Kebab,❤️I like kebab.,❌I don't like kebab.,🙋I want to eat kebab.,🍳Can you cook kebab for me?,☝️Can we order kebab?,,
