"activities","Activities","Activités"
"walking","Walking","En marchant"
"walking_2","I like walking","J'aime marcher"
"walking_3","I don't like walking","Je n'aime pas marcher"
"walking_4","Do you want to walk together?","Voulez-vous marcher ensemble?"
"running","Running","Fonctionnement"
"running_2","I like running.","J'aime courir."
"running_3","I don't like running.","Je n'aime pas courir."
"running_4","Do you want to go running?","Voulez-vous aller courir?"
"talking","Talking","Parlant"
"talking_2","I like talking.","J'aime parler."
"talking_3","I don't like talking.","Je n'aime pas parler."
"talking_4","Do you want to talk with me?","Veux-tu parler avec moi?"
"reading","Reading","En train de lire"
"reading_2","I like reading.","J'aime lire."
"reading_3","I don't like reading.","Je n'aime pas lire."
"reading_4","Do you want to read together?","Voulez-vous lire ensemble?"
"football","Football","Football"
"football_2","I like playing football.","J'aime jouer au football."
"football_3","I don't like playing football.","Je n'aime pas jouer au football."
"football_4","Do you want to play football?","Veux-tu jouer au football?"
"basketball","Basketball","Basketball"
"basketball_2","I like playing basketball.","J'aime jouer au basketball."
"basketball_3","I don't like playing basketball.","Je n'aime pas jouer au basket."
"basketball_4","Do you want to play basketball?","Voulez-vous jouer au basket?"
"swimming","Swimming","La natation"
"swimming_2","I like swimming.","J'aime nager."
"swimming_3","I don't like swimming.","Je n'aime pas nager."
"swimming_4","Do you want to go to swimming?","Voulez-vous aller nager?"
"painting","Painting","La peinture"
"painting_2","I like painting.","J'aime peindre."
"painting_3","I don't like painting.","Je n'aime pas peindre."
"painting_4","Do you want to paint together?","Voulez-vous peindre ensemble?"
"drawing","Drawing","Dessin"
"drawing_2","I like drawing.","J'aime dessiner."
"drawing_3","I don't like drawing.","Je n'aime pas dessiner."
"drawing_4","Do you want to draw together?","Voulez-vous vous rapprocher?"
"cycling","Cycling","Cyclisme"
"cycling_2","I like cycling.","J'aime faire du vélo."
"cycling_3","I don't like cycling.","Je n'aime pas faire du vélo."
"cycling_4","Do you want to go cycling?","Voulez-vous faire du vélo?"
"skating","Skating","Patinage"
"skating_2","I like skating.","J'aime patiner."
"skating_3","I don't like skating.","Je n'aime pas patiner."
"skating_4","Do you want to go skating?","Voulez-vous aller patiner?"
"sightseeing","Sightseeing","Tourisme"
"sightseeing_2","I like sightseeing.","J'aime faire du tourisme."
"sightseeing_3","I don't like sightseeing.","Je n'aime pas faire du tourisme."
"sightseeing_4","Do you want to go for sightseeing?","Voulez-vous faire du tourisme?"
"video-games","Video games","Jeux vidéo"
"video-games_2","I like playing video games.","J'aime jouer aux jeux vidéos."
"video-games_3","I don't like playing video games.","Je n'aime pas jouer aux jeux vidéo."
"video-games_4","Do you want to play games?","Voulez-vous jouer à des jeux?"
"tidying","Tidying","Rangement"
"tidying_2","I like tidying my room.","J'aime ranger ma chambre."
"tidying_3","I don't like tidying my room.","Je n'aime pas ranger ma chambre."
