"activities","Activities","गतिविधिहरू"
"walking","Walking","हिड्दै"
"walking_2","I like walking","मलाई हिंड्न मन पर्छ"
"walking_3","I don't like walking","मलाई हिंड्न मन परेन"
"walking_4","Do you want to walk together?","के तपाई सँगै हिड्न चाहानुहुन्छ?"
"running","Running","चालु छ"
"running_2","I like running.","मलाई दौडिन मन पर्छ।"
"running_3","I don't like running.","मलाई भाग्न मन पर्दैन।"
"running_4","Do you want to go running?","के तपाई भाग्न चाहानुहुन्छ?"
"talking","Talking","कुरा गर्दै"
"talking_2","I like talking.","मलाई बोल्न मन पर्छ।"
"talking_3","I don't like talking.","मलाई कुरा गर्न मन पर्दैन।"
"talking_4","Do you want to talk with me?","के तपाईं म संग कुरा गर्न चाहानुहुन्छ?"
"reading","Reading","पढ्दै"
"reading_2","I like reading.","मलाई पढ्न मन पर्छ।"
"reading_3","I don't like reading.","मलाई पढ्न मन पर्दैन।"
"reading_4","Do you want to read together?","के तपाई सँगै पढ्न चाहानुहुन्छ?"
"football","Football","फुटबल"
"football_2","I like playing football.","मलाई फुटबल खेल्न मन पर्छ।"
"football_3","I don't like playing football.","मलाई फुटबल खेल्न मनपर्दैन।"
"football_4","Do you want to play football?","के तपाइँ फुटबल खेल्न चाहानुहुन्छ?"
"basketball","Basketball","बास्केटबल"
"basketball_2","I like playing basketball.","मलाई बास्केटबल खेल्न मन पर्छ।"
"basketball_3","I don't like playing basketball.","मलाई बास्केटबल मनपर्दैन।"
"basketball_4","Do you want to play basketball?","के तपाई बास्केटबल खेल्न चाहानुहुन्छ?"
"swimming","Swimming","पौंडी"
"swimming_2","I like swimming.","मलाई पौडी खेल्न मन पर्छ।"
"swimming_3","I don't like swimming.","मलाई पौडी खेल्न मन पर्दैन।"
"swimming_4","Do you want to go to swimming?","के तपाइँ पौडी खेल्न जान चाहानुहुन्छ?"
"painting","Painting","चित्रकारी"
"painting_2","I like painting.","मलाई चित्रकला मन पर्छ"
"painting_3","I don't like painting.","मलाई चित्रकला मन पर्दैन।"
"painting_4","Do you want to paint together?","के तपाई सँगै रंग्न चाहानुहुन्छ?"
"drawing","Drawing","रेखाचित्र"
"drawing_2","I like drawing.","मलाई चित्रकला मन पर्छ।"
"drawing_3","I don't like drawing.","मलाई चित्रकलाइ मन पर्दैन।"
"drawing_4","Do you want to draw together?","के तपाईं सँगै चित्रित गर्न चाहानुहुन्छ?"
"cycling","Cycling","साइक्लि"
"cycling_2","I like cycling.","मलाई साइकल चलाउन मन पर्छ।"
"cycling_3","I don't like cycling.","मलाई साइकल चलाउन मन पराउँदैन।"
"cycling_4","Do you want to go cycling?","के तपाई साइकल चलाउन चाहानुहुन्छ?"
"skating","Skating","स्केटिंग"
"skating_2","I like skating.","मलाई स्केटिंग मन पर्छ।"
"skating_3","I don't like skating.","मलाई स्केटिंग मन पर्दैन।"
