"Leeloo", "Leeloo"
"Hello $1", "Kamusta $1"
"$1 packs", "Mga pack ng $1"
"$1 cards", "Mga $1 card"
"ACTIVE", "Aktibo"
"This is a test voice!", "Ito ay isang boses ng pagsubok!"
"New Profile", "Bagong Profile"
"Create a new application user profile.", "Lumikha ng isang bagong profile ng gumagamit ng application."
"Profile Name", "Pangalan ng profile"
"You can give your child's name", "Maaari mong ibigay ang pangalan ng iyong anak"
"Profile Avatar", "Profile Avatar"
"Choose an avatar that looks like the user of this profile", "Pumili ng isang avatar na mukhang gumagamit ng profile na ito"
"Assistive Cards Packs", "Mga Pakete ng Mga Pantulong na Card"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Magtatakda kami ng mga default na card para sa profile na ito. Maaari kang magdagdag o mag-alis ng mga pack card na tumutulong pagkatapos lumikha"
"Change Avatar", "Baguhin ang Avatar"
"Choose an avatar to symbolize this profile", "Pumili ng isang avatar upang simbolo ang profile na ito"
"My Account", "Aking Account"
"Make changes to the owner of this account.", "Gumawa ng mga pagbabago sa may-ari ng account na ito."
"Your Name", "Ang pangalan mo"
"Name of account handler or parent", "Pangalan ng handler ng account o magulang"
"Email Address", "Email Address"
"We will send updates and analytics", "Padalhan kami ng mga update at analytics"
"Account ID", "Account ID"
"This is an unchangeable ID we might ask from you", "Ito ay isang hindi nababago na ID na maaari naming hilingin sa iyo"
"Language", "Wika"
"Choose the language for app interface and assistive cards", "Piliin ang wika para sa interface ng app at mga assist card"
"Based On Your Device", "Batay sa Iyong aparato"
"Languages from your native settings", "Mga wika mula sa iyong mga katutubong setting"
"Supported Languages", "Mga Suportadong Wika"
"All the languages that assistive cards support", "Ang lahat ng mga wika na sumusuporta sa mga kard"
"Text-to-Speech Voice", "Voice-to-Speech Voice"
"Select the text-to-speech voice driver", "Piliin ang driver ng voice-to-speech na boses"
"Based On Your Location", "Batay Sa Iyong Lokasyon"
"Voice drivers that match with both your language and location", "Mga driver ng boses na tumutugma sa iyong wika at lokasyon"
"All Supported Voice Drivers", "Lahat ng Sinusuportahan na Mga driver ng Voice"
"List of all accents and supported voice drivers for your language", "Listahan ng lahat ng mga accent at suportadong mga driver ng boses para sa iyong wika"
"Notifications", "Mga Abiso"
"Choose when and why you would like to be notified by the app", "Piliin kung kailan at bakit nais mong ma-notify ng app"
"Reminders", "Mga Paalala"
"We will remind you to use and practice the app", "Ipapaalala namin sa iyo na gamitin at pagsasanay ang app"
"Daily Reminders", "Pang-araw-araw na Paalala"
"We will send you reminder to practice daily", "Padadalhan ka namin ng paalala upang magsagawa araw-araw"
"Weekly Reminders", "Lingguhang Paalala"
"We will send you reminder to practice weekly", "Padadalhan ka namin ng paalala upang magsanay lingguhan"
"Tips & Promotions", "Mga Tip at Promosyon"
"Decide if you like us to send you tips for using the app or new promotions", "Magpasya kung nais mo kaming magpadala sa iyo ng mga tip para sa paggamit ng app o bagong mga promo"
"Usability Tips", "Mga Tip sa Paggamit"
"How to effectively use the app", "Paano mabisang gamitin ang app"
"Promotions", "Mga Promosyon"
"Let us notify you when we have a discount for the subscription", "Ipaalam namin sa iyo kapag mayroon kaming isang diskwento para sa subscription"
"Subscriptions", "Mga subscription"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Pamahalaan ang iyong mga subscription at mga pagbili ng Leeloo Premium at lumipat sa pagitan ng mga plano."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Upang kanselahin ang isang subscription, mangyaring pumunta sa mga setting ng iyong aparato o merkado at mga subscription."
"You can't downgrade your lifetime premium subscription.", "Hindi mo mai-downgrade ang iyong panghabang-buhay na subscription sa premium."
"One-time payment", "Isang beses na pagbayad"
"Recurring payment", "Paulit-ulit na pagbabayad"
"Sign Out", "Mag-sign Out"
"Send Feedback", "Magbigay ng feedback"
"Open Source Licenses", "Bukas na Mga Lisensya ng Pinagmulan"
"Privacy Policy", "Patakaran sa Pagkapribado"
"Terms of Service", "Mga Tuntunin ng Serbisyo"
"Remove My Data", "Alisin ang Aking Data"
"Learn how we collect data and ask us to remove the collected data", "Alamin kung paano namin kinokolekta ang data at hilingin sa amin na alisin ang nakolekta na data"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Hindi namin kinokolekta ang Personal na Kinikilala na Impormasyon (PII) para sa mga bata, menor de edad o mga kapansanan sa intelektwal na may kapansanan sa mga itinalagang tagapag-alaga."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "Kasunod ng mga alituntunin ng Batas sa Proteksyon sa Patakaran sa Pagkapribado ng Mga Bata (COPPA), maaari mong hilingin sa amin na tanggalin ang lahat ng data ng iyong anak o hindi nakikilalang anumang oras na nais mo."
"To learn more, read our Privacy Policy in the previous menu.", "Upang matuto nang higit pa, basahin ang aming Patakaran sa Pagkapribado sa nakaraang menu."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Kapag hiniling mo sa amin na alisin ang iyong data, aalisin namin ang iyong account at anumang data na nakolekta namin tungkol sa iyo o sa iyong anak. Additionaly kung mayroon kang isang subscription, tatapusin ito. At ang tinanggal na data ay hindi mababawi."
"I understand, remove my data.", "Naiintindihan ko, alisin ang aking data."
"Parents Only", "Mga Magulang Lamang"
"Drag and drop the key over padlock in order to unlock the Settings", "I-drag at i-drop ang key sa padlock upang mai-unlock ang Mga Setting"
"Create a profile!", "Lumikha ng isang profile!"
"Choose a profile name or tell us the person who is going to use this application.", "Pumili ng isang pangalan ng profile o sabihin sa amin ang taong gumagamit ng application na ito."
"Your Name", "Ang pangalan mo"
"Choose an avatar!", "Pumili ng isang avatar!"
"Choose an avatar for the person who is going to use this AAC application.", "Pumili ng isang avatar para sa taong gumagamit ng application na AAC na ito."
"Boy", "Batang lalaki"
"Girl", "Babae"
"Mixed", "Magkakahalo"
"Congratulations, $1!", "Binabati kita, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Nakumpleto ang profile ng iyong gumagamit. Maaari mong simulan ang paggamit ng Leeloo AAC app"
"Welcome to", "Maligayang pagdating sa"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Salamat sa pag-download ng Leeloo AAC, magsimula tayo sa pag-set up ng iyong leeloo profile."
"View other sign in options", "Tingnan ang iba pang mga pagpipilian sa pag-sign"
"Who is using the app?", "Sino ang gumagamit ng app?"
"Search cards and phrases...", "Maghanap ng mga kard at parirala ..."
"Unlock Leeloo Premium!", "I-unlock ang Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Pag-andar ng Leeloo AAC ay palaging magiging libre. Nag-aalok ang Leeloo Premium ng +50 karagdagang mga pack ng assistive Card."
"Monthly", "Buwanang"
"Try 3 days for FREE", "Subukan ang 3 araw para sa LIBRE"
"Then $1/year", "Pagkatapos $1 / taon"
"Lifetime", "Habang buhay"
"One-time Payment", "Isang beses na pagbayad"
"SAVE $1%", "I-save ang $1%"
"$1/mo", "$1 / mo"
"See the packs you will unlock", "Tingnan ang mga pack na iyong i-unlock"
"Scroll the cards right to see all of the premium assistive cards.", "I-scroll ang mga kard ng tama upang makita ang lahat ng mga premium na assist card."
"$1 cards", "Mga $1 card"
"$1 phrases", "Mga parirala ng $1"
"Start 3 days FREE Trial", "Simulan ang 3 araw LIBRENG Pagsubok"
"Cancel anytime without cost", "Ikansela ang anumang oras nang walang gastos"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "Ang libreng pagsubok sa loob ng 3 araw ay nakakaakit lamang sa taunang plano at sa panahong ito; maaari mong kanselahin ang iyong subscription nang walang gastos."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "Siguraduhin na suriin ang mga Tuntunin at Kundisyon ng nagbebenta bago ang kamay, kung mayroon kang anumang mga problema o mga isyu na makipag-ugnay sa amin at gagawin namin ang lahat ng aming makakaya upang malutas ang anumang mga problema na iyong kinakaharap."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "Ang mga plano sa Buwanang at Taon ay paulit-ulit na mga plano at Ang buhay na plano ay isang plano sa pagbabayad ng isang beses, para sa mga subscription, maliban kung ang pag-renew ng auto ay naka-bayad ay sisingilin ang presyo ng panahon kung kailan magtatapos ang kasalukuyang panahon."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "Isaisip ang mga refund ay hinahawakan ng mga platform at ang mga oras ng refund at mga patakaran ay maaaring magkakaiba sa paggalang sa platform at merkado na nai-subscribe ka."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "Mangyaring iulat ang hindi sinasadyang pagbili sa amin sa parehong araw o hindi bababa sa 24 na oras gamit ang pahina na 'Magpadala ng Feedback' sa mga setting ng App."
"Leeloo Premium", "Leeloo Premium"
"Subscribe to get more", "Mag-subscribe upang makakuha ng higit pa"
"Try 3 days for free", "Subukan ang 3 araw nang libre"
"Next", "Susunod"
"Start", "Magsimula"
"USE", "GAMIT"
"USING", "PAGGAMIT"
"ADD", "ADD"
"REMOVE", "MABABASA"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "Hindi suportado ng iyong aparato ang driver ng boses para sa wikang ito. Upang magamit ang mga kakayahan ng TTS, kailangan mong mag-install ng driver ng boses. Maaari mong subukan ang 'Google TTS' app upang mai-install at pamahalaan ang mga driver!"
"Confirm Sign Out", "Kinumpirma ang Mag-sign Out"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "Tandaan na maaari mong panatilihing naka-sign in, at hindi kailangang mag-sign out sa iyong account sa bawat oras."
"Remove Profile", "Alisin ang Profile"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "Sigurado ka bang gusto mong alisin ang profile na ito, aalisin din ang data na nilikha ng profile na ito."
"OK", "OK"
"Cancel", "Pagkansela"
