"activities","Activities","verksamhet"
"walking","Walking","Gående"
"walking_2","I like walking","jag gillar att gå"
"walking_3","I don't like walking","Jag gillar inte att gå"
"walking_4","Do you want to walk together?","Vill du gå tillsammans?"
"running","Running","Löpning"
"running_2","I like running.","Jag gillar att springa."
"running_3","I don't like running.","Jag gillar inte att springa."
"running_4","Do you want to go running?","Vill du springa?"
"talking","Talking","Talande"
"talking_2","I like talking.","Jag gillar att prata."
"talking_3","I don't like talking.","Jag gillar inte att prata."
"talking_4","Do you want to talk with me?","Vill du prata med mig?"
"reading","Reading","Läsning"
"reading_2","I like reading.","Jag gillar att läsa."
"reading_3","I don't like reading.","Jag gillar inte att läsa."
"reading_4","Do you want to read together?","Vill du läsa tillsammans?"
"football","Football","Fotboll"
"football_2","I like playing football.","Jag gillar att spela fotboll."
"football_3","I don't like playing football.","Jag gillar inte att spela fotboll."
"football_4","Do you want to play football?","Vill du spela fotboll?"
"basketball","Basketball","Basketboll"
"basketball_2","I like playing basketball.","Jag gillar att spela basket."
"basketball_3","I don't like playing basketball.","Jag gillar inte att spela basket."
"basketball_4","Do you want to play basketball?","Vill du spela basket?"
"swimming","Swimming","Simning"
"swimming_2","I like swimming.","Jag gillar simning."
"swimming_3","I don't like swimming.","Jag gillar inte att simma."
"swimming_4","Do you want to go to swimming?","Vill du bada?"
"painting","Painting","Målning"
"painting_2","I like painting.","Jag gillar att måla."
"painting_3","I don't like painting.","Jag gillar inte att måla."
"painting_4","Do you want to paint together?","Vill du måla tillsammans?"
"drawing","Drawing","Teckning"
"drawing_2","I like drawing.","Jag gillar att rita."
"drawing_3","I don't like drawing.","Jag gillar inte att rita."
"drawing_4","Do you want to draw together?","Vill du dra tillsammans?"
"cycling","Cycling","Cykling"
"cycling_2","I like cycling.","Jag gillar att cykla."
"cycling_3","I don't like cycling.","Jag gillar inte att cykla."
"cycling_4","Do you want to go cycling?","Vill du cykla?"
"skating","Skating","Skridskoåkning"
"skating_2","I like skating.","Jag gillar skridskoåkning."
"skating_3","I don't like skating.","Jag gillar inte skridskoåkning."
"skating_4","Do you want to go skating?","Vill du åka skridskor?"
"sightseeing","Sightseeing","Sightseeing"
"sightseeing_2","I like sightseeing.","Jag gillar sightseeing."
"sightseeing_3","I don't like sightseeing.","Jag gillar inte sightseeing."
"sightseeing_4","Do you want to go for sightseeing?","Vill du åka på sightseeing?"
"video-games","Video games","Videospel"
"video-games_2","I like playing video games.","Jag gillar att spela videospel."
"video-games_3","I don't like playing video games.","Jag gillar inte att spela videospel."
"video-games_4","Do you want to play games?","Vill du spela spel?"
"tidying","Tidying","städa"
"tidying_2","I like tidying my room.","Jag gillar att städa mitt rum."
"tidying_3","I don't like tidying my room.","Jag gillar inte att städa mitt rum."
"tidying_4","Can you help me tidy my room?","Kan du hjälpa mig att städa mitt rum?"
"toys","Toys","leksaker"
"toys_2","I like toys.","Jag gillar leksaker."
"toys_3","I don't like toys.","Jag gillar inte leksaker."
"toys_4","Do you want to play with my toys?","Vill du leka med mina leksaker?"
"puzzle","Puzzle","Pussel"
"puzzle_2","I like solving puzzle.","Jag gillar att lösa pussel."
"puzzle_3","I don't like solving puzzle.","Jag gillar inte att lösa pussel."
"puzzle_4","Do you want to solve puzzles with me?","Vill du lösa pussel med mig?"
"comics","Comics","Serier"
"comics_2","I like reading comics.","Jag gillar att läsa serier."
"comics_3","I don't like reading comics.","Jag gillar inte att läsa serier."
"comics_4","Do you want to read comics?","Vill du läsa serier?"
"chess","Chess","Schack"
"chess_2","I like playing chess.","Jag gillar att spela schack."
"chess_3","I don't like playing chess.","Jag gillar inte att spela schack."
"chess_4","Do you want to play chess with me?","Vill du spela schack med mig?"
"using-leeloo","Using Leeloo","Använda Leeloo"
"using-leeloo_2","I like using leeloo.","Jag gillar att använda leeloo."
"using-leeloo_3","I don't like using leeloo.","Jag gillar inte att använda leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Kan du byta kortpaket på leeloo?"
"texting","Texting","textning"
"texting_2","I like texting.","Jag gillar att skicka text."
"texting_3","I don't like texting.","Jag gillar inte SMS."
"knitting","Knitting","Stickning"
"knitting_2","I like knitting.","Jag gillar att sticka."
"knitting_3","I don't like knitting.","Jag gillar inte att sticka."
"knitting_4","I want to learn how to knit.","Jag vill lära mig att sticka."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Jag gillar bowling."
"bowling_3","I don't like bowling.","Jag gillar inte bowling."
"bowling_4","Do you want to play bowling with me?","Vill du spela bowling med mig?"
"watching-tv","Watching TV","Tittar på tv"
"watching-tv_2","I like watching tv.","Jag gillar att titta på tv."
"watching-tv_3","I don't like watching tv.","Jag gillar inte att titta på tv."
"watching-tv_4","Do you want to watch tv?","Vill du titta på tv?"
"fishing","Fishing","Fiske"
"fishing_2","I like fishing.","Jag gillar att fiska."
"fishing_3","I don't like fishing.","Jag gillar inte fiske."
"fishing_4","Do you want to go to fishing?","Vill du fiska?"
"exercising","Exercising","utövar"
"exercising_2","I like exercising.","Jag gillar att träna."
"exercising_3","I don't like exercising.","Jag gillar inte att träna."
