slug,locale,,,
snacks,Snacks,,,
chips,Chips,❤️I like eating chips.,🙋I want to eat chips.,🤢Eating too much chips is bad for me.
donut,Donut,❤️I like eating donut.,🙋I want to eat donut.,🤢Eating too much donut is bad for me.
taco,Taco,❤️I like eating tacos.,🙋I want to eat taco.,🤢Eating too much tacos is bad for me.
peanuts,Peanuts,❤️I like eating peanuts.,🙋I want to eat peanuts.,🤢Eating too much peanuts is bad for me.
croissant,Croissant,❤️I like eating croissant.,🙋I want to eat croissant.,🤢Eating too much croissant is bad for me.
cookie,Cookie,❤️I like eating cookie.,🙋I want to eat cookie.,🤢Eating too much cookies is bad for me.
burrito,Burrito,❤️I like eating burrito.,🙋I want to eat burrito.,🤢Eating too much burritos is bad for me.
ramen,Ramen,❤️I like eating ramen.,🙋I want to eat ramen.,🤢Eating too much ramen is bad for me.
sushi,Sushi,❤️I like eating sushi.,🙋I want to eat sushi.,🤢Eating too much sushi is bad for me.
chocolate,Chocolate,❤️I like eating chocolate.,🙋I want to eat chocolate.,🤢Eating too much chocolate is bad for me.
apple-pie,Apple pie,❤️I like eating apple pie.,🙋I want to eat apple pie.,🤢Eating too much apple pie is bad for me.
muffin,Muffin,❤️I like eating muffin.,🙋I want to eat muffin.,🤢Eating too much muffins is bad for me.
pudding,Pudding,❤️I like eating pudding.,🙋I want to eat pudding.,🤢Eating too much pudding is bad for me.
macaron,Macaron,❤️I like eating macaron.,🙋I want to eat macaron.,🤢Eating too much macaron is bad for me.
crepe,Crepe,❤️I like eating crepe.,🙋I want to eat crepe.,🤢Eating too much crepes is bad for me.
pizza,Pizza,❤️I like eating pizza.,🙋I want to eat pizza.,🤢Eating too much pizza is bad for me.
skewer,Skewer,❤️I like eating skewer.,🙋I want to eat skewer.,🤢Eating too much skewers is bad for me.
fast-food,Fast food,❤️I like eating fast food.,🙋I want to eat fast food.,🤢Eating too much fast food is bad for me.
