"activities","Activities","Aktiviteter"
"walking","Walking","Gåture"
"walking_2","I like walking","Jeg kan godt lide at gå"
"walking_3","I don't like walking","Jeg kan ikke lide at gå"
"walking_4","Do you want to walk together?","Vil du gå sammen?"
"running","Running","Løb"
"running_2","I like running.","Jeg kan godt lide at løbe."
"running_3","I don't like running.","Jeg kan ikke lide at løbe."
"running_4","Do you want to go running?","Vil du køre?"
"talking","Talking","Taler"
"talking_2","I like talking.","Jeg kan godt lide at tale."
"talking_3","I don't like talking.","Jeg kan ikke lide at tale."
"talking_4","Do you want to talk with me?","Vil du tale med mig?"
"reading","Reading","Læsning"
"reading_2","I like reading.","Jeg kan lide at læse."
"reading_3","I don't like reading.","Jeg kan ikke lide at læse."
"reading_4","Do you want to read together?","Vil du læse sammen?"
"football","Football","fodbold"
"football_2","I like playing football.","Jeg kan godt lide at spille fodbold."
"football_3","I don't like playing football.","Jeg kan ikke lide at spille fodbold."
"football_4","Do you want to play football?","Vil du spille fodbold?"
"basketball","Basketball","Basketball"
"basketball_2","I like playing basketball.","Jeg kan godt lide at spille basketball."
"basketball_3","I don't like playing basketball.","Jeg kan ikke lide at spille basketball."
"basketball_4","Do you want to play basketball?","Vil du spille basketball?"
"swimming","Swimming","svømning"
"swimming_2","I like swimming.","Jeg kan lide at svømme."
"swimming_3","I don't like swimming.","Jeg kan ikke lide at svømme."
"swimming_4","Do you want to go to swimming?","Vil du gå i svømning?"
"painting","Painting","Maleri"
"painting_2","I like painting.","Jeg kan godt lide at male."
"painting_3","I don't like painting.","Jeg kan ikke lide at male."
"painting_4","Do you want to paint together?","Vil du male sammen?"
"drawing","Drawing","Tegning"
"drawing_2","I like drawing.","Jeg kan godt lide at tegne."
"drawing_3","I don't like drawing.","Jeg kan ikke lide at tegne."
"drawing_4","Do you want to draw together?","Vil du sammen?"
"cycling","Cycling","Cykling"
"cycling_2","I like cycling.","Jeg kan godt lide at cykle."
"cycling_3","I don't like cycling.","Jeg kan ikke lide at cykle."
"cycling_4","Do you want to go cycling?","Vil du cykle?"
"skating","Skating","Stå på skøjter"
"skating_2","I like skating.","Jeg kan godt lide skøjteløb."
"skating_3","I don't like skating.","Jeg kan ikke lide skøjteløb."
"skating_4","Do you want to go skating?","Vil du gå på skøjteløb?"
"sightseeing","Sightseeing","Sightseeing"
"sightseeing_2","I like sightseeing.","Jeg kan godt lide sightseeing."
"sightseeing_3","I don't like sightseeing.","Jeg kan ikke lide sightseeing."
"sightseeing_4","Do you want to go for sightseeing?","Vil du tage på sightseeing?"
"video-games","Video games","Computerspil"
"video-games_2","I like playing video games.","Jeg kan godt lide at spille videospil."
"video-games_3","I don't like playing video games.","Jeg kan ikke lide at spille videospil."
"video-games_4","Do you want to play games?","Vil du spille spil?"
"tidying","Tidying","oprydning"
"tidying_2","I like tidying my room.","Jeg kan godt lide at rydde op i mit værelse."
"tidying_3","I don't like tidying my room.","Jeg kan ikke lide at rydde mit værelse."
"tidying_4","Can you help me tidy my room?","Kan du hjælpe mig med at rydde op i mit værelse?"
"toys","Toys","Legetøj"
"toys_2","I like toys.","Jeg kan godt lide legetøj."
"toys_3","I don't like toys.","Jeg kan ikke lide legetøj."
"toys_4","Do you want to play with my toys?","Vil du lege med mine legetøj?"
"puzzle","Puzzle","Gåde"
"puzzle_2","I like solving puzzle.","Jeg kan godt lide at løse puslespil."
"puzzle_3","I don't like solving puzzle.","Jeg kan ikke lide at løse puslespil."
"puzzle_4","Do you want to solve puzzles with me?","Vil du løse gåder sammen med mig?"
"comics","Comics","Tegneserier"
"comics_2","I like reading comics.","Jeg kan godt lide at læse tegneserier."
"comics_3","I don't like reading comics.","Jeg kan ikke lide at læse tegneserier."
"comics_4","Do you want to read comics?","Vil du læse tegneserier?"
"chess","Chess","Skak"
"chess_2","I like playing chess.","Jeg kan godt lide at spille skak."
"chess_3","I don't like playing chess.","Jeg kan ikke lide at spille skak."
"chess_4","Do you want to play chess with me?","Vil du spille skak med mig?"
"using-leeloo","Using Leeloo","Brug af Leeloo"
"using-leeloo_2","I like using leeloo.","Jeg kan godt lide at bruge leeloo."
"using-leeloo_3","I don't like using leeloo.","Jeg kan ikke lide at bruge leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Kan du skifte kortpakker på leeloo?"
"texting","Texting","Tekstning"
"texting_2","I like texting.","Jeg kan godt lide sms."
