"activities","Activities","мероприятия"
"walking","Walking","Гулять пешком"
"walking_2","I like walking","Я люблю ходить"
"walking_3","I don't like walking","Я не люблю гулять"
"walking_4","Do you want to walk together?","Вы хотите гулять вместе?"
"running","Running","Бег"
"running_2","I like running.","Мне нравится бегать."
"running_3","I don't like running.","Я не люблю бегать."
"running_4","Do you want to go running?","Ты хочешь бежать?"
"talking","Talking","говорящий"
"talking_2","I like talking.","Мне нравится говорить."
"talking_3","I don't like talking.","Я не люблю говорить."
"talking_4","Do you want to talk with me?","Ты хочешь поговорить со мной?"
"reading","Reading","чтение"
"reading_2","I like reading.","Я люблю читать."
"reading_3","I don't like reading.","Я не люблю читать."
"reading_4","Do you want to read together?","Вы хотите читать вместе?"
"football","Football","Футбол"
"football_2","I like playing football.","Я люблю играть в футбол."
"football_3","I don't like playing football.","Я не люблю играть в футбол."
"football_4","Do you want to play football?","Вы хотите играть в футбол?"
"basketball","Basketball","Баскетбол"
"basketball_2","I like playing basketball.","Я люблю играть в баскетбол."
"basketball_3","I don't like playing basketball.","Я не люблю играть в баскетбол."
"basketball_4","Do you want to play basketball?","Вы хотите играть в баскетбол?"
"swimming","Swimming","плавание"
"swimming_2","I like swimming.","Я люблю плавать."
"swimming_3","I don't like swimming.","Я не люблю плавать."
"swimming_4","Do you want to go to swimming?","Вы хотите пойти в плавание?"
"painting","Painting","Картина"
"painting_2","I like painting.","Мне нравится живопись."
"painting_3","I don't like painting.","Я не люблю рисовать."
"painting_4","Do you want to paint together?","Вы хотите рисовать вместе?"
"drawing","Drawing","рисунок"
"drawing_2","I like drawing.","Я люблю рисовать."
"drawing_3","I don't like drawing.","Я не люблю рисовать."
"drawing_4","Do you want to draw together?","Вы хотите нарисовать вместе?"
"cycling","Cycling","Кататься на велосипеде"
"cycling_2","I like cycling.","Я люблю ездить на велосипеде."
"cycling_3","I don't like cycling.","Я не люблю кататься на велосипеде."
"cycling_4","Do you want to go cycling?","Хочешь покататься на велосипеде?"
"skating","Skating","Катание на коньках"
"skating_2","I like skating.","Я люблю кататься на коньках."
"skating_3","I don't like skating.","Я не люблю кататься на коньках."
"skating_4","Do you want to go skating?","Хочешь кататься на коньках?"
"sightseeing","Sightseeing","экскурсионный"
"sightseeing_2","I like sightseeing.","Мне нравится осматривать достопримечательности."
