"activities","Activities","Δραστηριότητες"
"walking","Walking","Το περπάτημα"
"walking_2","I like walking","Μου αρέσει να περπατώ"
"walking_3","I don't like walking","Δεν μου αρέσει το περπάτημα"
"walking_4","Do you want to walk together?","Θέλετε να περπατήσετε μαζί;"
"running","Running","Τρέξιμο"
"running_2","I like running.","Μου αρέσει το τρέξιμο."
"running_3","I don't like running.","Δεν μου αρέσει να τρέχω."
"running_4","Do you want to go running?","Θέλεις να τρέξεις;"
"talking","Talking","Ομιλία"
"talking_2","I like talking.","Μου αρέσει να μιλάω."
"talking_3","I don't like talking.","Δεν μου αρέσει να μιλάω."
"talking_4","Do you want to talk with me?","Θες να μιλησουμε?"
"reading","Reading","ΑΝΑΓΝΩΣΗ"
"reading_2","I like reading.","Μου αρεσει να διαβαζω."
"reading_3","I don't like reading.","Δεν μου αρέσει να διαβάζω."
"reading_4","Do you want to read together?","Θέλετε να διαβάσετε μαζί;"
"football","Football","Ποδόσφαιρο"
"football_2","I like playing football.","Μου αρέσει να παίζω ποδόσφαιρο."
"football_3","I don't like playing football.","Δεν μου αρέσει να παίζω ποδόσφαιρο."
"football_4","Do you want to play football?","Θέλετε να παίξετε ποδόσφαιρο;"
"basketball","Basketball","Μπάσκετ"
"basketball_2","I like playing basketball.","Μου αρέσει να παίζω μπάσκετ."
"basketball_3","I don't like playing basketball.","Δεν μου αρέσει να παίζω μπάσκετ."
"basketball_4","Do you want to play basketball?","Θέλετε να παίξετε μπάσκετ;"
"swimming","Swimming","Κολύμπι"
"swimming_2","I like swimming.","Μου αρέσει να κολυμπάω."
"swimming_3","I don't like swimming.","Δεν μου αρέσει το κολύμπι."
"swimming_4","Do you want to go to swimming?","Θέλετε να πάτε για κολύμπι;"
"painting","Painting","Ζωγραφική"
"painting_2","I like painting.","Μου αρέσει η ζωγραφική."
"painting_3","I don't like painting.","Δεν μου αρέσει η ζωγραφική."
"painting_4","Do you want to paint together?","Θέλετε να βάψετε μαζί;"
"drawing","Drawing","Σχέδιο"
"drawing_2","I like drawing.","Μου αρέσει να ζωγραφίζω."
"drawing_3","I don't like drawing.","Δεν μου αρέσει το σχέδιο."
"drawing_4","Do you want to draw together?","Θέλετε να σχεδιάσετε μαζί;"
"cycling","Cycling","Ποδηλασία"
"cycling_2","I like cycling.","Μου αρέσει η ποδηλασία."
"cycling_3","I don't like cycling.","Δεν μου αρέσει το ποδήλατο."
"cycling_4","Do you want to go cycling?","Θέλετε να πάτε ποδηλασία;"
"skating","Skating","Πατινάζ"
"skating_2","I like skating.","Μου αρέσει το πατινάζ."
"skating_3","I don't like skating.","Δεν μου αρέσει το πατινάζ."
"skating_4","Do you want to go skating?","Θέλετε να κάνετε πατινάζ;"
"sightseeing","Sightseeing","Περιοδεία εις αξιοθέατα μέρη"
"sightseeing_2","I like sightseeing.","Μου αρέσει τα αξιοθέατα."
"sightseeing_3","I don't like sightseeing.","Δεν μου αρέσει τα αξιοθέατα."
"sightseeing_4","Do you want to go for sightseeing?","Θέλετε να πάτε για αξιοθέατα;"
"video-games","Video games","Βιντεοπαιχνίδια"
"video-games_2","I like playing video games.","Μου αρέσει να παίζω βιντεοπαιχνίδια."
"video-games_3","I don't like playing video games.","Δεν μου αρέσει να παίζω βιντεοπαιχνίδια."
"video-games_4","Do you want to play games?","Θέλετε να παίξετε παιχνίδια;"
"tidying","Tidying","Τακτοποίηση"
"tidying_2","I like tidying my room.","Μου αρέσει να τακτοποιώ το δωμάτιό μου."
"tidying_3","I don't like tidying my room.","Δεν μου αρέσει να τακτοποιώ το δωμάτιό μου."
"tidying_4","Can you help me tidy my room?","Μπορείτε να με βοηθήσετε να τακτοποιήσετε το δωμάτιό μου;"
"toys","Toys","Παιχνίδια"
"toys_2","I like toys.","Μου αρέσουν τα παιχνίδια."
"toys_3","I don't like toys.","Δεν μου αρέσουν τα παιχνίδια."
"toys_4","Do you want to play with my toys?","Θέλετε να παίξετε με τα παιχνίδια μου;"
"puzzle","Puzzle","Παζλ"
"puzzle_2","I like solving puzzle.","Μου αρέσει η επίλυση παζλ."
"puzzle_3","I don't like solving puzzle.","Δεν μου αρέσει η επίλυση παζλ."
"puzzle_4","Do you want to solve puzzles with me?","Θέλετε να λύσετε παζλ μαζί μου;"
"comics","Comics","Ιστορία σε εικόνες"
"comics_2","I like reading comics.","Μου αρέσει να διαβάζω κόμικς."
"comics_3","I don't like reading comics.","Δεν μου αρέσει να διαβάζω κόμικς."
"comics_4","Do you want to read comics?","Θέλετε να διαβάσετε κόμικς;"
"chess","Chess","Σκάκι"
"chess_2","I like playing chess.","Μου αρέσει να παίζω σκάκι."
"chess_3","I don't like playing chess.","Δεν μου αρέσει να παίζω σκάκι."
"chess_4","Do you want to play chess with me?","Θέλετε να παίξετε σκάκι μαζί μου;"
"using-leeloo","Using Leeloo","Χρησιμοποιώντας το Leeloo"
"using-leeloo_2","I like using leeloo.","Μου αρέσει να χρησιμοποιώ το leeloo."
"using-leeloo_3","I don't like using leeloo.","Δεν μου αρέσει να χρησιμοποιώ το leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Μπορείτε να αλλάξετε πακέτα καρτών στο leeloo;"
"texting","Texting","Γράφοντας"
"texting_2","I like texting.","Μου αρέσει να στέλνω μηνύματα."
"texting_3","I don't like texting.","Δεν μου αρέσει να στέλνω μηνύματα."
"knitting","Knitting","Πλέξιμο"
"knitting_2","I like knitting.","Μου αρέσει το πλέξιμο."
"knitting_3","I don't like knitting.","Δεν μου αρέσει το πλέξιμο."
"knitting_4","I want to learn how to knit.","Θέλω να μάθω πώς να πλέκω."
"bowling","Bowling","Μπόουλινγκ"
"bowling_2","I like bowling.","Μου αρέσει το μπόουλινγκ."
"bowling_3","I don't like bowling.","Δεν μου αρέσει το μπόουλινγκ."
"bowling_4","Do you want to play bowling with me?","Θέλετε να παίξετε μπόουλινγκ μαζί μου;"
"watching-tv","Watching TV","Βλέπω τηλεόραση"
"watching-tv_2","I like watching tv.","Μου αρέσει να παρακολουθώ τηλεόραση."
"watching-tv_3","I don't like watching tv.","Δεν μου αρέσει να βλέπω τηλεόραση."
"watching-tv_4","Do you want to watch tv?","Θέλετε να παρακολουθήσετε τηλεόραση;"
"fishing","Fishing","Αλιεία"
"fishing_2","I like fishing.","Μου αρέσει το ψάρεμα."
"fishing_3","I don't like fishing.","Δεν μου αρέσει το ψάρεμα."
