"activities","Activities","Činnosti"
"walking","Walking","Chůze"
"walking_2","I like walking","rád chodím"
"walking_3","I don't like walking","Nemám rád chůzi"
"walking_4","Do you want to walk together?","Chcete chodit spolu?"
"running","Running","Běh"
"running_2","I like running.","Rád běhám."
"running_3","I don't like running.","Nemám rád běh."
"running_4","Do you want to go running?","Chcete běžet?"
"talking","Talking","Mluvící"
"talking_2","I like talking.","Rád mluvím."
"talking_3","I don't like talking.","Nerad mluvím."
"talking_4","Do you want to talk with me?","Chceš se mnou mluvit?"
"reading","Reading","Čtení"
"reading_2","I like reading.","Rád čtu."
"reading_3","I don't like reading.","Nelíbí se mi čtení."
"reading_4","Do you want to read together?","Chcete číst společně?"
"football","Football","Fotbal"
"football_2","I like playing football.","Rád hraju fotbal."
"football_3","I don't like playing football.","Nemám rád fotbal."
"football_4","Do you want to play football?","Chcete hrát fotbal?"
"basketball","Basketball","Basketball"
"basketball_2","I like playing basketball.","Ráda hraji basketbal."
"basketball_3","I don't like playing basketball.","Nemám rád basketbal."
"basketball_4","Do you want to play basketball?","Chcete hrát basketbal?"
"swimming","Swimming","Plavání"
"swimming_2","I like swimming.","Mám rád plavání."
"swimming_3","I don't like swimming.","Nemám rád plavání."
"swimming_4","Do you want to go to swimming?","Chcete jít na koupání?"
"painting","Painting","Malování"
"painting_2","I like painting.","Mám rád malování."
"painting_3","I don't like painting.","Nemám rád malování."
"painting_4","Do you want to paint together?","Chcete malovat společně?"
"drawing","Drawing","Výkres"
"drawing_2","I like drawing.","Ráda kreslím."
"drawing_3","I don't like drawing.","Nelíbí se mi kreslení."
"drawing_4","Do you want to draw together?","Chcete se spojit?"
"cycling","Cycling","Cyklistika"
"cycling_2","I like cycling.","Ráda jezdím na kole."
"cycling_3","I don't like cycling.","Nemám rád jízdu na kole."
"cycling_4","Do you want to go cycling?","Chcete jet na kole?"
"skating","Skating","Jízda na bruslích"
"skating_2","I like skating.","Mám rád bruslení."
"skating_3","I don't like skating.","Nemám rád bruslení."
"skating_4","Do you want to go skating?","Chcete bruslit?"
"sightseeing","Sightseeing","Prohlížení památek"
"sightseeing_2","I like sightseeing.","Líbí se mi poznávání."
"sightseeing_3","I don't like sightseeing.","Nemám rád prohlídky památek."
"sightseeing_4","Do you want to go for sightseeing?","Chcete jít na prohlídku?"
"video-games","Video games","Videohry"
"video-games_2","I like playing video games.","Rád hraji videohry."
"video-games_3","I don't like playing video games.","Nelíbí se mi hraní videoher."
"video-games_4","Do you want to play games?","Chcete hrát hry?"
"tidying","Tidying","Úklid"
"tidying_2","I like tidying my room.","Rád uklízím pokoj."
"tidying_3","I don't like tidying my room.","Nemám rád uklízení svého pokoje."
"tidying_4","Can you help me tidy my room?","Můžete mi pomoci uklidit můj pokoj?"
"toys","Toys","Hračky"
"toys_2","I like toys.","Mám rád hračky."
"toys_3","I don't like toys.","Nemám rád hračky."
"toys_4","Do you want to play with my toys?","Chcete si hrát s mými hračkami?"
"puzzle","Puzzle","Hádanka"
"puzzle_2","I like solving puzzle.","Líbí se mi řešení hádanky."
"puzzle_3","I don't like solving puzzle.","Nemám rád řešení hádanek."
"puzzle_4","Do you want to solve puzzles with me?","Chcete se mnou vyřešit hádanky?"
"comics","Comics","Komiks"
"comics_2","I like reading comics.","Rád čtu komiksy."
"comics_3","I don't like reading comics.","Nelíbí se mi čtení komiksu."
"comics_4","Do you want to read comics?","Chcete číst komiksy?"
"chess","Chess","Šachy"
"chess_2","I like playing chess.","Ráda hraji šachy."
"chess_3","I don't like playing chess.","Nemám rád šachy."
"chess_4","Do you want to play chess with me?","Chcete se mnou hrát šachy?"
"using-leeloo","Using Leeloo","Používání Leeloo"
"using-leeloo_2","I like using leeloo.","Rád používám leeloo."
"using-leeloo_3","I don't like using leeloo.","Nemám rád leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Můžete vyměnit balíčky karet na leelou?"
"texting","Texting","Psaní"
"texting_2","I like texting.","Mám rád textové zprávy."
"texting_3","I don't like texting.","Nemám rád textové zprávy."
"knitting","Knitting","Pletení"
"knitting_2","I like knitting.","Mám rád pletení."
"knitting_3","I don't like knitting.","Nemám rád pletení."
"knitting_4","I want to learn how to knit.","Chci se naučit plést."
"bowling","Bowling","Kuželky"
"bowling_2","I like bowling.","Mám rád bowling."
"bowling_3","I don't like bowling.","Nemám rád bowling."
"bowling_4","Do you want to play bowling with me?","Chcete se mnou hrát bowling?"
"watching-tv","Watching TV","Sledování televize"
"watching-tv_2","I like watching tv.","Rád se dívám na televizi."
"watching-tv_3","I don't like watching tv.","Nemám rád sledování televize."
"watching-tv_4","Do you want to watch tv?","Chcete se dívat na televizi?"
"fishing","Fishing","Rybolov"
