"activities","Activities","ক্রিয়াকলাপ"
"walking","Walking","হাঁটা"
"walking_2","I like walking","আমি হাঁটা পছন্দ"
"walking_3","I don't like walking","আমি হাঁটা পছন্দ করি না"
"walking_4","Do you want to walk together?","আপনি কি একসাথে চলতে চান?"
"running","Running","চলমান"
"running_2","I like running.","আমি দৌড়াতে পছন্দ করি"
"running_3","I don't like running.","আমি দৌড়াতে পছন্দ করি না"
"running_4","Do you want to go running?","আপনি কি দৌড়াতে যেতে চান?"
"talking","Talking","টকিং"
"talking_2","I like talking.","আমি কথা বলতে পছন্দ করি।"
"talking_3","I don't like talking.","আমি কথা বলতে পছন্দ করি না।"
"talking_4","Do you want to talk with me?","তুমি কি আমার সাথে কথা বলতে চাও?"
"reading","Reading","পড়া"
"reading_2","I like reading.","আমি পড়তে পছন্দ করি"
"reading_3","I don't like reading.","পড়া আমার ভাল লাগে না।"
"reading_4","Do you want to read together?","আপনি কি একসাথে পড়তে চান?"
"football","Football","ফুটবল"
"football_2","I like playing football.","আমি ফুটবল খেলতে পছন্দ করি."
"football_3","I don't like playing football.","আমি ফুটবল খেলা পছন্দ করি না।"
"football_4","Do you want to play football?","তুমি কি ফুটবল খেলতে চাও?"
"basketball","Basketball","বাস্কেটবল"
"basketball_2","I like playing basketball.","আমি বাস্কেটবল খেলতে পছন্দ করি."
"basketball_3","I don't like playing basketball.","আমি বাস্কেটবল খেলতে পছন্দ করি না"
"basketball_4","Do you want to play basketball?","আপনি কি বাস্কেটবল খেলতে চান?"
"swimming","Swimming","সাঁতার"
"swimming_2","I like swimming.","আমি সাঁতার পছন্দ করি."
"swimming_3","I don't like swimming.","আমি সাঁতার পছন্দ করি না"
"swimming_4","Do you want to go to swimming?","আপনি কি সাঁতার যেতে চান?"
"painting","Painting","পেন্টিং"
"painting_2","I like painting.","আমি আঁকতে পছন্দ করি."
"painting_3","I don't like painting.","চিত্রকলা আমার পছন্দ নয়।"
"painting_4","Do you want to paint together?","আপনি কি এক সাথে আঁকা চান?"
"drawing","Drawing","অঙ্কন"
"drawing_2","I like drawing.","আমি আঁকাআঁকি করতে পছন্দ করি."
"drawing_3","I don't like drawing.","আমার আঁকার পছন্দ নয়"
"drawing_4","Do you want to draw together?","আপনি কি একসাথে আঁকতে চান?"
"cycling","Cycling","সাইকেলে চলা"
"cycling_2","I like cycling.","আমি সাইক্লিং পছন্দ করি।"
"cycling_3","I don't like cycling.","আমি সাইক্লিং পছন্দ করি না"
"cycling_4","Do you want to go cycling?","আপনি কি সাইক্লিং যেতে চান?"
"skating","Skating","স্কেটিং"
"skating_2","I like skating.","আমি স্কেটিং পছন্দ করি"
"skating_3","I don't like skating.","আমি স্কেটিং পছন্দ করি না"
"skating_4","Do you want to go skating?","আপনি কি স্কেটিং যেতে চান?"
"sightseeing","Sightseeing","দর্শনীয় স্থানাদিদর্শন"
"sightseeing_2","I like sightseeing.","আমি দর্শনীয় স্থান পছন্দ।"
"sightseeing_3","I don't like sightseeing.","আমি দর্শনীয় স্থান পছন্দ করি না।"
"sightseeing_4","Do you want to go for sightseeing?","আপনি কি দর্শনীয় স্থান যেতে চান?"
"video-games","Video games","ভিডিও গেমস"
"video-games_2","I like playing video games.","আমি ভিডিও গেমস খেলতে পছন্দ করি."
"video-games_3","I don't like playing video games.","আমি ভিডিও গেম খেলতে পছন্দ করি না।"
"video-games_4","Do you want to play games?","আপনি গেমস খেলতে চান?"
"tidying","Tidying","tidying"
"tidying_2","I like tidying my room.","আমি আমার ঘর গোছানো পছন্দ করি।"
"tidying_3","I don't like tidying my room.","আমি আমার ঘর পরিদর্শন পছন্দ করি না।"
"tidying_4","Can you help me tidy my room?","আপনি আমার ঘর পরিপাটি করতে সাহায্য করতে পারেন?"
"toys","Toys","খেলনা"
"toys_2","I like toys.","আমি খেলনা পছন্দ করি।"
"toys_3","I don't like toys.","আমি খেলনা পছন্দ করি না"
"toys_4","Do you want to play with my toys?","তুমি কি আমার খেলনা খেলতে চাও?"
"puzzle","Puzzle","ধাঁধা"
"puzzle_2","I like solving puzzle.","আমি ধাঁধা সমাধান পছন্দ করি।"
"puzzle_3","I don't like solving puzzle.","আমি ধাঁধা সমাধান পছন্দ করি না।"
"puzzle_4","Do you want to solve puzzles with me?","আপনি কি আমার সাথে ধাঁধা সমাধান করতে চান?"
"comics","Comics","কমিক্স"
"comics_2","I like reading comics.","আমি কমিকস পড়তে পছন্দ করি।"
"comics_3","I don't like reading comics.","আমি কমিকস পড়া পছন্দ করি না।"
"comics_4","Do you want to read comics?","আপনি কি কমিকস পড়তে চান?"
"chess","Chess","দাবা"
"chess_2","I like playing chess.","আমি দাবা খেলা পছন্দ করি।"
"chess_3","I don't like playing chess.","আমি দাবা খেলা পছন্দ করি না।"
"chess_4","Do you want to play chess with me?","তুমি কি আমার সাথে দাবা খেলতে চাও?"
"using-leeloo","Using Leeloo","লেলু ব্যবহার করা"
"using-leeloo_2","I like using leeloo.","আমি লেবু ব্যবহার করতে পছন্দ করি"
"using-leeloo_3","I don't like using leeloo.","আমি লেবু ব্যবহার পছন্দ করি না"
"using-leeloo_4","Can you change card packs on leeloo?","আপনি কি লেবুতে কার্ড প্যাকগুলি পরিবর্তন করতে পারেন?"
"texting","Texting","টেক্সটিং"
"texting_2","I like texting.","আমি পাঠ্য পছন্দ করি।"
