"activities","Activities","أنشطة"
"walking","Walking","يمشي"
"walking_2","I like walking","أحب المشي"
"walking_3","I don't like walking","لا احب المشي"
"walking_4","Do you want to walk together?","هل تريد المشي معا؟"
"running","Running","ادارة"
"running_2","I like running.","أحب الجري."
"running_3","I don't like running.","أنا لا أحب الجري."
"running_4","Do you want to go running?","هل تريد الذهاب للجري؟"
"talking","Talking","تتحدث"
"talking_2","I like talking.","أحب التحدث."
"talking_3","I don't like talking.","لا أحب التحدث."
"talking_4","Do you want to talk with me?","هل تود أنت تتحدث معي؟"
"reading","Reading","قراءة"
"reading_2","I like reading.","أنا أحب القراءة."
"reading_3","I don't like reading.","لا أحب القراءة."
"reading_4","Do you want to read together?","هل تريد القراءة معا؟"
"football","Football","كرة القدم"
"football_2","I like playing football.","انا احب لعب كرة القدم."
"football_3","I don't like playing football.","لا أحب لعب كرة القدم."
"football_4","Do you want to play football?","هل تريد أن تلعب كرة القدم؟"
"basketball","Basketball","كرة سلة"
"basketball_2","I like playing basketball.","انا احب لعب كرة السلة."
"basketball_3","I don't like playing basketball.","لا أحب لعب كرة السلة."
"basketball_4","Do you want to play basketball?","هل تريد أن تلعب كرة السلة؟"
"swimming","Swimming","سباحة"
"swimming_2","I like swimming.","انا احب السباحة."
"swimming_3","I don't like swimming.","لا احب السباحة."
"swimming_4","Do you want to go to swimming?","هل تريد الذهاب للسباحة؟"
"painting","Painting","لوحة"
"painting_2","I like painting.","انا احب الرسم."
"painting_3","I don't like painting.","لا أحب الرسم."
"painting_4","Do you want to paint together?","هل تريد أن ترسم معًا؟"
"drawing","Drawing","رسم"
"drawing_2","I like drawing.","أنا أحب الرسم."
"drawing_3","I don't like drawing.","لا أحب الرسم."
"drawing_4","Do you want to draw together?","هل تريد الرسم معا؟"
"cycling","Cycling","ركوب الدراجات"
"cycling_2","I like cycling.","أنا أحب ركوب الدراجات."
"cycling_3","I don't like cycling.","أنا لا أحب ركوب الدراجات."
"cycling_4","Do you want to go cycling?","هل تريد الذهاب لركوب الدراجات؟"
"skating","Skating","تزلج"
"skating_2","I like skating.","أحب التزلج."
"skating_3","I don't like skating.","لا أحب التزلج."
"skating_4","Do you want to go skating?","هل تريد الذهاب للتزلج؟"
"sightseeing","Sightseeing","معالم المدينة"
"sightseeing_2","I like sightseeing.","أحب مشاهدة المعالم السياحية."
"sightseeing_3","I don't like sightseeing.","لا أحب مشاهدة المعالم السياحية."
"sightseeing_4","Do you want to go for sightseeing?","هل تريد الذهاب لمشاهدة معالم المدينة؟"
"video-games","Video games","العاب الكترونية"
"video-games_2","I like playing video games.","أنا أحب لعب ألعاب الفيديو."
"video-games_3","I don't like playing video games.","لا أحب لعب ألعاب الفيديو."
"video-games_4","Do you want to play games?","هل تريد لعب الألعاب؟"
"tidying","Tidying","الترتيب"
"tidying_2","I like tidying my room.","أحب ترتيب غرفتي."
"tidying_3","I don't like tidying my room.","لا أحب ترتيب غرفتي."
"tidying_4","Can you help me tidy my room?","هل يمكنك مساعدتي في ترتيب غرفتي؟"
"toys","Toys","ألعاب الأطفال"
"toys_2","I like toys.","احب اللعب."
"toys_3","I don't like toys.","لا أحب اللعب."
"toys_4","Do you want to play with my toys?","هل تريد اللعب بألعابي؟"
"puzzle","Puzzle","لغز"
"puzzle_2","I like solving puzzle.","أحب حل اللغز."
"puzzle_3","I don't like solving puzzle.","لا أحب حل اللغز."
"puzzle_4","Do you want to solve puzzles with me?","هل تريد حل الألغاز معي؟"
"comics","Comics","كاريكاتير"
"comics_2","I like reading comics.","أحب قراءة القصص المصورة."
"comics_3","I don't like reading comics.","لا أحب قراءة القصص المصورة."
"comics_4","Do you want to read comics?","هل تريد قراءة القصص المصورة؟"
"chess","Chess","شطرنج"
"chess_2","I like playing chess.","أحب لعب الشطرنج."
"chess_3","I don't like playing chess.","لا أحب لعب الشطرنج."
"chess_4","Do you want to play chess with me?","هل تريد لعب الشطرنج معي؟"
"using-leeloo","Using Leeloo","باستخدام Leeloo"
"using-leeloo_2","I like using leeloo.","أحب استخدام leeloo."
"using-leeloo_3","I don't like using leeloo.","أنا لا أحب استخدام leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","هل يمكنك تغيير حزم البطاقات على leeloo؟"
"texting","Texting","الرسائل النصية"
"texting_2","I like texting.","أحب الرسائل النصية."
"texting_3","I don't like texting.","لا أحب الرسائل النصية."
"knitting","Knitting","الحياكة"
"knitting_2","I like knitting.","أنا أحب الحياكة."
"knitting_3","I don't like knitting.","أنا لا أحب الحياكة."
"knitting_4","I want to learn how to knit.","أريد أن أتعلم كيف يحبك."
"bowling","Bowling","البولينج"
"bowling_2","I like bowling.","أنا أحب البولينج."
"bowling_3","I don't like bowling.","أنا لا أحب البولينج."
"bowling_4","Do you want to play bowling with me?","هل تريد لعب البولينغ معي؟"
"watching-tv","Watching TV","اشاهد التلفاز"
"watching-tv_2","I like watching tv.","احب مشاهدة التلفاز."
"watching-tv_3","I don't like watching tv.","لا أحب مشاهدة التلفاز."
"watching-tv_4","Do you want to watch tv?","هل تريد مشاهدة التلفاز؟"
"fishing","Fishing","صيد السمك"
"fishing_2","I like fishing.","أحب الصيد."
"fishing_3","I don't like fishing.","أنا لا أحب الصيد."
"fishing_4","Do you want to go to fishing?","هل تريد الذهاب الى الصيد؟"
"exercising","Exercising","التمرين"
"exercising_2","I like exercising.","أحب ممارسة الرياضة."
"exercising_3","I don't like exercising.","لا أحب ممارسة الرياضة."
"exercising_4","Do you want to exercise with me?","هل تريد ممارسة الرياضة معي؟"
"tennis","Tennis","تنس"
"tennis_2","I like playing tennis.","انا احب لعب التنس."
"tennis_3","I don't like playing tennis.","لا أحب لعب التنس."
"tennis_4","Do you want to play tennis with me?","هل تريد لعب التنس معي؟"
"animals","Animals","الحيوانات"
"cat","Cat","قط"
"cat_2","I like cats.","أنا أحب القطط."
"cat_3","I saw a cat.","رأيت قطة."
"cat_4","What noise does a cat make?","ما الضوضاء التي تصدرها القطة؟"
"cat_5","Can we get a cat as pet?","هل يمكننا الحصول على قطة كحيوان أليف؟"
"dog","Dog","الكلب"
"dog_2","I like dog.","أنا أحب الكلب."
"dog_3","I saw a dog.","رأيت كلبا."
