"activities","Activities","Ocupaciones"
"walking","Walking","Caminando"
"walking_2","I like walking","Me gusta caminar"
"walking_3","I don't like walking","No me gusta caminar"
"walking_4","Do you want to walk together?","¿Quieres caminar juntos?"
"running","Running","Corriendo"
"running_2","I like running.","Me gusta correr."
"running_3","I don't like running.","No me gusta correr"
"running_4","Do you want to go running?","¿Quieres ir a correr?"
"talking","Talking","Hablando"
"talking_2","I like talking.","Me gusta hablar."
"talking_3","I don't like talking.","No me gusta hablar"
"talking_4","Do you want to talk with me?","¿Quieres hablar conmigo?"
"reading","Reading","Leyendo"
"reading_2","I like reading.","Me gusta leer."
"reading_3","I don't like reading.","No me gusta leer"
"reading_4","Do you want to read together?","¿Quieres leer juntos?"
"football","Football","Fútbol americano"
"football_2","I like playing football.","Me gusta jugar fútbol."
"football_3","I don't like playing football.","No me gusta jugar futbol."
"football_4","Do you want to play football?","¿Quieres jugar futbol?"
"basketball","Basketball","Baloncesto"
"basketball_2","I like playing basketball.","Me gusta jugar basquetbol."
"basketball_3","I don't like playing basketball.","No me gusta jugar basquetbol."
"basketball_4","Do you want to play basketball?","¿Quieres jugar basketball?"
"swimming","Swimming","Nadando"
"swimming_2","I like swimming.","Me gusta nadar."
"swimming_3","I don't like swimming.","No me gusta nadar"
"swimming_4","Do you want to go to swimming?","¿Quieres ir a nadar?"
"painting","Painting","Pintura"
"painting_2","I like painting.","Me gusta pintar."
"painting_3","I don't like painting.","No me gusta pintar"
"painting_4","Do you want to paint together?","¿Quieres pintar juntos?"
"drawing","Drawing","Dibujo"
"drawing_2","I like drawing.","Me gusta dibujar."
"drawing_3","I don't like drawing.","No me gusta dibujar"
"drawing_4","Do you want to draw together?","¿Quieres dibujar juntos?"
"cycling","Cycling","Ciclismo"
"cycling_2","I like cycling.","Me gusta el ciclismo."
"cycling_3","I don't like cycling.","No me gusta el ciclismo."
"cycling_4","Do you want to go cycling?","¿Quieres ir en bicicleta?"
"skating","Skating","Patinaje"
"skating_2","I like skating.","Me gusta patinar"
"skating_3","I don't like skating.","No me gusta patinar"
"skating_4","Do you want to go skating?","¿Quieres ir a patinar?"
"sightseeing","Sightseeing","Turismo"
"sightseeing_2","I like sightseeing.","Me gusta hacer turismo"
"sightseeing_3","I don't like sightseeing.","No me gusta hacer turismo."
"sightseeing_4","Do you want to go for sightseeing?","¿Quieres ir a hacer turismo?"
"video-games","Video games","Videojuegos"
"video-games_2","I like playing video games.","Me gusta jugar juegos de video."
"video-games_3","I don't like playing video games.","No me gusta jugar videojuegos."
"video-games_4","Do you want to play games?","¿Quieres jugar juegos?"
"tidying","Tidying","Poner en orden"
"tidying_2","I like tidying my room.","Me gusta ordenar mi habitación."
"tidying_3","I don't like tidying my room.","No me gusta ordenar mi habitación."
"tidying_4","Can you help me tidy my room?","¿Me pueden ayudar a ordenar mi habitación?"
"toys","Toys","Juguetes"
"toys_2","I like toys.","Me gustan los juguetes"
"toys_3","I don't like toys.","No me gustan los juguetes"
"toys_4","Do you want to play with my toys?","¿Quieres jugar con mis juguetes?"
"puzzle","Puzzle","Rompecabezas"
"puzzle_2","I like solving puzzle.","Me gusta resolver acertijos."
"puzzle_3","I don't like solving puzzle.","No me gusta resolver acertijos."
"puzzle_4","Do you want to solve puzzles with me?","¿Quieres resolver rompecabezas conmigo?"
"comics","Comics","Historietas"
"comics_2","I like reading comics.","Me gusta leer cómics."
"comics_3","I don't like reading comics.","No me gusta leer cómics."
"comics_4","Do you want to read comics?","¿Quieres leer comics?"
"chess","Chess","Ajedrez"
"chess_2","I like playing chess.","Me gusta jugar ajedrez."
"chess_3","I don't like playing chess.","No me gusta jugar ajedrez."
"chess_4","Do you want to play chess with me?","¿Quieres jugar al ajedrez conmigo?"
"using-leeloo","Using Leeloo","Usando Leeloo"
"using-leeloo_2","I like using leeloo.","Me gusta usar leeloo."
"using-leeloo_3","I don't like using leeloo.","No me gusta usar leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","¿Se pueden cambiar los paquetes de tarjetas en leeloo?"
"texting","Texting","Mensajes de texto"
"texting_2","I like texting.","Me gusta enviar mensajes de texto."
"texting_3","I don't like texting.","No me gustan los mensajes de texto."
"knitting","Knitting","Tejido de punto"
"knitting_2","I like knitting.","Me gusta tejer"
"knitting_3","I don't like knitting.","No me gusta tejer"
"knitting_4","I want to learn how to knit.","Quiero aprender a tejer."
"bowling","Bowling","Bolos"
"bowling_2","I like bowling.","Me gusta el boliche."
"bowling_3","I don't like bowling.","No me gusta el boliche."
"bowling_4","Do you want to play bowling with me?","¿Quieres jugar bolos conmigo?"
"watching-tv","Watching TV","Viendo la televisión"
"watching-tv_2","I like watching tv.","Me gusta ver la televisión."
