"activities","Activities","Activiteiten"
"walking","Walking","Wandelen"
"walking_2","I like walking","ik hou van wandelen"
"walking_3","I don't like walking","Ik hou niet van wandelen"
"walking_4","Do you want to walk together?","Samen wandelen?"
"running","Running","Rennen"
"running_2","I like running.","Ik hou van hardlopen."
"running_3","I don't like running.","Ik hou niet van hardlopen."
"running_4","Do you want to go running?","Wil je gaan hardlopen?"
"talking","Talking","Praten"
"talking_2","I like talking.","Ik hou van praten."
"talking_3","I don't like talking.","Ik hou niet van praten."
"talking_4","Do you want to talk with me?","Wil je met me praten?"
"reading","Reading","Lezing"
"reading_2","I like reading.","Ik hou van lezen."
"reading_3","I don't like reading.","Ik hou niet van lezen."
"reading_4","Do you want to read together?","Samen lezen?"
"football","Football","Amerikaans voetbal"
"football_2","I like playing football.","Ik hou van voetballen."
"football_3","I don't like playing football.","Ik hou niet van voetballen."
"football_4","Do you want to play football?","Wil je voetbal spelen?"
"basketball","Basketball","Basketbal"
"basketball_2","I like playing basketball.","Ik vind basketbal leuk."
"basketball_3","I don't like playing basketball.","Ik hou niet van basketballen."
"basketball_4","Do you want to play basketball?","Wil je basketbal spelen?"
"swimming","Swimming","Zwemmen"
"swimming_2","I like swimming.","Ik hou van zwemmen."
"swimming_3","I don't like swimming.","Ik hou niet van zwemmen."
"swimming_4","Do you want to go to swimming?","Wil je gaan zwemmen?"
"painting","Painting","Schilderen"
"painting_2","I like painting.","Ik hou van schilderen."
"painting_3","I don't like painting.","Ik hou niet van schilderen."
"painting_4","Do you want to paint together?","Samen schilderen?"
"drawing","Drawing","Tekening"
"drawing_2","I like drawing.","Ik hou van tekenen."
"drawing_3","I don't like drawing.","Ik hou niet van tekenen."
"drawing_4","Do you want to draw together?","Samen tekenen?"
"cycling","Cycling","Wielersport"
"cycling_2","I like cycling.","Ik hou van fietsen."
"cycling_3","I don't like cycling.","Ik hou niet van fietsen."
"cycling_4","Do you want to go cycling?","Wil je gaan fietsen?"
"skating","Skating","Het schaatsen"
"skating_2","I like skating.","Ik hou van skaten."
"skating_3","I don't like skating.","Ik hou niet van skaten."
"skating_4","Do you want to go skating?","Wil je gaan skaten?"
"sightseeing","Sightseeing","Bezienswaardigheden bekijken"
"sightseeing_2","I like sightseeing.","Ik hou van sightseeing."
"sightseeing_3","I don't like sightseeing.","Ik hou niet van sightseeing."
"sightseeing_4","Do you want to go for sightseeing?","Wilt u bezienswaardigheden bezoeken?"
"video-games","Video games","Computerspellen"
"video-games_2","I like playing video games.","Ik vind het leuk om video games te spelen."
"video-games_3","I don't like playing video games.","Ik speel niet graag videogames."
"video-games_4","Do you want to play games?","Wil je spelletjes spelen?"
"tidying","Tidying","Opruimen"
"tidying_2","I like tidying my room.","Ik hou ervan mijn kamer op te ruimen."
"tidying_3","I don't like tidying my room.","Ik hou er niet van om mijn kamer op te ruimen."
"tidying_4","Can you help me tidy my room?","Kun je me helpen mijn kamer op te ruimen?"
"toys","Toys","Speelgoed"
"toys_2","I like toys.","Ik hou van speelgoed."
"toys_3","I don't like toys.","Ik hou niet van speelgoed."
"toys_4","Do you want to play with my toys?","Wil je met mijn speelgoed spelen?"
"puzzle","Puzzle","Puzzel"
"puzzle_2","I like solving puzzle.","Ik hou van het oplossen van puzzels."
