"activities","Activities","क्रियाएँ"
"walking","Walking","चलना"
"walking_2","I like walking","मुझे चलना पसंद है"
"walking_3","I don't like walking","मुझे घूमना पसंद नहीं है"
"walking_4","Do you want to walk together?","क्या आप एक साथ चलना चाहते हैं?"
"running","Running","चल रहा है"
"running_2","I like running.","मुझे दौड़ना पसंद है।"
"running_3","I don't like running.","मुझे दौड़ना पसंद नहीं है।"
"running_4","Do you want to go running?","क्या आप दौड़ते हुए जाना चाहते हैं?"
"talking","Talking","बात कर रहे"
"talking_2","I like talking.","मुझे बात करना पसंद है।"
"talking_3","I don't like talking.","मुझे बात करना पसंद नहीं है।"
"talking_4","Do you want to talk with me?","क्या आप मेरे साथ बात करना चाहते हैं?"
"reading","Reading","पढ़ना"
"reading_2","I like reading.","मुझे पढ़ना पसंद है।"
"reading_3","I don't like reading.","मुझे पढ़ना पसंद नहीं है।"
"reading_4","Do you want to read together?","क्या आप एक साथ पढ़ना चाहते हैं?"
"football","Football","फ़ुटबॉल"
"football_2","I like playing football.","मुझे फुटबॉल खेलना अच्छा लगता है।"
"football_3","I don't like playing football.","मुझे फुटबॉल खेलना पसंद नहीं है।"
"football_4","Do you want to play football?","क्या आप फुटबॉल खेलना चाहते हैं?"
"basketball","Basketball","बास्केटबाल"
"basketball_2","I like playing basketball.","मुझे बास्केटबॉल खेलना पसंद है।"
"basketball_3","I don't like playing basketball.","मुझे बास्केटबॉल खेलना पसंद नहीं है।"
"basketball_4","Do you want to play basketball?","क्या आप बास्केटबॉल खेलना चाहते हैं?"
"swimming","Swimming","तैराकी"
"swimming_2","I like swimming.","मुझे तैरना पसंद है।"
"swimming_3","I don't like swimming.","मुझे तैरना पसंद नहीं है।"
"swimming_4","Do you want to go to swimming?","क्या आप तैराकी में जाना चाहते हैं?"
"painting","Painting","चित्र"
"painting_2","I like painting.","मुझे पेंटिंग पसंद है।"
"painting_3","I don't like painting.","मुझे पेंटिंग पसंद नहीं है।"
"painting_4","Do you want to paint together?","क्या आप एक साथ पेंट करना चाहते हैं?"
"drawing","Drawing","चित्रकारी"
"drawing_2","I like drawing.","मुझे चित्रकला पसंद है।"
"drawing_3","I don't like drawing.","मुझे ड्राइंग पसंद नहीं है।"
"drawing_4","Do you want to draw together?","क्या आप एक साथ आकर्षित करना चाहते हैं?"
"cycling","Cycling","सायक्लिंग"
"cycling_2","I like cycling.","मुझे स्यक्लिंग पसंद है।"
"cycling_3","I don't like cycling.","मुझे साइकिल चलाना पसंद नहीं है।"
"cycling_4","Do you want to go cycling?","क्या आप साइकिल चलाना चाहते हैं?"
"skating","Skating","स्केटिंग"
"skating_2","I like skating.","मुझे स्केटिंग पसंद है।"
"skating_3","I don't like skating.","मुझे स्केटिंग पसंद नहीं है।"
"skating_4","Do you want to go skating?","क्या आप स्केटिंग जाना चाहते हैं?"
"sightseeing","Sightseeing","दर्शनीय स्थलों की यात्रा"
"sightseeing_2","I like sightseeing.","मुझे दर्शनीय स्थल पसंद हैं।"
"sightseeing_3","I don't like sightseeing.","मुझे दर्शनीय स्थल पसंद नहीं हैं।"
"sightseeing_4","Do you want to go for sightseeing?","क्या आप दर्शनीय स्थलों की यात्रा के लिए जाना चाहते हैं?"
"video-games","Video games","वीडियो गेम"
"video-games_2","I like playing video games.","मुझे वीडियो गेम खेलना पसंद है।"
"video-games_3","I don't like playing video games.","मुझे वीडियो गेम खेलना पसंद नहीं है।"
"video-games_4","Do you want to play games?","क्या आप गेम खेलना चाहते हैं?"
"tidying","Tidying","साफ़ कर रही"
"tidying_2","I like tidying my room.","मुझे अपना कमरा टिड्ड करना पसंद है।"
"tidying_3","I don't like tidying my room.","मुझे अपना कमरा ख़राब करना पसंद नहीं है।"
"tidying_4","Can you help me tidy my room?","क्या आप मुझे मेरे कमरे को साफ करने में मदद कर सकते हैं?"
"toys","Toys","खिलौने"
"toys_2","I like toys.","मुझे खिलौने पसंद हैं।"
"toys_3","I don't like toys.","मुझे खिलौने पसंद नहीं हैं।"
"toys_4","Do you want to play with my toys?","क्या आप मेरे खिलौनों से खेलना चाहते हैं?"
