"activities","Activities","Zajęcia"
"walking","Walking","Pieszy"
"walking_2","I like walking","lubię spacerować"
"walking_3","I don't like walking","Nie lubię chodzić"
"walking_4","Do you want to walk together?","Chcesz iść razem?"
"running","Running","Bieganie"
"running_2","I like running.","Lubię biegać."
"running_3","I don't like running.","Nie lubię biegać."
"running_4","Do you want to go running?","Czy chcesz biegać?"
"talking","Talking","Mówić"
"talking_2","I like talking.","Lubię rozmawiać"
"talking_3","I don't like talking.","Nie lubię rozmawiać."
"talking_4","Do you want to talk with me?","Chcesz ze mną porozmawiać?"
"reading","Reading","Czytanie"
"reading_2","I like reading.","Lubię czytanie."
"reading_3","I don't like reading.","Nie lubię czytać."
"reading_4","Do you want to read together?","Czy chcesz czytać razem?"
"football","Football","Piłka nożna"
"football_2","I like playing football.","Lubię grać w piłkę nożną."
"football_3","I don't like playing football.","Nie lubię grać w piłkę nożną."
"football_4","Do you want to play football?","Chcesz zagrać w piłkę nożną?"
"basketball","Basketball","Koszykówka"
"basketball_2","I like playing basketball.","Lubię grać w koszykówkę."
"basketball_3","I don't like playing basketball.","Nie lubię grać w koszykówkę."
"basketball_4","Do you want to play basketball?","Chcesz zagrać w koszykówkę?"
"swimming","Swimming","Pływanie"
"swimming_2","I like swimming.","Lubię pływać."
"swimming_3","I don't like swimming.","Nie lubię pływać."
"swimming_4","Do you want to go to swimming?","Czy chcesz iść na pływanie?"
"painting","Painting","Obraz"
"painting_2","I like painting.","Lubię malarstwo."
"painting_3","I don't like painting.","Nie lubię malować."
"painting_4","Do you want to paint together?","Chcesz razem malować?"
"drawing","Drawing","Rysunek"
"drawing_2","I like drawing.","Lubię rysować."
"drawing_3","I don't like drawing.","Nie lubię rysować."
"drawing_4","Do you want to draw together?","Czy chcesz rysować razem?"
"cycling","Cycling","Jazda rowerem"
"cycling_2","I like cycling.","Lubię jeździć na rowerze."
"cycling_3","I don't like cycling.","Nie lubię jeździć na rowerze."
"cycling_4","Do you want to go cycling?","Czy chcesz jeździć na rowerze?"
"skating","Skating","Łyżwiarstwo"
"skating_2","I like skating.","Lubię jeździć na łyżwach."
"skating_3","I don't like skating.","Nie lubię jeździć na łyżwach."
"skating_4","Do you want to go skating?","Czy chcesz jeździć na łyżwach?"
"sightseeing","Sightseeing","Zwiedzanie"
"sightseeing_2","I like sightseeing.","Lubię zwiedzać."
"sightseeing_3","I don't like sightseeing.","Nie lubię zwiedzać."
"sightseeing_4","Do you want to go for sightseeing?","Chcesz wybrać się na zwiedzanie?"
"video-games","Video games","Gry wideo"
"video-games_2","I like playing video games.","Lubię grać w gry wideo."
"video-games_3","I don't like playing video games.","Nie lubię grać w gry wideo."
"video-games_4","Do you want to play games?","Czy chcesz grać w gry?"
"tidying","Tidying","Sprzątanie"
"tidying_2","I like tidying my room.","Lubię sprzątać swój pokój."
"tidying_3","I don't like tidying my room.","Nie lubię sprzątać swojego pokoju."
"tidying_4","Can you help me tidy my room?","Czy możesz mi pomóc posprzątać mój pokój?"
"toys","Toys","Zabawki"
"toys_2","I like toys.","Lubie zabawki."
"toys_3","I don't like toys.","Nie lubię zabawek."
"toys_4","Do you want to play with my toys?","Chcesz się bawić moimi zabawkami?"
"puzzle","Puzzle","Puzzle"
"puzzle_2","I like solving puzzle.","Lubię rozwiązywać zagadki."
"puzzle_3","I don't like solving puzzle.","Nie lubię układać puzzli."
"puzzle_4","Do you want to solve puzzles with me?","Chcesz ze mną rozwiązać zagadki?"
"comics","Comics","Komiksy"
"comics_2","I like reading comics.","Lubię czytać komiksy."
"comics_3","I don't like reading comics.","Nie lubię czytać komiksów."
"comics_4","Do you want to read comics?","Czy chcesz czytać komiksy?"
"chess","Chess","Szachy"
"chess_2","I like playing chess.","Lubię grać w szachy."
"chess_3","I don't like playing chess.","Nie lubię grać w szachy."
"chess_4","Do you want to play chess with me?","Czy chcesz ze mną grać w szachy?"
"using-leeloo","Using Leeloo","Korzystanie z Leeloo"
"using-leeloo_2","I like using leeloo.","Lubię używać leeloo."
"using-leeloo_3","I don't like using leeloo.","Nie lubię używać leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Czy możesz zmienić pakiety kart w Leeloo?"
"texting","Texting","SMS-y"
"texting_2","I like texting.","Lubię pisać SMS-y."
"texting_3","I don't like texting.","Nie lubię pisać SMS-ów."
"knitting","Knitting","Robienie na drutach"
"knitting_2","I like knitting.","Lubię robić na drutach."
"knitting_3","I don't like knitting.","Nie lubię robić na drutach."
"knitting_4","I want to learn how to knit.","Chcę nauczyć się robić na drutach."
"bowling","Bowling","Kręgle"
"bowling_2","I like bowling.","Lubię kręgle."
"bowling_3","I don't like bowling.","Nie lubię kręgli."
"bowling_4","Do you want to play bowling with me?","Chcesz pograć ze mną w kręgle?"
"watching-tv","Watching TV","Oglądanie telewizji"
"watching-tv_2","I like watching tv.","Lubię oglądać telewizję."
"watching-tv_3","I don't like watching tv.","Nie lubię oglądać telewizji."
"watching-tv_4","Do you want to watch tv?","Czy chcesz oglądać telewizję?"
"fishing","Fishing","Wędkarstwo"
"fishing_2","I like fishing.","Lubię wędkować."
"fishing_3","I don't like fishing.","Nie lubię łowić ryb."
"fishing_4","Do you want to go to fishing?","Chcesz iść na ryby?"
"exercising","Exercising","Ćwiczyć"
"exercising_2","I like exercising.","Lubię ćwiczyć."
"exercising_3","I don't like exercising.","Nie lubię ćwiczyć."
"exercising_4","Do you want to exercise with me?","Chcesz ze mną ćwiczyć?"
"tennis","Tennis","Tenis ziemny"
"tennis_2","I like playing tennis.","Lubię grać w tenisa."
"tennis_3","I don't like playing tennis.","Nie lubię grać w tenisa."
"tennis_4","Do you want to play tennis with me?","Chcesz ze mną zagrać w tenisa?"
"animals","Animals","Zwierząt"
"cat","Cat","Kot"
"cat_2","I like cats.","Lubię koty."
"cat_3","I saw a cat.","Widziałem kota"
"cat_4","What noise does a cat make?","Jaki hałas wydaje kot?"
"cat_5","Can we get a cat as pet?","Czy możemy zdobyć kota jako zwierzaka?"
"dog","Dog","Pies"
"dog_2","I like dog.","Lubię psa."
"dog_3","I saw a dog.","Widziałem psa"
"dog_4","What noise does a dog make?","Jaki hałas wydaje pies?"
"dog_5","Can we get a dog as pet?","Czy możemy zdobyć psa jako zwierzaka?"
"fish","Fish","Ryba"
"fish_2","I like fish.","Lubię ryby."
"fish_3","I saw a fish.","Widziałem rybę"
"fish_4","What noise does a fish make?","Jaki hałas wydaje ryba?"
