"activities","Activities","Tegevused"
"walking","Walking","Jalutamine"
"walking_2","I like walking","Mulle meeldib kõndida"
"walking_3","I don't like walking","Mulle ei meeldi kõndida"
"walking_4","Do you want to walk together?","Kas soovite koos kõndida?"
"running","Running","Jooksmine"
"running_2","I like running.","Mulle meeldib joosta."
"running_3","I don't like running.","Mulle ei meeldi jooksmine."
"running_4","Do you want to go running?","Kas soovite joosta?"
"talking","Talking","Räägib"
"talking_2","I like talking.","Mulle meeldib rääkida."
"talking_3","I don't like talking.","Mulle ei meeldi rääkida."
"talking_4","Do you want to talk with me?","Kas sa tahad minuga rääkida?"
"reading","Reading","Lugemine"
"reading_2","I like reading.","Mulle meeldib lugeda."
"reading_3","I don't like reading.","Mulle ei meeldi lugemine."
"reading_4","Do you want to read together?","Kas soovite lugeda koos?"
"football","Football","Jalgpall"
"football_2","I like playing football.","Mulle meeldib jalgpalli mängida."
"football_3","I don't like playing football.","Mulle ei meeldi jalgpalli mängida."
"football_4","Do you want to play football?","Kas soovite jalgpalli mängida?"
"basketball","Basketball","Korvpall"
"basketball_2","I like playing basketball.","Mulle meeldib korvpalli mängida."
"basketball_3","I don't like playing basketball.","Mulle ei meeldi korvpalli mängida."
"basketball_4","Do you want to play basketball?","Kas soovite mängida korvpalli?"
"swimming","Swimming","Ujumine"
"swimming_2","I like swimming.","Mulle meeldib ujuda."
"swimming_3","I don't like swimming.","Mulle ei meeldi ujumine."
"swimming_4","Do you want to go to swimming?","Kas soovite minna ujuma?"
"painting","Painting","Maalimine"
"painting_2","I like painting.","Mulle meeldib maalida."
"painting_3","I don't like painting.","Mulle ei meeldi maalimine."
"painting_4","Do you want to paint together?","Kas soovite koos maalida?"
"drawing","Drawing","Joonistamine"
"drawing_2","I like drawing.","Mulle meeldib joonistada."
"drawing_3","I don't like drawing.","Mulle ei meeldi joonistamine."
"drawing_4","Do you want to draw together?","Kas soovite koos joonistada?"
"cycling","Cycling","Jalgrattasõit"
"cycling_2","I like cycling.","Mulle meeldib jalgrattasõit."
"cycling_3","I don't like cycling.","Mulle ei meeldi rattasõit."
"cycling_4","Do you want to go cycling?","Kas soovite jalgrattaga minna?"
"skating","Skating","Uisutamine"
"skating_2","I like skating.","Mulle meeldib uisutamine."
"skating_3","I don't like skating.","Mulle ei meeldi uisutamine."
"skating_4","Do you want to go skating?","Kas soovite uisutada?"
"sightseeing","Sightseeing","Vaatamisväärsused"
"sightseeing_2","I like sightseeing.","Mulle meeldib vaatamisväärsusi vaadata."
"sightseeing_3","I don't like sightseeing.","Mulle ei meeldi vaatamisväärsuste vaatamine."
"sightseeing_4","Do you want to go for sightseeing?","Kas soovite vaatamisväärsusi külastada?"
"video-games","Video games","Videomängud"
"video-games_2","I like playing video games.","Mulle meeldib videomänge mängida."
"video-games_3","I don't like playing video games.","Mulle ei meeldi videomängude mängimine."
"video-games_4","Do you want to play games?","Kas soovite mängida mänge?"
"tidying","Tidying","Korrastamine"
"tidying_2","I like tidying my room.","Mulle meeldib oma tuba korrastada."
"tidying_3","I don't like tidying my room.","Mulle ei meeldi oma toa koristamine."
"tidying_4","Can you help me tidy my room?","Kas saate aidata mul oma tuba korrastada?"
"toys","Toys","Mänguasjad"
"toys_2","I like toys.","Mulle meeldivad mänguasjad."
