"activities","Activities","Kegiatan"
"walking","Walking","Berjalan"
"walking_2","I like walking","saya suka berjalan"
"walking_3","I don't like walking","Saya tidak suka berjalan"
"walking_4","Do you want to walk together?","Apakah Anda ingin berjalan bersama?"
"running","Running","Lari"
"running_2","I like running.","Saya suka lari."
"running_3","I don't like running.","Saya tidak suka berlari."
"running_4","Do you want to go running?","Apakah Anda ingin berlari?"
"talking","Talking","Pembicaraan"
"talking_2","I like talking.","Saya suka berbicara."
"talking_3","I don't like talking.","Saya tidak suka berbicara."
"talking_4","Do you want to talk with me?","Apakah Anda ingin berbicara dengan saya?"
"reading","Reading","Bacaan"
"reading_2","I like reading.","Saya suka membaca."
"reading_3","I don't like reading.","Saya tidak suka membaca."
"reading_4","Do you want to read together?","Apakah Anda ingin membaca bersama?"
"football","Football","Sepak bola"
"football_2","I like playing football.","Saya suka bermain sepakbola."
"football_3","I don't like playing football.","Saya tidak suka bermain sepak bola."
"football_4","Do you want to play football?","Apakah Anda ingin bermain sepakbola?"
"basketball","Basketball","Bola basket"
"basketball_2","I like playing basketball.","Saya suka bermain basket."
"basketball_3","I don't like playing basketball.","Saya tidak suka bermain basket."
"basketball_4","Do you want to play basketball?","Apakah Anda ingin bermain bola basket?"
"swimming","Swimming","Renang"
"swimming_2","I like swimming.","Saya suka berenang."
"swimming_3","I don't like swimming.","Saya tidak suka berenang."
"swimming_4","Do you want to go to swimming?","Apakah kamu ingin pergi berenang?"
"painting","Painting","Lukisan"
"painting_2","I like painting.","Aku suka melukis."
"painting_3","I don't like painting.","Saya tidak suka melukis."
"painting_4","Do you want to paint together?","Apakah Anda ingin melukis bersama?"
"drawing","Drawing","Gambar"
"drawing_2","I like drawing.","Saya suka menggambar."
"drawing_3","I don't like drawing.","Saya tidak suka menggambar."
"drawing_4","Do you want to draw together?","Apakah Anda ingin menggambar bersama?"
"cycling","Cycling","Bersepeda"
"cycling_2","I like cycling.","Aku suka bersepeda."
"cycling_3","I don't like cycling.","Saya tidak suka bersepeda."
"cycling_4","Do you want to go cycling?","Anda ingin bersepeda?"
"skating","Skating","Skating"
"skating_2","I like skating.","Saya suka skating."
"skating_3","I don't like skating.","Saya tidak suka skating."
"skating_4","Do you want to go skating?","Apakah Anda ingin bermain skating?"
"sightseeing","Sightseeing","Melihat-lihat"
"sightseeing_2","I like sightseeing.","Saya suka jalan-jalan."
"sightseeing_3","I don't like sightseeing.","Saya tidak suka jalan-jalan."
"sightseeing_4","Do you want to go for sightseeing?","Apakah Anda ingin pergi jalan-jalan?"
"video-games","Video games","Video game"
"video-games_2","I like playing video games.","Saya suka bermain video game."
"video-games_3","I don't like playing video games.","Saya tidak suka bermain video game."
"video-games_4","Do you want to play games?","Apakah Anda ingin bermain game?"
"tidying","Tidying","Merapikan"
"tidying_2","I like tidying my room.","Saya suka merapikan kamar saya."
"tidying_3","I don't like tidying my room.","Saya tidak suka merapikan kamar saya."
"tidying_4","Can you help me tidy my room?","Bisakah Anda membantu saya merapikan kamar saya?"
"toys","Toys","Mainan"
"toys_2","I like toys.","Saya suka mainan."
"toys_3","I don't like toys.","Saya tidak suka mainan."
"toys_4","Do you want to play with my toys?","Apakah Anda ingin bermain dengan mainan saya?"
"puzzle","Puzzle","Membingungkan"
"puzzle_2","I like solving puzzle.","Saya suka memecahkan puzzle."
"puzzle_3","I don't like solving puzzle.","Saya tidak suka memecahkan puzzle."
"puzzle_4","Do you want to solve puzzles with me?","Apakah Anda ingin menyelesaikan teka-teki dengan saya?"
"comics","Comics","Komik"
"comics_2","I like reading comics.","Saya suka membaca komik."
"comics_3","I don't like reading comics.","Saya tidak suka membaca komik."
"comics_4","Do you want to read comics?","Anda ingin membaca komik?"
"chess","Chess","Catur"
"chess_2","I like playing chess.","Saya suka bermain catur."
"chess_3","I don't like playing chess.","Saya tidak suka bermain catur."
"chess_4","Do you want to play chess with me?","Apakah Anda ingin bermain catur dengan saya?"
"using-leeloo","Using Leeloo","Menggunakan Leeloo"
"using-leeloo_2","I like using leeloo.","Saya suka menggunakan leeloo."
"using-leeloo_3","I don't like using leeloo.","Saya tidak suka menggunakan leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Bisakah Anda mengganti paket kartu di leeloo?"
"texting","Texting","SMS"
"texting_2","I like texting.","Saya suka SMS."
"texting_3","I don't like texting.","Saya tidak suka SMS."
"knitting","Knitting","Rajutan"
"knitting_2","I like knitting.","Saya suka rajutan."
"knitting_3","I don't like knitting.","Saya tidak suka rajutan."
"knitting_4","I want to learn how to knit.","Saya ingin belajar cara merajut."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Saya suka bowling."
"bowling_3","I don't like bowling.","Saya tidak suka bowling."
"bowling_4","Do you want to play bowling with me?","Apakah Anda ingin bermain bowling dengan saya?"
"watching-tv","Watching TV","Menonton televisi"
"watching-tv_2","I like watching tv.","Saya suka menonton TV."
"watching-tv_3","I don't like watching tv.","Saya tidak suka menonton tv."
"watching-tv_4","Do you want to watch tv?","Apakah Anda ingin menonton tv?"
"fishing","Fishing","Penangkapan ikan"
"fishing_2","I like fishing.","Saya suka memancing."
"fishing_3","I don't like fishing.","Saya tidak suka memancing."
"fishing_4","Do you want to go to fishing?","Apakah Anda ingin pergi memancing?"
"exercising","Exercising","Berolahraga"
"exercising_2","I like exercising.","Saya suka berolahraga."
"exercising_3","I don't like exercising.","Saya tidak suka berolahraga."
"exercising_4","Do you want to exercise with me?","Apakah Anda ingin berolahraga dengan saya?"
"tennis","Tennis","Tenis"
"tennis_2","I like playing tennis.","Aku suka bermain tenis."
"tennis_3","I don't like playing tennis.","Saya tidak suka bermain tenis."
"tennis_4","Do you want to play tennis with me?","Apakah Anda ingin bermain tenis dengan saya?"
"animals","Animals","Binatang"
"cat","Cat","Kucing"
"cat_2","I like cats.","Aku suka kucing."
"cat_3","I saw a cat.","Saya melihat seekor kucing."
"cat_4","What noise does a cat make?","Suara apa yang dihasilkan kucing?"
"cat_5","Can we get a cat as pet?","Bisakah kita mendapatkan kucing sebagai hewan peliharaan?"
"dog","Dog","Anjing"
