"activities","Activities","attività"
"walking","Walking","A piedi"
"walking_2","I like walking","mi piace camminare"
"walking_3","I don't like walking","Non mi piace camminare"
"walking_4","Do you want to walk together?","Vuoi camminare insieme?"
"running","Running","In esecuzione"
"running_2","I like running.","Mi piace correre."
"running_3","I don't like running.","Non mi piace correre."
"running_4","Do you want to go running?","Vuoi andare a correre?"
"talking","Talking","parlando"
"talking_2","I like talking.","Mi piace parlare"
"talking_3","I don't like talking.","Non mi piace parlare."
"talking_4","Do you want to talk with me?","Vuoi parlare con me?"
"reading","Reading","Lettura"
"reading_2","I like reading.","Mi piace leggere."
"reading_3","I don't like reading.","Non mi piace leggere."
"reading_4","Do you want to read together?","Vuoi leggere insieme?"
"football","Football","Calcio"
"football_2","I like playing football.","Mi piace giocare a football."
"football_3","I don't like playing football.","Non mi piace giocare a calcio."
"football_4","Do you want to play football?","Vuoi giocare a calcio?"
"basketball","Basketball","Pallacanestro"
"basketball_2","I like playing basketball.","Mi piace giocare a basket."
"basketball_3","I don't like playing basketball.","Non mi piace giocare a basket."
"basketball_4","Do you want to play basketball?","Vuoi giocare a basket?"
"swimming","Swimming","Nuoto"
"swimming_2","I like swimming.","Mi piace nuotare."
"swimming_3","I don't like swimming.","Non mi piace nuotare."
"swimming_4","Do you want to go to swimming?","Vuoi andare a nuotare?"
"painting","Painting","Pittura"
"painting_2","I like painting.","Mi piace la pittura."
"painting_3","I don't like painting.","Non mi piace dipingere."
"painting_4","Do you want to paint together?","Vuoi dipingere insieme?"
"drawing","Drawing","Disegno"
"drawing_2","I like drawing.","Mi piace disegnare."
"drawing_3","I don't like drawing.","Non mi piace disegnare."
"drawing_4","Do you want to draw together?","Vuoi disegnare insieme?"
"cycling","Cycling","Ciclismo"
"cycling_2","I like cycling.","Mi piace andare in bicicletta."
"cycling_3","I don't like cycling.","Non mi piace andare in bicicletta."
"cycling_4","Do you want to go cycling?","Vuoi andare in bicicletta?"
"skating","Skating","Pattinando"
"skating_2","I like skating.","Mi piace pattinare."
"skating_3","I don't like skating.","Non mi piace pattinare."
"skating_4","Do you want to go skating?","Vuoi andare a pattinare?"
"sightseeing","Sightseeing","giro turistico"
"sightseeing_2","I like sightseeing.","Mi piace visitare la città."
"sightseeing_3","I don't like sightseeing.","Non mi piace visitare la città."
"sightseeing_4","Do you want to go for sightseeing?","Vuoi andare a visitare la città?"
"video-games","Video games","Videogiochi"
"video-games_2","I like playing video games.","Mi piace giocare ai videogiochi."
"video-games_3","I don't like playing video games.","Non mi piace giocare ai videogiochi."
"video-games_4","Do you want to play games?","Vuoi giocare?"
"tidying","Tidying","riordino"
"tidying_2","I like tidying my room.","Mi piace riordinare la mia stanza."
"tidying_3","I don't like tidying my room.","Non mi piace riordinare la mia stanza."
"tidying_4","Can you help me tidy my room?","Potete aiutarmi a riordinare la mia stanza?"
"toys","Toys","giocattoli"
"toys_2","I like toys.","Mi piacciono i giocattoli."
"toys_3","I don't like toys.","Non mi piacciono i giocattoli."
"toys_4","Do you want to play with my toys?","Vuoi giocare con i miei giocattoli?"
"puzzle","Puzzle","Puzzle"
"puzzle_2","I like solving puzzle.","Mi piace risolvere i puzzle."
"puzzle_3","I don't like solving puzzle.","Non mi piace risolvere enigmi."
"puzzle_4","Do you want to solve puzzles with me?","Vuoi risolvere enigmi con me?"
"comics","Comics","I fumetti"
"comics_2","I like reading comics.","Mi piace leggere i fumetti."
"comics_3","I don't like reading comics.","Non mi piace leggere i fumetti."
"comics_4","Do you want to read comics?","Vuoi leggere i fumetti?"
"chess","Chess","Scacchi"
"chess_2","I like playing chess.","Mi piace giocare a scacchi."
"chess_3","I don't like playing chess.","Non mi piace giocare a scacchi."
"chess_4","Do you want to play chess with me?","Vuoi giocare a scacchi con me?"
"using-leeloo","Using Leeloo","Usando Leeloo"
"using-leeloo_2","I like using leeloo.","Mi piace usare leeloo."
"using-leeloo_3","I don't like using leeloo.","Non mi piace usare leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Puoi cambiare i pacchetti di carte su leeloo?"
"texting","Texting","Texting"
"texting_2","I like texting.","Mi piace mandare SMS."
"texting_3","I don't like texting.","Non mi piace mandare SMS."
"knitting","Knitting","Maglieria"
"knitting_2","I like knitting.","Mi piace lavorare a maglia."
"knitting_3","I don't like knitting.","Non mi piace lavorare a maglia."
"knitting_4","I want to learn how to knit.","Voglio imparare a lavorare a maglia."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Mi piace il bowling."
"bowling_3","I don't like bowling.","Non mi piace il bowling."
"bowling_4","Do you want to play bowling with me?","Vuoi giocare a bowling con me?"
"watching-tv","Watching TV","Guardare la TV"
"watching-tv_2","I like watching tv.","Mi piace guardare la tv."
"watching-tv_3","I don't like watching tv.","Non mi piace guardare la tv."
"watching-tv_4","Do you want to watch tv?","Vuoi guardare la tv?"
"fishing","Fishing","Pesca"
"fishing_2","I like fishing.","Mi piace pescare."
"fishing_3","I don't like fishing.","Non mi piace pescare."
"fishing_4","Do you want to go to fishing?","Vuoi andare a pescare?"
"exercising","Exercising","esercitare"
"exercising_2","I like exercising.","Mi piace allenarmi"
"exercising_3","I don't like exercising.","Non mi piace allenarmi."
"exercising_4","Do you want to exercise with me?","Vuoi allenarti con me?"
"tennis","Tennis","Tennis"
"tennis_2","I like playing tennis.","Mi piace giocare a tennis."
"tennis_3","I don't like playing tennis.","Non mi piace giocare a tennis."
"tennis_4","Do you want to play tennis with me?","Vuoi giocare a tennis con me?"
"animals","Animals","Animali"
"cat","Cat","Gatto"
"cat_2","I like cats.","Mi piacciono i gatti."
"cat_3","I saw a cat.","Ho visto un gatto"
"cat_4","What noise does a cat make?","Che rumore fa un gatto?"
"cat_5","Can we get a cat as pet?","Possiamo prendere un gatto come animale domestico?"
"dog","Dog","Cane"
"dog_2","I like dog.","Mi piace il cane."
"dog_3","I saw a dog.","Ho visto un cane."
"dog_4","What noise does a dog make?","Che rumore fa un cane?"
"dog_5","Can we get a dog as pet?","Possiamo prendere un cane come animale domestico?"
"fish","Fish","Pesce"
"fish_2","I like fish.","Mi piace il pesce."
