"Leeloo", "Leeloo"
"Hello $1", "Привет $1"
"$1 packs", "$1 пакеты"
"$1 cards", "$1 карты"
"ACTIVE", "ACTIVE"
"This is a test voice!", "Это тестовый голос!"
"New Profile", "Новый профиль"
"Create a new application user profile.", "Создайте новый профиль пользователя приложения."
"Profile Name", "Имя профиля"
"You can give your child's name", "Вы можете дать имя своему ребенку"
"Profile Avatar", "Профиль Аватара"
"Choose an avatar that looks like the user of this profile", "Выберите аватар, который выглядит как пользователь этого профиля"
"Assistive Cards Packs", "Пакеты вспомогательных карточек"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Мы установим карты по умолчанию для этого профиля. Вы можете добавить или удалить пакеты вспомогательных карточек после создания"
"Change Avatar", "Сменить аватар"
"Choose an avatar to symbolize this profile", "Выберите аватар, чтобы символизировать этот профиль"
"My Account", "Мой счет"
"Make changes to the owner of this account.", "Внесите изменения в владельца этого аккаунта."
"Your Name", "Ваше имя"
"Name of account handler or parent", "Имя обработчика аккаунта или родителя"
"Email Address", "Адрес электронной почты"
"We will send updates and analytics", "Мы будем присылать обновления и аналитику"
"Account ID", "Идентификатор аккаунта"
"This is an unchangeable ID we might ask from you", "Это неизменяемый идентификатор, который мы можем попросить у вас"
"Language", "язык"
"Choose the language for app interface and assistive cards", "Выберите язык интерфейса приложения и вспомогательных карточек"
"Based On Your Device", "На основе вашего устройства"
"Languages from your native settings", "Языки из ваших родных настроек"
"Supported Languages", "Поддерживаемые Языки"
"All the languages that assistive cards support", "Все языки, которые поддерживают вспомогательные карты"
"Text-to-Speech Voice", "Текст в речь"
"Select the text-to-speech voice driver", "Выберите голосовой драйвер преобразования текста в речь"
"Based On Your Location", "На основе вашего местоположения"
"Voice drivers that match with both your language and location", "Голосовые драйверы, соответствующие вашему языку и местоположению"
"All Supported Voice Drivers", "Все поддерживаемые голосовые драйверы"
"List of all accents and supported voice drivers for your language", "Список всех акцентов и поддерживаемых голосовых драйверов для вашего языка"
"Notifications", "Уведомления"
"Choose when and why you would like to be notified by the app", "Выберите, когда и почему вы хотели бы получать уведомления от приложения"
"Reminders", "Напоминания"
"We will remind you to use and practice the app", "Мы напомним вам, чтобы использовать и практиковать приложение"
"Daily Reminders", "Ежедневные Напоминания"
"We will send you reminder to practice daily", "Мы будем отправлять вам напоминания для практики ежедневно"
"Weekly Reminders", "Еженедельные Напоминания"
"We will send you reminder to practice weekly", "Мы будем отправлять вам напоминание о тренировках еженедельно"
"Tips & Promotions", "Советы и акции"
"Decide if you like us to send you tips for using the app or new promotions", "Решите, хотите ли вы, чтобы мы присылали вам советы по использованию приложения или новых акций"
"Usability Tips", "Советы по юзабилити"
"How to effectively use the app", "Как эффективно использовать приложение"
"Promotions", "Акции"
"Let us notify you when we have a discount for the subscription", "Позвольте нам уведомить вас, когда у нас будет скидка на подписку"
"Subscriptions", "Подписки"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Управляйте своими подписками и покупками Leeloo Premium и переключайтесь между планами."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Чтобы отменить подписку, перейдите на свое устройство или настройки рынка и подписки."
"You can't downgrade your lifetime premium subscription.", "Вы не можете понизить свою пожизненную премиум-подписку."
"One-time payment", "Одноразовый платеж"
"Recurring payment", "Периодический платеж"
"Sign Out", "Выход"
"Send Feedback", "Отправить отзыв"
"Open Source Licenses", "Лицензии с открытым исходным кодом"
"Privacy Policy", "политика конфиденциальности"
"Terms of Service", "условия обслуживания"
"Remove My Data", "Удалить мои данные"
"Learn how we collect data and ask us to remove the collected data", "Узнайте, как мы собираем данные, и попросите нас удалить собранные данные."
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Мы не собираем личную информацию (PII) для детей, несовершеннолетних или умственно отсталых пользователей с назначенными опекунами."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "Следуя указаниям Закона о защите конфиденциальности детей в Интернете (COPPA), вы можете в любое время попросить нас удалить все ваши анонимные данные или данные вашего ребенка."
"To learn more, read our Privacy Policy in the previous menu.", "Чтобы узнать больше, прочитайте нашу Политику конфиденциальности в предыдущем меню."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Когда вы попросите нас удалить ваши данные, мы удалим вашу учетную запись и все данные, которые мы собрали о вас или вашем ребенке. Дополнительно, если у вас есть подписка, она будет прекращена. И удаленные данные не подлежат восстановлению."
"I understand, remove my data.", "Я понимаю, удалить мои данные."
"Parents Only", "Только родители"
"Drag and drop the key over padlock in order to unlock the Settings", "Перетащите ключ на замок, чтобы разблокировать настройки"
"Create a profile!", "Создать профиль!"
"Choose a profile name or tell us the person who is going to use this application.", "Выберите имя профиля или сообщите нам человека, который собирается использовать это приложение."
"Your Name", "Ваше имя"
"Choose an avatar!", "Выберите аватар!"
"Choose an avatar for the person who is going to use this AAC application.", "Выберите аватар для человека, который собирается использовать это приложение AAC."
"Boy", "мальчик"
"Girl", "девушка"
"Mixed", "смешанный"
"Congratulations, $1!", "Поздравляю, ХХХХХ!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Ваш профиль пользователя был заполнен. Вы можете начать использовать приложение Leeloo AAC"
"Welcome to", "Добро пожаловать в"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Спасибо за загрузку Leeloo AAC, давайте начнем с настройки вашего профиля leeloo."
"View other sign in options", "Посмотреть другие варианты входа"
"Who is using the app?", "Кто использует приложение?"
"Search cards and phrases...", "Поиск карточек и фраз ..."
"Unlock Leeloo Premium!", "Разблокировать Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Функциональность Leeloo AAC всегда будет бесплатной. Leeloo Premium предлагает +50 дополнительных пакетов вспомогательных карточек."
"Monthly", "ежемесячно"
"Try 3 days for FREE", "Попробуйте 3 дня бесплатно"
"Then $1/year", "Тогда $1 / год"
"Lifetime", "Продолжительность жизни"
"One-time Payment", "Одноразовый платеж"
"SAVE $1%", "СОХРАНИТЬ $1%"
"$1/mo", "$1 / мес"
"See the packs you will unlock", "Посмотри пакеты, которые ты разблокируешь"
"Scroll the cards right to see all of the premium assistive cards.", "Прокрутите карты вправо, чтобы увидеть все премиальные вспомогательные карты."
"$1 cards", "$1 карты"
"$1 phrases", "$1 фраз"
"Start 3 days FREE Trial", "Начать 3 дня бесплатно"
"Cancel anytime without cost", "Отменить в любое время без затрат"
