slug,locale,,,,,,,
school,School,,,,,,,
desk,Desk,🙋Can I use this desk?,❓Which desk is mine?,🥛I spilled on my desk.,❌Don't scratch your desk.,,,
chair,Chair,🙋Can I sit with you?,❓Which chair is mine?,☝️Is this chair taken?,🥛I spilled on my chair.,,,
book,Book,📙Textbook,📒Workbook,📚Reading a book.,😇Can I borrow your book?,📃Which page are we at?,☝️Flip the page.,😱I lost my book.
notebook,Notebook,📝Taking notes.,🖐️I'm taking notes.,😱I lost my notebook.,,,,
backpack,Backpack,👜Carrying my backpack.,💡Putting my books in my backpack.,🙋I need a new backpack.,🙏🏼Thank you for carrying my backpack.,😱I lost my backpack.,⚖️My backpack is heavy.,
blackboard,Blackboard,👀Look at the blackboard.,🧽Cleaning the blackboard.,🧮Solving the problem on the blackboard.,📝Taking note on the blackboard.,🖊️Give me a chalk.,,
teacher,Teacher,🤔I don't understand this part.,🔁Can you repeat the last part?,🚻Can I go to the restroom?,❓Which topic?,😀I like this topic.,😔I don't like this topic.,🙏🏼Thank you for the lesson.
school-bus,School bus,⌛School bus is coming.,❓Can I sit next to you?,🙏🏼Thank you bus driver!,⏱️School bus was late.,,,
pencil,Pencil,✏️I'm writing.,🎓I'm learning to write.,🙋I need a new pencil.,😇Can I borrow your pencil?,😱I lost my pencil.,,
eraser,Eraser,🧽I'm erasing.,🙋I need a new eraser.,😇Can I borrow your eraser?,😱I lost my eraser.,,,
ruler,Ruler,📏I'm measuring.,🙋I need a new ruler.,😇Can I borrow your ruler?,😱I lost my ruler.,,,
sharpener,Sharpener,🔪I'm sharpening my pencil.,🙋I need a new sharpener.,😇Can I borrow your sharpener?,😱I lost my sharpener.,,,
mathematics,Mathematics,❤️I like mathematics.,🙋I want to study mathematics.,❌I don't like mathematics.,⌚When is mathematics class?,☝️Can you help me with my mathematics homework?,,
literature,Literature,❤️I like literature.,🙋I want to study literature.,❌I don't like literature.,⌚When is literature class?,☝️Can you help me with my literature homework?,,
science,Science,❤️I like science.,🙋I want to study science.,❌I don't like science.,⌚When is science class?,☝️Can you help me with my science homework?,,
art-class,Art class,❤️I like art class.,🙋I want to practice art skills.,❌I don't like art class.,⌚When is art class?,☝️Can you help me with my art class homework?,,
music-class,Music class,❤️I like music class.,🙋I want to practice music skills.,❌I don't like music class.,⌚When is music class?,☝️Can you help me with my music class homework?,,
geography,Geography,❤️I like geography.,🙋I want to study geography.,❌I don't like geography.,⌚When is geography?,☝️Can you help me with my geography homework?,,
telescope,Telescope,🌎I'm using the telescope.,🙋I want to use the telescope.,🌟I want to look at the stars.,,,,
glue,Glue,👌I'm using glue.,🙋I need a new glue.,😇Can I borrow your glue?,😱I lost my glue.,,,
