"Leeloo", "Leeloo"
"Hello $1", "Halo $1"
"$1 packs", "Paket $1"
"$1 cards", "Kartu $1"
"ACTIVE", "AKTIF"
"This is a test voice!", "Ini suara uji!"
"New Profile", "Profil baru"
"Create a new application user profile.", "Buat profil pengguna aplikasi baru."
"Profile Name", "Nama profil"
"You can give your child's name", "Anda bisa memberi nama anak Anda"
"Profile Avatar", "Avatar Profil"
"Choose an avatar that looks like the user of this profile", "Pilih avatar yang terlihat seperti pengguna profil ini"
"Assistive Cards Packs", "Paket Kartu Bantu"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Kami akan menetapkan kartu default untuk profil ini. Anda dapat menambah atau menghapus paket kartu bantuan setelah membuat"
"Change Avatar", "Mengubah avatar"
"Choose an avatar to symbolize this profile", "Pilih avatar untuk melambangkan profil ini"
"My Account", "Akun saya"
"Make changes to the owner of this account.", "Buat perubahan pada pemilik akun ini."
"Your Name", "Namamu"
"Name of account handler or parent", "Nama pengendali akun atau orang tua"
"Email Address", "Alamat email"
"We will send updates and analytics", "Kami akan mengirimkan pembaruan dan analitik"
"Account ID", "ID Akun"
"This is an unchangeable ID we might ask from you", "Ini adalah ID yang tidak dapat diubah yang mungkin kami minta dari Anda"
"Language", "Bahasa"
"Choose the language for app interface and assistive cards", "Pilih bahasa untuk antarmuka aplikasi dan kartu bantu"
"Based On Your Device", "Berdasarkan Perangkat Anda"
"Languages from your native settings", "Bahasa dari pengaturan asli Anda"
"Supported Languages", "Bahasa yang didukung"
"All the languages that assistive cards support", "Semua bahasa yang mendukung kartu bantu"
"Text-to-Speech Voice", "Suara Text-to-Speech"
"Select the text-to-speech voice driver", "Pilih driver suara text-to-speech"
"Based On Your Location", "Berdasarkan Lokasi Anda"
"Voice drivers that match with both your language and location", "Driver suara yang cocok dengan bahasa dan lokasi Anda"
"All Supported Voice Drivers", "Semua Driver Suara yang Didukung"
"List of all accents and supported voice drivers for your language", "Daftar semua aksen dan driver suara yang didukung untuk bahasa Anda"
"Notifications", "Notifikasi"
"Choose when and why you would like to be notified by the app", "Pilih kapan dan mengapa Anda ingin diberi tahu oleh aplikasi"
"Reminders", "Pengingat"
"We will remind you to use and practice the app", "Kami akan mengingatkan Anda untuk menggunakan dan berlatih aplikasi"
"Daily Reminders", "Pengingat Harian"
"We will send you reminder to practice daily", "Kami akan mengirimkan pengingat untuk berlatih setiap hari"
"Weekly Reminders", "Pengingat Mingguan"
"We will send you reminder to practice weekly", "Kami akan mengirimkan pengingat untuk berlatih setiap minggu"
"Tips & Promotions", "Kiat & Promosi"
"Decide if you like us to send you tips for using the app or new promotions", "Putuskan apakah Anda ingin kami mengirimi Anda kiat untuk menggunakan aplikasi atau promosi baru"
"Usability Tips", "Tips Kegunaan"
"How to effectively use the app", "Cara efektif menggunakan aplikasi"
"Promotions", "Promosi"
"Let us notify you when we have a discount for the subscription", "Biarkan kami memberi tahu Anda ketika kami memiliki diskon untuk berlangganan"
"Subscriptions", "Berlangganan"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Kelola langganan Anda dan pembelian Leeloo Premium dan beralih di antara paket."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Untuk membatalkan langganan, silakan buka perangkat Anda dan pengaturan pasar dan langganan."
"You can't downgrade your lifetime premium subscription.", "Anda tidak dapat menurunkan langganan premium seumur hidup Anda."
"One-time payment", "Pembayaran satu kali"
"Recurring payment", "Pembayaran berulang"
"Sign Out", "Keluar"
"Send Feedback", "Kirim Umpan Balik"
"Open Source Licenses", "Lisensi Sumber Terbuka"
"Privacy Policy", "Rahasia pribadi"
"Terms of Service", "Ketentuan Layanan"
"Remove My Data", "Hapus Data Saya"
"Learn how we collect data and ask us to remove the collected data", "Pelajari cara kami mengumpulkan data dan meminta kami menghapus data yang dikumpulkan"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Kami tidak mengumpulkan Informasi Identifikasi Pribadi (PII) untuk anak-anak, anak di bawah umur atau pengguna dengan keterbatasan intelektual dengan wali yang ditunjuk."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "Mengikuti pedoman Undang-Undang Perlindungan Privasi Daring Anak-anak (COPPA), Anda dapat meminta kami untuk menghapus semua data anonim Anda atau anak Anda kapan saja Anda mau."
"To learn more, read our Privacy Policy in the previous menu.", "Untuk mempelajari lebih lanjut, baca Kebijakan Privasi kami di menu sebelumnya."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Ketika Anda meminta kami untuk menghapus data Anda, kami akan menghapus akun Anda dan data apa pun yang kami kumpulkan tentang Anda atau anak Anda. Tambahan lagi jika Anda memiliki langganan, itu akan dihentikan. Dan data yang dihapus tidak akan dapat dipulihkan."
"I understand, remove my data.", "Saya mengerti, menghapus data saya."
"Parents Only", "Hanya Orang Tua"
"Drag and drop the key over padlock in order to unlock the Settings", "Seret dan letakkan tombol di atas gembok untuk membuka kunci Pengaturan"
"Create a profile!", "Buat profil!"
"Choose a profile name or tell us the person who is going to use this application.", "Pilih nama profil atau beri tahu kami orang yang akan menggunakan aplikasi ini."
"Your Name", "Namamu"
"Choose an avatar!", "Pilih avatar!"
"Choose an avatar for the person who is going to use this AAC application.", "Pilih avatar untuk orang yang akan menggunakan aplikasi AAC ini."
"Boy", "Anak laki-laki"
"Girl", "Gadis"
"Mixed", "Campuran"
"Congratulations, $1!", "Selamat, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Profil pengguna Anda telah selesai. Anda dapat mulai menggunakan aplikasi Leeloo AAC"
"Welcome to", "Selamat Datang di"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Terima kasih telah mengunduh Leeloo AAC, mari mulai dengan mengatur profil leeloo Anda."
"View other sign in options", "Lihat opsi masuk lainnya"
"Who is using the app?", "Siapa yang menggunakan aplikasi ini?"
"Search cards and phrases...", "Cari kartu dan frasa ..."
"Unlock Leeloo Premium!", "Buka Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Fungsi Leeloo AAC akan selalu gratis. Leeloo Premium menawarkan +50 paket Kartu Bantu tambahan."
"Monthly", "Bulanan"
"Try 3 days for FREE", "Coba 3 hari GRATIS"
"Then $1/year", "Kemudian $1 / tahun"
"Lifetime", "Seumur hidup"
"One-time Payment", "Pembayaran satu kali"
"SAVE $1%", "HEMAT $1%"
"$1/mo", "$1 / bln"
"See the packs you will unlock", "Lihat paket yang akan Anda buka kuncinya"
"Scroll the cards right to see all of the premium assistive cards.", "Gulir kartu ke kanan untuk melihat semua kartu bantu premium."
"$1 cards", "Kartu $1"
"$1 phrases", "Frasa $1"
"Start 3 days FREE Trial", "Mulai 3 hari Percobaan GRATIS"
"Cancel anytime without cost", "Batalkan kapan saja tanpa biaya"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "Uji coba gratis selama 3 hari hanya berlaku untuk rencana tahunan dan selama ini; Anda dapat membatalkan langganan Anda tanpa biaya apa pun."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "Pastikan untuk meninjau Syarat dan Ketentuan platform penjual sebelumnya, jika Anda memiliki masalah atau masalah, hubungi kami dan kami akan melakukan segala yang kami bisa untuk menyelesaikan masalah yang Anda hadapi."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "Paket bulanan dan tahunan adalah paket berulang dan paket Seumur Hidup adalah paket pembayaran satu kali, untuk langganan, kecuali jika perpanjangan otomatis dimatikan, Anda akan dikenakan harga periode saat periode saat ini berakhir."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "Ingatlah bahwa pengembalian uang ditangani oleh platform dan waktu pengembalian dan kebijakan mungkin berbeda sehubungan dengan platform dan pasar tempat Anda berlangganan."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "Silakan laporkan pembelian yang tidak disengaja kepada kami pada hari yang sama atau setidaknya dalam 24 jam menggunakan halaman 'Kirim Umpan Balik' di pengaturan Aplikasi."
"Leeloo Premium", "Leeloo Premium"
"Subscribe to get more", "Berlanggananlah untuk mendapat lebih banyak"
"Try 3 days for free", "Coba 3 hari gratis"
"Next", "Lanjut"
"Start", "Mulailah"
"USE", "MENGGUNAKAN"
"USING", "MENGGUNAKAN"
"ADD", "MENAMBAHKAN"
"REMOVE", "MENGHAPUS"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "Perangkat Anda tidak mendukung driver suara untuk bahasa ini. Untuk menggunakan kemampuan TTS, Anda harus menginstal driver suara. Anda dapat mencoba aplikasi 'Google TTS' untuk menginstal dan mengelola driver!"
"Confirm Sign Out", "Konfirmasikan Keluar"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "Ingatlah bahwa Anda dapat terus masuk, dan tidak harus keluar dari akun setiap saat."
"Remove Profile", "Hapus Profil"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "Yakin ingin menghapus profil ini, data yang dibuat oleh profil ini juga akan dihapus."
"OK", "baik"
"Cancel", "Membatalkan"
