"activities","Activities","aktivity"
"walking","Walking","vychádzkové"
"walking_2","I like walking","Rád chodím"
"walking_3","I don't like walking","Nemám rád chôdzu"
"walking_4","Do you want to walk together?","Chcete spolu chodiť?"
"running","Running","beh"
"running_2","I like running.","Mám rád beh."
"running_3","I don't like running.","Nemám rád beh."
"running_4","Do you want to go running?","Chcete bežať?"
"talking","Talking","rozprávanie"
"talking_2","I like talking.","Rada rozprávam."
"talking_3","I don't like talking.","Nerád hovorím."
"talking_4","Do you want to talk with me?","Chceš sa so mnou rozprávať?"
"reading","Reading","Čítanie"
"reading_2","I like reading.","Rád čítam."
"reading_3","I don't like reading.","Nepáči sa mi čítať."
"reading_4","Do you want to read together?","Chcete spolu čítať?"
"football","Football","Futbal"
"football_2","I like playing football.","Rád hrám futbal."
"football_3","I don't like playing football.","Nemám rád futbal."
"football_4","Do you want to play football?","Chcete hrať futbal?"
"basketball","Basketball","basketbal"
"basketball_2","I like playing basketball.","Rád hrám basketbal."
"basketball_3","I don't like playing basketball.","Nerada hrám basketbal."
"basketball_4","Do you want to play basketball?","Chcete hrať basketbal?"
"swimming","Swimming","plávanie"
"swimming_2","I like swimming.","Rád plávam."
"swimming_3","I don't like swimming.","Nemám rád plávanie."
"swimming_4","Do you want to go to swimming?","Chcete ísť na kúpanie?"
"painting","Painting","natieranie"
"painting_2","I like painting.","Páči sa mi maľovanie."
"painting_3","I don't like painting.","Nemám rád maľovanie."
"painting_4","Do you want to paint together?","Chcete maľovať spolu?"
"drawing","Drawing","kreslenie"
"drawing_2","I like drawing.","Páči sa mi kreslenie."
"drawing_3","I don't like drawing.","Nemám rád kreslenie."
"drawing_4","Do you want to draw together?","Chcete sa spojiť?"
"cycling","Cycling","jazda na bicykli"
"cycling_2","I like cycling.","Páči sa mi jazda na bicykli."
"cycling_3","I don't like cycling.","Nepáči sa mi cyklistika."
"cycling_4","Do you want to go cycling?","Chcete ísť na bicykli?"
"skating","Skating","korčuľovanie"
"skating_2","I like skating.","Páči sa mi korčuľovanie."
"skating_3","I don't like skating.","Nemám rád korčuľovanie."
"skating_4","Do you want to go skating?","Chcete ísť na korčuľovanie?"
"sightseeing","Sightseeing","vyhliadkové"
"sightseeing_2","I like sightseeing.","Páči sa mi poznávanie."
"sightseeing_3","I don't like sightseeing.","Nepáči sa mi poznávanie."
"sightseeing_4","Do you want to go for sightseeing?","Chcete ísť na prehliadku pamiatok?"
"video-games","Video games","Video hry"
"video-games_2","I like playing video games.","Páči sa mi hranie videohier."
"video-games_3","I don't like playing video games.","Nerád hrám videohry."
"video-games_4","Do you want to play games?","Chcete hrať hry?"
"tidying","Tidying","upratovanie"
"tidying_2","I like tidying my room.","Páči sa mi upratať izbu."
"tidying_3","I don't like tidying my room.","Nemám rád upratovanie mojej izby."
"tidying_4","Can you help me tidy my room?","Môžete mi pomôcť upratať izbu?"
"toys","Toys","hračky"
"toys_2","I like toys.","Mám rád hračky."
"toys_3","I don't like toys.","Nemám rád hračky."
"toys_4","Do you want to play with my toys?","Chcete sa hrať s mojimi hračkami?"
"puzzle","Puzzle","skladačka"
"puzzle_2","I like solving puzzle.","Páči sa mi riešenie hádanky."
"puzzle_3","I don't like solving puzzle.","Nemám rád riešenie hádanky."
"puzzle_4","Do you want to solve puzzles with me?","Chcete so mnou riešiť hádanky?"
"comics","Comics","komiks"
"comics_2","I like reading comics.","Páči sa mi čítanie komiksu."
"comics_3","I don't like reading comics.","Nemám rád čítanie komiksu."
"comics_4","Do you want to read comics?","Chcete čítať komiksy?"
"chess","Chess","šach"
"chess_2","I like playing chess.","Rád hrám šach."
"chess_3","I don't like playing chess.","Nemám rád šach."
"chess_4","Do you want to play chess with me?","Chceš si so mnou zahrať šach?"
"using-leeloo","Using Leeloo","Používanie Leeloo"
"using-leeloo_2","I like using leeloo.","Rád používam leeloo."
"using-leeloo_3","I don't like using leeloo.","Nemám rád leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Môžete vymeniť balíčky kariet na leeloo?"
"texting","Texting","Písanie"
"texting_2","I like texting.","Páči sa mi textových správ."
"texting_3","I don't like texting.","Nemám rád textové správy."
"knitting","Knitting","pletenie"
"knitting_2","I like knitting.","Páči sa mi pletenie."
"knitting_3","I don't like knitting.","Nepáči sa mi pletenie."
"knitting_4","I want to learn how to knit.","Chcem sa naučiť pliesť."
"bowling","Bowling","kolky"
"bowling_2","I like bowling.","Mám rád bowling."
"bowling_3","I don't like bowling.","Nemám rád bowling."
"bowling_4","Do you want to play bowling with me?","Chcete si so mnou zahrať bowling?"
"watching-tv","Watching TV","Pozeranie TV"
"watching-tv_2","I like watching tv.","Rád sledujem televíziu."
"watching-tv_3","I don't like watching tv.","Nemám rád pozeranie televízie."
"watching-tv_4","Do you want to watch tv?","Chcete pozerať televíziu?"
"fishing","Fishing","rybárčenie"
"fishing_2","I like fishing.","Páči sa mi rybolov."
"fishing_3","I don't like fishing.","Nemám rád rybolov."
"fishing_4","Do you want to go to fishing?","Chcete ísť na rybolov?"
"exercising","Exercising","cvičenie"
"exercising_2","I like exercising.","Rád cvičím."
"exercising_3","I don't like exercising.","Nemám rád cvičenie."
"exercising_4","Do you want to exercise with me?","Chcete so mnou cvičiť?"
"tennis","Tennis","tenis"
"tennis_2","I like playing tennis.","Rád hrám tenis."
"tennis_3","I don't like playing tennis.","Nemám rád tenis."
"tennis_4","Do you want to play tennis with me?","Chcete si so mnou zahrať tenis?"
"animals","Animals","zver"
"cat","Cat","mačka"
"cat_2","I like cats.","Mám rád mačky."
"cat_3","I saw a cat.","Videl som mačku."
"cat_4","What noise does a cat make?","Aký hluk vytvára mačka?"
"cat_5","Can we get a cat as pet?","Môžeme dostať mačku ako domáceho maznáčika?"
"dog","Dog","pes"
"dog_2","I like dog.","Mám rád psa."
"dog_3","I saw a dog.","Videl som psa."
"dog_4","What noise does a dog make?","Aký hluk robí pes?"
"dog_5","Can we get a dog as pet?","Môžeme získať psa ako domáceho maznáčika?"
"fish","Fish","ryby"
"fish_2","I like fish.","Mám rád ryby."
"fish_3","I saw a fish.","Videl som rybu."
"fish_4","What noise does a fish make?","Aký hluk vytvára ryba?"
"fish_5","Can we get a fish as pet?","Môžeme dostať rybu ako domáceho maznáčika?"
"rabbit","Rabbit","králik"
"rabbit_2","I like rabbits.","Mám rád králiky."
"rabbit_3","I saw a rabbit.","Videl som zajaca."
"rabbit_4","What noise does a rabbit make?","Aký hluk vytvára králik?"
"rabbit_5","Can we get a rabbit as pet?","Môžeme získať králika ako domáceho maznáčika?"
"butterfly","Butterfly","motýľ"
"butterfly_2","I like butterflies.","Mám rád motýle."
"butterfly_3","I saw a butterfly.","Videl som motýľa."
"butterfly_4","What noise does a butterfly make?","Aký hluk vytvára motýľ?"
"kangaroo","Kangaroo","Klokan"
"kangaroo_2","I like kangaroos.","Páči sa mi klokany."
"kangaroo_3","I saw a kangaroo.","Videl som klokan."
"kangaroo_4","What noise does a kangaroo make?","Aký hluk vydáva klokan?"
"turtle","Turtle","korytnačka"
"turtle_2","I like turtles.","Mám rád korytnačky."
"turtle_3","I saw a turtle.","Videl som korytnačku."
"turtle_4","What noise does a turtle make?","Aký hluk robí korytnačka?"
"giraffe","Giraffe","žirafa"
"giraffe_2","I like giraffes.","Mám rád žirafy."
"giraffe_3","I saw a giraffe.","Videl som žirafu."
"giraffe_4","What noise does a giraffe make?","Aký hluk vytvára žirafa?"
"frog","Frog","žaba"
"frog_2","I like frogs.","Mám rád žaby."
"frog_3","I saw a frog.","Videl som žabu."
"frog_4","What noise does a frog make?","Aký hluk vytvára žaba?"
"swan","Swan","labuť"
"swan_2","I like swans.","Mám rád labute."
"swan_3","I saw a swan.","Videl som labuť."
"swan_4","What noise does a swan make?","Aký hluk robí labuť?"
"spider","Spider","pavúk"
"spider_2","I like spiders.","Mám rada pavúky."
"spider_3","I saw a spider.","Videl som pavúka."
"spider_4","What noise does a spider make?","Aký hluk vytvára pavúk?"
"cow","Cow","krava"
"cow_2","I like cows.","Mám rád kravy."
"cow_3","I saw a cow.","Videl som kravu."
"cow_4","What noise does a cow make?","Aký hluk vytvára krava?"
"duck","Duck","kačica"
"duck_2","I like ducks.","Mám rád kačice."
"duck_3","I saw a duck.","Videl som kačicu."
"duck_4","What noise does a duck make?","Aký hluk vydáva kačica?"
"horse","Horse","kôň"
"horse_2","I like horses.","Mám rada kone."
"horse_3","I saw a horse.","Videl som koňa."
"horse_4","What noise does a horse make?","Aký hluk robí kôň?"
"chicken","Chicken","Kura"
"chicken_2","I like chickens.","Mám rada kurčatá."
"chicken_3","I saw a chicken.","Videl som kura."
"chicken_4","What noise does a chicken make?","Aký hluk spôsobuje kurča?"
"bee","Bee","včela"
"bee_2","I like bees.","Mám rada včely."
"bee_3","I saw a bee.","Videl som včelu."
"bee_4","What noise does a bee make?","Aký hluk včely vydávajú?"
"pig","Pig","prasa"
"pig_2","I like pigs.","Mám rád ošípané."
"pig_3","I saw a pig.","Videl som prasa."
"pig_4","What noise does a pig make?","Aký hluk vytvára prasa?"
"dove","Dove","holubica"
"dove_2","I like doves.","Mám rád holubice."
"dove_3","I saw a dove.","Videl som holubicu."
"dove_4","What noise does a dove make?","Aký hluk robí holubica?"
"crab","Crab","krab"
"crab_2","I like crabs.","Mám rád kraby."
"crab_3","I saw a crab.","Videl som kraba."
"crab_4","What noise does a crab make?","Aký hluk robí krab?"
"penguin","Penguin","tučniak"
"penguin_2","I like penguins.","Páči sa mi tučniaky."
"penguin_3","I saw a penguin.","Videl som tučniaka."
"penguin_4","What noise does a penguin make?","Aký hluk spôsobuje tučniak?"
"elephant","Elephant","slon"
"elephant_2","I like elephants.","Páči sa mi slony."
"elephant_3","I saw an elephant.","Videl som slona."
"elephant_4","What noise does an elephant make?","Aký hluk spôsobuje slon?"
"zebra","Zebra","zebra"
"zebra_2","I like zebras.","Mám rád zebry."
"zebra_3","I saw a zebra.","Videl som zebru."
"zebra_4","What noise does a zebra make?","Aký hluk vytvára zebra?"
"panda","Panda","panda"
"panda_2","I like pandas.","Páči sa mi pandy."
"panda_3","I saw a panda.","Videl som pandu."
"panda_4","What noise does a panda make?","Aký hluk vydáva panda?"
"monkey","Monkey","opice"
"monkey_2","I like monkeys.","Mám rád opice."
"monkey_3","I saw a monkey.","Videl som opicu."
"monkey_4","What noise does a monkey make?","Aký hluk vydáva opica?"
