"activities","Activities","活动项目"
"walking","Walking","步行"
"walking_2","I like walking","我喜欢走路"
"walking_3","I don't like walking","我不喜欢走路"
"walking_4","Do you want to walk together?","你想一起走吗？"
"running","Running","跑步"
"running_2","I like running.","我喜欢跑步。"
"running_3","I don't like running.","我不喜欢跑步。"
"running_4","Do you want to go running?","你要跑步吗？"
"talking","Talking","说"
"talking_2","I like talking.","我喜欢说话。"
"talking_3","I don't like talking.","我不喜欢说话"
"talking_4","Do you want to talk with me?","你想和我谈话吗？"
"reading","Reading","阅读"
"reading_2","I like reading.","我喜欢阅读。"
"reading_3","I don't like reading.","我不喜欢读书。"
"reading_4","Do you want to read together?","你想一起读书吗？"
"football","Football","足球"
"football_2","I like playing football.","我喜欢踢足球。"
"football_3","I don't like playing football.","我不喜欢踢足球。"
"football_4","Do you want to play football?","你想踢足球吗？"
"basketball","Basketball","篮球"
"basketball_2","I like playing basketball.","我喜欢打篮球。"
"basketball_3","I don't like playing basketball.","我不喜欢打篮球。"
"basketball_4","Do you want to play basketball?","你想打篮球吗？"
"swimming","Swimming","游泳的"
"swimming_2","I like swimming.","我喜欢游泳。"
"swimming_3","I don't like swimming.","我不喜欢游泳。"
"swimming_4","Do you want to go to swimming?","你想去游泳吗？"
"painting","Painting","绘画"
"painting_2","I like painting.","我喜欢绘画。"
"painting_3","I don't like painting.","我不喜欢画画。"
"painting_4","Do you want to paint together?","你想一起画画吗？"
"drawing","Drawing","画画"
"drawing_2","I like drawing.","我喜欢画画。"
"drawing_3","I don't like drawing.","我不喜欢画画。"
"drawing_4","Do you want to draw together?","你想在一起吗？"
"cycling","Cycling","循环"
"cycling_2","I like cycling.","我喜欢骑自行车。"
"cycling_3","I don't like cycling.","我不喜欢骑自行车。"
"cycling_4","Do you want to go cycling?","你想骑自行车吗？"
"skating","Skating","溜冰"
"skating_2","I like skating.","我喜欢滑冰。"
"skating_3","I don't like skating.","我不喜欢滑冰。"
"skating_4","Do you want to go skating?","你想溜冰吗？"
"sightseeing","Sightseeing","观光景点"
"sightseeing_2","I like sightseeing.","我喜欢观光。"
"sightseeing_3","I don't like sightseeing.","我不喜欢观光。"
"sightseeing_4","Do you want to go for sightseeing?","你想去观光吗？"
"video-games","Video games","视频游戏"
"video-games_2","I like playing video games.","我喜欢玩电子游戏。"
"video-games_3","I don't like playing video games.","我不喜欢玩电子游戏。"
"video-games_4","Do you want to play games?","你想玩游戏吗？"
"tidying","Tidying","整理"
"tidying_2","I like tidying my room.","我喜欢整理房间。"
"tidying_3","I don't like tidying my room.","我不喜欢收拾房间。"
"tidying_4","Can you help me tidy my room?","你能帮我整理房间吗？"
"toys","Toys","玩具"
"toys_2","I like toys.","我喜欢玩具。"
"toys_3","I don't like toys.","我不喜欢玩具。"
"toys_4","Do you want to play with my toys?","你想玩我的玩具吗？"
"puzzle","Puzzle","难题"
"puzzle_2","I like solving puzzle.","我喜欢解决难题。"
"puzzle_3","I don't like solving puzzle.","我不喜欢解决难题。"
"puzzle_4","Do you want to solve puzzles with me?","您想和我一起解决难题吗？"
"comics","Comics","漫画"
"comics_2","I like reading comics.","我喜欢看漫画。"
"comics_3","I don't like reading comics.","我不喜欢看漫画。"
"comics_4","Do you want to read comics?","你想看漫画吗？"
"chess","Chess","棋"
"chess_2","I like playing chess.","我喜欢下棋。"
"chess_3","I don't like playing chess.","我不喜欢下棋。"
"chess_4","Do you want to play chess with me?","你想和我下棋吗？"
"using-leeloo","Using Leeloo","使用Leeloo"
"using-leeloo_2","I like using leeloo.","我喜欢使用leeloo。"
"using-leeloo_3","I don't like using leeloo.","我不喜欢使用leeloo。"
"using-leeloo_4","Can you change card packs on leeloo?","您可以在leeloo上更换卡包吗？"
"texting","Texting","发短信"
"texting_2","I like texting.","我喜欢发短信。"
"texting_3","I don't like texting.","我不喜欢发短信。"
"knitting","Knitting","针织"
"knitting_2","I like knitting.","我喜欢编织。"
"knitting_3","I don't like knitting.","我不喜欢编织。"
"knitting_4","I want to learn how to knit.","我想学习编织。"
"bowling","Bowling","保龄球"
"bowling_2","I like bowling.","我喜欢打保龄球。"
"bowling_3","I don't like bowling.","我不喜欢打保龄球。"
"bowling_4","Do you want to play bowling with me?","你想和我一起打保龄球吗？"
"watching-tv","Watching TV","看电视"
"watching-tv_2","I like watching tv.","我喜欢看电视。"
"watching-tv_3","I don't like watching tv.","我不喜欢看电视。"
"watching-tv_4","Do you want to watch tv?","你想看电视吗？"
"fishing","Fishing","钓鱼"
"fishing_2","I like fishing.","我喜欢钓鱼。"
"fishing_3","I don't like fishing.","我不喜欢钓鱼。"
"fishing_4","Do you want to go to fishing?","你想去钓鱼吗？"
"exercising","Exercising","锻炼"
"exercising_2","I like exercising.","我喜欢运动。"
"exercising_3","I don't like exercising.","我不喜欢运动。"
"exercising_4","Do you want to exercise with me?","你想和我一起运动吗？"
"tennis","Tennis","网球"
"tennis_2","I like playing tennis.","我喜欢打网球。"
"tennis_3","I don't like playing tennis.","我不喜欢打网球。"
"tennis_4","Do you want to play tennis with me?","你想和我一起打网球吗？"
"animals","Animals","动物"
"cat","Cat","猫"
"cat_2","I like cats.","我喜欢猫。"
"cat_3","I saw a cat.","我看到一只猫。"
"cat_4","What noise does a cat make?","猫会发出什么声音？"
"cat_5","Can we get a cat as pet?","我们可以把猫当宠物吗？"
"dog","Dog","狗"
"dog_2","I like dog.","我喜欢狗。"
"dog_3","I saw a dog.","我看到了一条狗。"
"dog_4","What noise does a dog make?","狗发出什么声音？"
"dog_5","Can we get a dog as pet?","我们可以把狗当宠物吗？"
"fish","Fish","鱼"
"fish_2","I like fish.","我喜欢鱼。"
"fish_3","I saw a fish.","我看到一条鱼。"
"fish_4","What noise does a fish make?","鱼会发出什么声音？"
"fish_5","Can we get a fish as pet?","我们可以把鱼当宠物吗？"
"rabbit","Rabbit","兔子"
"rabbit_2","I like rabbits.","我喜欢兔子。"
"rabbit_3","I saw a rabbit.","我看到了一只兔子。"
"rabbit_4","What noise does a rabbit make?","兔子发出什么声音？"
"rabbit_5","Can we get a rabbit as pet?","我们可以把兔子当宠物吗？"
"butterfly","Butterfly","蝴蝶"
"butterfly_2","I like butterflies.","我喜欢蝴蝶。"
"butterfly_3","I saw a butterfly.","我看见了一只蝴蝶。"
"butterfly_4","What noise does a butterfly make?","蝴蝶发出什么声音？"
"kangaroo","Kangaroo","袋鼠"
"kangaroo_2","I like kangaroos.","我喜欢袋鼠。"
"kangaroo_3","I saw a kangaroo.","我看到了一只袋鼠。"
"kangaroo_4","What noise does a kangaroo make?","袋鼠发出什么声音？"
"turtle","Turtle","龟"
"turtle_2","I like turtles.","我喜欢乌龟。"
"turtle_3","I saw a turtle.","我看到一只乌龟。"
"turtle_4","What noise does a turtle make?","乌龟发出什么声音？"
"giraffe","Giraffe","长颈鹿"
"giraffe_2","I like giraffes.","我喜欢长颈鹿。"
"giraffe_3","I saw a giraffe.","我看见了一只长颈鹿。"
"giraffe_4","What noise does a giraffe make?","长颈鹿发出什么声音？"
"frog","Frog","青蛙"
"frog_2","I like frogs.","我喜欢青蛙。"
"frog_3","I saw a frog.","我看到了一只青蛙。"
"frog_4","What noise does a frog make?","青蛙发出什么声音？"
"swan","Swan","天鹅"
"swan_2","I like swans.","我喜欢天鹅。"
"swan_3","I saw a swan.","我看到了一只天鹅。"
"swan_4","What noise does a swan make?","天鹅发出什么声音？"
"spider","Spider","蜘蛛"
"spider_2","I like spiders.","我喜欢蜘蛛。"
"spider_3","I saw a spider.","我看到了一只蜘蛛。"
"spider_4","What noise does a spider make?","蜘蛛会发出什么声音？"
"cow","Cow","牛"
"cow_2","I like cows.","我喜欢牛。"
"cow_3","I saw a cow.","我看见一头牛。"
"cow_4","What noise does a cow make?","牛发出什么声音？"
"duck","Duck","鸭"
"duck_2","I like ducks.","我喜欢鸭子。"
"duck_3","I saw a duck.","我看见一只鸭子。"
"duck_4","What noise does a duck make?","鸭子发出什么声音？"
"horse","Horse","马"
"horse_2","I like horses.","我喜欢马。"
"horse_3","I saw a horse.","我看见一匹马。"
"horse_4","What noise does a horse make?","一匹马发出什么声音？"
"chicken","Chicken","鸡"
"chicken_2","I like chickens.","我喜欢鸡。"
"chicken_3","I saw a chicken.","我看到了一只鸡。"
"chicken_4","What noise does a chicken make?","鸡发出什么声音？"
"bee","Bee","蜜蜂"
"bee_2","I like bees.","我喜欢蜜蜂。"
"bee_3","I saw a bee.","我看到一只蜜蜂。"
"bee_4","What noise does a bee make?","蜜蜂发出什么声音？"
"pig","Pig","猪"
"pig_2","I like pigs.","我喜欢猪。"
"pig_3","I saw a pig.","我看见一头猪。"
"pig_4","What noise does a pig make?","猪发出什么声音？"
"dove","Dove","鸽子"
"dove_2","I like doves.","我喜欢鸽子。"
"dove_3","I saw a dove.","我看到了一只鸽子。"
"dove_4","What noise does a dove make?","鸽子发出什么声音？"
"crab","Crab","螃蟹"
"crab_2","I like crabs.","我喜欢螃蟹。"
"crab_3","I saw a crab.","我看到了一只螃蟹。"
"crab_4","What noise does a crab make?","螃蟹发出什么声音？"
"penguin","Penguin","企鹅"
"penguin_2","I like penguins.","我喜欢企鹅。"
"penguin_3","I saw a penguin.","我看到了一只企鹅。"
"penguin_4","What noise does a penguin make?","企鹅发出什么声音？"
"elephant","Elephant","象"
"elephant_2","I like elephants.","我喜欢大象。"
"elephant_3","I saw an elephant.","我看到了大象。"
"elephant_4","What noise does an elephant make?","大象发出什么声音？"
"zebra","Zebra","斑马"
"zebra_2","I like zebras.","我喜欢斑马。"
"zebra_3","I saw a zebra.","我看到了斑马。"
"zebra_4","What noise does a zebra make?","斑马发出什么声音？"
"panda","Panda","熊猫"
"panda_2","I like pandas.","我喜欢大熊猫。"
"panda_3","I saw a panda.","我看到了一只熊猫。"
"panda_4","What noise does a panda make?","熊猫会发出什么声音？"
