"activities","Activities","กิจกรรม"
"walking","Walking","ที่เดิน"
"walking_2","I like walking","ฉันชอบเดิน"
"walking_3","I don't like walking","ฉันไม่ชอบเดิน"
"walking_4","Do you want to walk together?","คุณต้องการที่จะเดินไปด้วยกัน?"
"running","Running","วิ่ง"
"running_2","I like running.","ฉันชอบวิ่ง"
"running_3","I don't like running.","ฉันไม่ชอบวิ่ง"
"running_4","Do you want to go running?","คุณต้องการที่จะไปทำงานหรือไม่"
"talking","Talking","การพูด"
"talking_2","I like talking.","ฉันชอบพูด"
"talking_3","I don't like talking.","ฉันไม่ชอบพูด"
"talking_4","Do you want to talk with me?","คุณต้องการคุยกับฉันไหม"
"reading","Reading","การอ่าน"
"reading_2","I like reading.","ฉันชอบการอ่าน."
"reading_3","I don't like reading.","ฉันไม่ชอบอ่าน"
"reading_4","Do you want to read together?","คุณต้องการอ่านด้วยกันไหม?"
"football","Football","ฟุตบอล"
"football_2","I like playing football.","ฉันชอบเล่นฟุตบอล."
"football_3","I don't like playing football.","ฉันไม่ชอบเล่นฟุตบอล"
"football_4","Do you want to play football?","คุณต้องการเล่นฟุตบอลหรือไม่?"
"basketball","Basketball","บาสเกตบอล"
"basketball_2","I like playing basketball.","ฉันชอบเล่นบาสเก็ตบอล"
"basketball_3","I don't like playing basketball.","ฉันไม่ชอบเล่นบาสเก็ตบอล"
"basketball_4","Do you want to play basketball?","คุณต้องการเล่นบาสเก็ตบอลหรือไม่?"
"swimming","Swimming","สระว่ายน้ำ"
"swimming_2","I like swimming.","ฉันชอบว่ายน้ำ."
"swimming_3","I don't like swimming.","ฉันไม่ชอบว่ายน้ำ"
"swimming_4","Do you want to go to swimming?","คุณอยากไปว่ายน้ำไหม?"
"painting","Painting","จิตรกรรม"
"painting_2","I like painting.","ฉันชอบภาพวาด"
"painting_3","I don't like painting.","ฉันไม่ชอบภาพวาด"
"painting_4","Do you want to paint together?","คุณต้องการทาสีด้วยกันไหม?"
"drawing","Drawing","การวาดภาพ"
"drawing_2","I like drawing.","ฉันชอบวาดภาพ."
"drawing_3","I don't like drawing.","ฉันไม่ชอบรูปวาด"
"drawing_4","Do you want to draw together?","คุณต้องการที่จะวาดด้วยกันไหม?"
"cycling","Cycling","ขี่จักรยาน"
"cycling_2","I like cycling.","ฉันชอบปั่นจักรยาน"
"cycling_3","I don't like cycling.","ฉันไม่ชอบปั่นจักรยาน"
"cycling_4","Do you want to go cycling?","คุณต้องการที่จะไปขี่จักรยาน?"
"skating","Skating","สเก็ต"
"skating_2","I like skating.","ฉันชอบเล่นสเก็ต"
"skating_3","I don't like skating.","ฉันไม่ชอบเล่นสเก็ต"
"skating_4","Do you want to go skating?","คุณต้องการเล่นสเก็ตไหม?"
"sightseeing","Sightseeing","การชมทิวทัศน์"
"sightseeing_2","I like sightseeing.","ฉันชอบเที่ยวชมสถานที่"
"sightseeing_3","I don't like sightseeing.","ฉันไม่ชอบเที่ยวชมสถานที่"
"sightseeing_4","Do you want to go for sightseeing?","คุณต้องการไปเที่ยวชมเมืองหรือไม่?"
"video-games","Video games","วีดีโอเกมส์"
"video-games_2","I like playing video games.","ฉันชอบเล่นวิดีโอเกม"
"video-games_3","I don't like playing video games.","ฉันไม่ชอบเล่นวิดีโอเกม"
"video-games_4","Do you want to play games?","คุณต้องการเล่นเกมหรือไม่?"
"tidying","Tidying","การจัดเก็บ"
"tidying_2","I like tidying my room.","ฉันชอบจัดระเบียบห้องของฉัน"
"tidying_3","I don't like tidying my room.","ฉันไม่ชอบจัดระเบียบห้องของฉัน"
"tidying_4","Can you help me tidy my room?","คุณสามารถช่วยฉันจัดห้องของฉันให้เป็นระเบียบได้หรือไม่?"
"toys","Toys","ของเล่น"
"toys_2","I like toys.","ฉันชอบของเล่น"
"toys_3","I don't like toys.","ฉันไม่ชอบของเล่น"
"toys_4","Do you want to play with my toys?","คุณต้องการเล่นกับของเล่นของฉันหรือไม่?"
"puzzle","Puzzle","ปริศนา"
"puzzle_2","I like solving puzzle.","ฉันชอบไขปริศนา"
"puzzle_3","I don't like solving puzzle.","ฉันไม่ชอบไขปริศนา"
"puzzle_4","Do you want to solve puzzles with me?","คุณต้องการที่จะแก้ปริศนากับฉันหรือไม่"
"comics","Comics","ภาพการ์ตูน"
"comics_2","I like reading comics.","ฉันชอบอ่านการ์ตูน"
"comics_3","I don't like reading comics.","ฉันไม่ชอบอ่านการ์ตูน"
"comics_4","Do you want to read comics?","คุณต้องการอ่านการ์ตูนไหม?"
"chess","Chess","หมากรุก"
"chess_2","I like playing chess.","ฉันชอบเล่นหมากรุก"
"chess_3","I don't like playing chess.","ฉันไม่ชอบเล่นหมากรุก"
"chess_4","Do you want to play chess with me?","คุณต้องการเล่นหมากรุกกับฉันไหม"
"using-leeloo","Using Leeloo","ใช้ลีลา"
"using-leeloo_2","I like using leeloo.","ฉันชอบใช้ leeloo"
"using-leeloo_3","I don't like using leeloo.","ฉันไม่ชอบใช้ leeloo"
"using-leeloo_4","Can you change card packs on leeloo?","คุณสามารถเปลี่ยนแพ็คการ์ดใน leeloo ได้หรือไม่?"
"texting","Texting","texting"
"texting_2","I like texting.","ฉันชอบการส่งข้อความ"
"texting_3","I don't like texting.","ฉันไม่ชอบการส่งข้อความ"
"knitting","Knitting","การถัก"
"knitting_2","I like knitting.","ฉันชอบถักไหม"
"knitting_3","I don't like knitting.","ฉันไม่ชอบถักนิตติ้ง"
"knitting_4","I want to learn how to knit.","ฉันต้องการเรียนรู้วิธีถัก"
"bowling","Bowling","โบว์ลิ่ง"
"bowling_2","I like bowling.","ฉันชอบโบว์ลิ่ง"
"bowling_3","I don't like bowling.","ฉันไม่ชอบโบว์ลิ่ง"
"bowling_4","Do you want to play bowling with me?","คุณต้องการเล่นโบว์ลิ่งกับฉันไหม?"
"watching-tv","Watching TV","ดูโทรทัศน์"
"watching-tv_2","I like watching tv.","ฉันชอบดูทีวี."
"watching-tv_3","I don't like watching tv.","ฉันไม่ชอบดูทีวี"
"watching-tv_4","Do you want to watch tv?","คุณต้องการดูทีวีหรือไม่"
"fishing","Fishing","ประมง"
"fishing_2","I like fishing.","ฉันชอบตกปลา"
"fishing_3","I don't like fishing.","ฉันไม่ชอบตกปลา"
"fishing_4","Do you want to go to fishing?","คุณต้องการตกปลาหรือไม่?"
"exercising","Exercising","การออกกำลังกาย"
"exercising_2","I like exercising.","ฉันชอบออกกำลังกาย"
"exercising_3","I don't like exercising.","ฉันไม่ชอบออกกำลังกาย"
"exercising_4","Do you want to exercise with me?","คุณต้องการออกกำลังกายกับฉันหรือไม่?"
"tennis","Tennis","เทนนิส"
"tennis_2","I like playing tennis.","ฉันชอบเล่นเทนนิส"
"tennis_3","I don't like playing tennis.","ฉันไม่ชอบเล่นเทนนิส"
"tennis_4","Do you want to play tennis with me?","คุณต้องการเล่นเทนนิสกับฉันไหม?"
"animals","Animals","สัตว์"
"cat","Cat","แมว"
"cat_2","I like cats.","ฉันชอบแมว."
"cat_3","I saw a cat.","ฉันเห็นแมว"
"cat_4","What noise does a cat make?","แมวทำเสียงอะไร"
"cat_5","Can we get a cat as pet?","เราสามารถเลี้ยงแมวเป็นสัตว์เลี้ยงได้หรือไม่?"
"dog","Dog","หมา"
"dog_2","I like dog.","ฉันชอบสุนัข"
"dog_3","I saw a dog.","ฉันเห็นสุนัข"
"dog_4","What noise does a dog make?","สุนัขสร้างเสียงรบกวนอะไร"
"dog_5","Can we get a dog as pet?","เราสามารถรับสุนัขเป็นสัตว์เลี้ยงได้หรือไม่?"
"fish","Fish","ปลา"
"fish_2","I like fish.","ฉันชอบปลา."
"fish_3","I saw a fish.","ฉันเห็นปลา"
"fish_4","What noise does a fish make?","ปลาสร้างเสียงรบกวนอะไร"
"fish_5","Can we get a fish as pet?","เราจะได้ปลาเป็นสัตว์เลี้ยงได้ไหม"
"rabbit","Rabbit","กระต่าย"
"rabbit_2","I like rabbits.","ฉันชอบกระต่าย"
"rabbit_3","I saw a rabbit.","ฉันเห็นกระต่าย"
"rabbit_4","What noise does a rabbit make?","กระต่ายส่งเสียงอะไร"
"rabbit_5","Can we get a rabbit as pet?","เราจะได้กระต่ายเป็นสัตว์เลี้ยงได้ไหม"
"butterfly","Butterfly","ผีเสื้อ"
"butterfly_2","I like butterflies.","ฉันชอบผีเสื้อ"
