"activities","Activities","Atividades"
"walking","Walking","Caminhada"
"walking_2","I like walking","eu gosto de caminhar"
"walking_3","I don't like walking","Eu não gosto de andar"
"walking_4","Do you want to walk together?","Você quer andar junto?"
"running","Running","Corrida"
"running_2","I like running.","Eu gosto de correr."
"running_3","I don't like running.","Eu não gosto de correr"
"running_4","Do you want to go running?","Você quer ir correndo?"
"talking","Talking","Falando"
"talking_2","I like talking.","Eu gosto de conversar."
"talking_3","I don't like talking.","Eu não gosto de conversar"
"talking_4","Do you want to talk with me?","Você quer falar comigo?"
"reading","Reading","Lendo"
"reading_2","I like reading.","Eu gosto de ler."
"reading_3","I don't like reading.","Eu não gosto de ler"
"reading_4","Do you want to read together?","Você quer ler juntos?"
"football","Football","Futebol"
"football_2","I like playing football.","Eu gosto de jogar futebol."
"football_3","I don't like playing football.","Eu não gosto de jogar futebol."
"football_4","Do you want to play football?","Você quer jogar futebol?"
"basketball","Basketball","Basquetebol"
"basketball_2","I like playing basketball.","Eu gosto de jogar basquete."
"basketball_3","I don't like playing basketball.","Eu não gosto de jogar basquete."
"basketball_4","Do you want to play basketball?","Você quer jogar basquete?"
"swimming","Swimming","Natação"
"swimming_2","I like swimming.","Eu gosto de nadar."
"swimming_3","I don't like swimming.","Eu não gosto de nadar"
"swimming_4","Do you want to go to swimming?","Você quer nadar?"
"painting","Painting","Pintura"
"painting_2","I like painting.","Eu gosto de pintar."
"painting_3","I don't like painting.","Eu não gosto de pintar"
"painting_4","Do you want to paint together?","Você quer pintar juntos?"
"drawing","Drawing","Desenhando"
"drawing_2","I like drawing.","Eu gosto de desenhar."
"drawing_3","I don't like drawing.","Eu não gosto de desenhar"
"drawing_4","Do you want to draw together?","Você quer desenhar juntos?"
"cycling","Cycling","Ciclismo"
"cycling_2","I like cycling.","Eu gosto de andar de bicicleta."
"cycling_3","I don't like cycling.","Eu não gosto de andar de bicicleta."
"cycling_4","Do you want to go cycling?","Você quer andar de bicicleta?"
"skating","Skating","Patinação"
"skating_2","I like skating.","Eu gosto de patinar"
"skating_3","I don't like skating.","Eu não gosto de patinar."
"skating_4","Do you want to go skating?","Você quer andar de skate?"
"sightseeing","Sightseeing","Passeios turísticos"
"sightseeing_2","I like sightseeing.","Eu gosto de passear"
"sightseeing_3","I don't like sightseeing.","Eu não gosto de passear."
"sightseeing_4","Do you want to go for sightseeing?","Você quer ir para passear?"
"video-games","Video games","Videogames"
"video-games_2","I like playing video games.","Eu gosto de jogar videogames."
"video-games_3","I don't like playing video games.","Eu não gosto de jogar videogame."
"video-games_4","Do you want to play games?","Você quer jogar?"
"tidying","Tidying","Arrumar"
