"activities","Activities","Lelakon"
"walking","Walking","Mlaku"
"walking_2","I like walking","Aku seneng mlaku"
"walking_3","I don't like walking","Aku ora seneng mlaku"
"walking_4","Do you want to walk together?","Apa sampeyan pengin mlaku bebarengan?"
"running","Running","Mlaku"
"running_2","I like running.","Aku seneng mlaku."
"running_3","I don't like running.","Aku ora seneng mlaku."
"running_4","Do you want to go running?","Lha sampeyan pengin mbukak?"
"talking","Talking","Rembugan"
"talking_2","I like talking.","Aku kaya ngomong."
"talking_3","I don't like talking.","Aku ora seneng ngomong."
"talking_4","Do you want to talk with me?","Apa sampeyan pengin ngomong karo aku?"
"reading","Reading","Wacan"
"reading_2","I like reading.","Aku seneng maca."
"reading_3","I don't like reading.","Aku ora seneng maca."
"reading_4","Do you want to read together?","Apa sampeyan pengin maca bebarengan?"
"football","Football","Bal-balan"
"football_2","I like playing football.","Aku seneng main bal-balan."
"football_3","I don't like playing football.","Aku ora seneng main bal-balan."
"football_4","Do you want to play football?","Apa sampeyan pengin main bal-balan?"
"basketball","Basketball","Basket"
"basketball_2","I like playing basketball.","Aku seneng main basket."
"basketball_3","I don't like playing basketball.","Aku ora seneng main basket."
"basketball_4","Do you want to play basketball?","Apa sampeyan pengin main basket?"
"swimming","Swimming","Nglangi"
"swimming_2","I like swimming.","Aku seneng nglangi."
"swimming_3","I don't like swimming.","Aku ora seneng nglangi."
"swimming_4","Do you want to go to swimming?","Lha lek arep nglangi?"
"painting","Painting","Lukisan"
"painting_2","I like painting.","Aku kaya lukisan."
"painting_3","I don't like painting.","Aku ora seneng lukisan."
"painting_4","Do you want to paint together?","Apa sampeyan pengin nglukis bebarengan?"
"drawing","Drawing","Nggambar"
"drawing_2","I like drawing.","Aku seneng nggambar."
"drawing_3","I don't like drawing.","Aku ora seneng nggambar."
"drawing_4","Do you want to draw together?","Apa sampeyan pengin nggambar?"
"cycling","Cycling","Muter"
"cycling_2","I like cycling.","Aku seneng muter."
"cycling_3","I don't like cycling.","Aku ora seneng muter."
"cycling_4","Do you want to go cycling?","Apa sampeyan pengin muter"
"skating","Skating","Skating"
"skating_2","I like skating.","Aku seneng olahraga."
"skating_3","I don't like skating.","Aku ora seneng olahraga."
"skating_4","Do you want to go skating?","Apa sampeyan pengin skate?"
"sightseeing","Sightseeing","Wisata"
"sightseeing_2","I like sightseeing.","Aku seneng dolan."
"sightseeing_3","I don't like sightseeing.","Aku ora seneng dolan."
"sightseeing_4","Do you want to go for sightseeing?","Apa sampeyan pengin dolan?"
"video-games","Video games","Game video"
"video-games_2","I like playing video games.","Aku seneng main game video."
"video-games_3","I don't like playing video games.","Aku ora seneng main game video."
"video-games_4","Do you want to play games?","Apa sampeyan pengin main game?"
"tidying","Tidying","Tidying"
"tidying_2","I like tidying my room.","Aku seneng ngeterake kamarku."
"tidying_3","I don't like tidying my room.","Aku ora seneng ngeterake kamarku."
"tidying_4","Can you help me tidy my room?","Sampeyan bisa mbantu aku ngresiki ruangane?"
"toys","Toys","Dolanan"
"toys_2","I like toys.","Aku seneng dolanan."
"toys_3","I don't like toys.","Aku ora seneng dolanan."
"toys_4","Do you want to play with my toys?","Apa sampeyan pengin dolanan karo dolanan?"
"puzzle","Puzzle","Teka-teki"
"puzzle_2","I like solving puzzle.","Aku kaya ngatasi teka-teki."
"puzzle_3","I don't like solving puzzle.","Aku ora seneng ngrampungake teka-teki."
"puzzle_4","Do you want to solve puzzles with me?","Apa sampeyan pengin ngatasi teka-teki karo aku?"
"comics","Comics","Komik"
"comics_2","I like reading comics.","Aku seneng maca komik."
"comics_3","I don't like reading comics.","Aku ora seneng maca komik."
"comics_4","Do you want to read comics?","Apa sampeyan pengin maca komik?"
"chess","Chess","Catur"
"chess_2","I like playing chess.","Aku seneng main catur."
"chess_3","I don't like playing chess.","Aku ora seneng main catur."
"chess_4","Do you want to play chess with me?","Apa sampeyan pengin main catur karo aku?"
"using-leeloo","Using Leeloo","Nggunakake Leeloo"
"using-leeloo_2","I like using leeloo.","Aku kaya nggunakake leeloo."
"using-leeloo_3","I don't like using leeloo.","Aku ora seneng nggunakake leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Sampeyan bisa ngganti bungkus kertu ing leeloo?"
"texting","Texting","Teks"
"texting_2","I like texting.","Aku seneng tulisan."
"texting_3","I don't like texting.","Aku ora seneng tulisan."
"knitting","Knitting","Knitting"
"knitting_2","I like knitting.","Aku seneng nyulam."
"knitting_3","I don't like knitting.","Aku ora seneng rajutan."
"knitting_4","I want to learn how to knit.","Aku kepengin sinau carane ngambah."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Aku kaya bowling."
"bowling_3","I don't like bowling.","Aku ora seneng bowling."
"bowling_4","Do you want to play bowling with me?","Apa sampeyan pengin main bowling karo aku?"
"watching-tv","Watching TV","Nonton TV"
"watching-tv_2","I like watching tv.","Aku seneng nonton tv."
"watching-tv_3","I don't like watching tv.","Aku ora seneng nonton tv."
"watching-tv_4","Do you want to watch tv?","Apa sampeyan pengin nonton tv?"
"fishing","Fishing","Nelayan"
"fishing_2","I like fishing.","Aku seneng mancing."
"fishing_3","I don't like fishing.","Aku ora seneng mancing."
"fishing_4","Do you want to go to fishing?","Apa kowe arep lunga mancing?"
"exercising","Exercising","Latihan"
"exercising_2","I like exercising.","Aku seneng olahraga."
"exercising_3","I don't like exercising.","Aku ora seneng olahraga."
"exercising_4","Do you want to exercise with me?","Apa sampeyan pengin olahraga karo aku?"
"tennis","Tennis","Tenis"
"tennis_2","I like playing tennis.","Aku seneng main tenis."
"tennis_3","I don't like playing tennis.","Aku ora seneng main tenis."
"tennis_4","Do you want to play tennis with me?","Apa sampeyan pengin main tenis karo aku?"
"animals","Animals","Kewan"
"cat","Cat","Kucing"
"cat_2","I like cats.","Aku seneng kucing."
"cat_3","I saw a cat.","Aku weruh kucing."
"cat_4","What noise does a cat make?","Apa gangguan kucing?"
"cat_5","Can we get a cat as pet?","Apa bisa entuk kucing kaya kewan ingon-ingon?"
"dog","Dog","Anjing"
"dog_2","I like dog.","Aku seneng karo asu."
"dog_3","I saw a dog.","Aku weruh ana asu."
"dog_4","What noise does a dog make?","Gangguan apa sing asu?"
"dog_5","Can we get a dog as pet?","Kita bisa njaluk asu minangka pet?"
"fish","Fish","Iwak"
"fish_2","I like fish.","Aku seneng iwak."
"fish_3","I saw a fish.","Aku ndeleng iwak."
"fish_4","What noise does a fish make?","Apa swara apa iwak?"
"fish_5","Can we get a fish as pet?","Kita bisa entuk iwak minangka pet?"
"rabbit","Rabbit","Kelinci"
"rabbit_2","I like rabbits.","Aku seneng terwelu."
"rabbit_3","I saw a rabbit.","Aku weruh terwelu."
"rabbit_4","What noise does a rabbit make?","Apa swara apa terwelu?"
"rabbit_5","Can we get a rabbit as pet?","Apa kita bisa njaluk terwelu minangka pet?"
"butterfly","Butterfly","Kupu-kupu"
"butterfly_2","I like butterflies.","Aku kaya kupu-kupu."
"butterfly_3","I saw a butterfly.","Aku weruh kupu-kupu."
"butterfly_4","What noise does a butterfly make?","Apa swara sing dipadhakake kupu?"
"kangaroo","Kangaroo","Kangaroo"
"kangaroo_2","I like kangaroos.","Aku seneng kangaroos."
"kangaroo_3","I saw a kangaroo.","Aku weruh kangaroo."
"kangaroo_4","What noise does a kangaroo make?","Bising apa kangaroo?"
"turtle","Turtle","Penyu"
"turtle_2","I like turtles.","Aku seneng kura-kura."
"turtle_3","I saw a turtle.","Aku ndeleng kura-kura."
"turtle_4","What noise does a turtle make?","Apa swara sing didadekake penyu?"
"giraffe","Giraffe","Jerapah"
"giraffe_2","I like giraffes.","Aku seneng jerapah."
"giraffe_3","I saw a giraffe.","Aku weruh jerone."
"giraffe_4","What noise does a giraffe make?","Swara apa jerone?"
"frog","Frog","Kodok"
"frog_2","I like frogs.","Aku seneng kodok."
"frog_3","I saw a frog.","Aku ndeleng kodok."
"frog_4","What noise does a frog make?","Apa swara iku kodok?"
"swan","Swan","Swan"
"swan_2","I like swans.","Aku seneng swan."
"swan_3","I saw a swan.","Aku ndeleng swan."
"swan_4","What noise does a swan make?","Apa swarane swan?"
"spider","Spider","Spider"
"spider_2","I like spiders.","Aku seneng laba-laba."
"spider_3","I saw a spider.","Aku weruh laba-laba."
"spider_4","What noise does a spider make?","Apa swara ing laba-laba?"
"cow","Cow","Sapi"
"cow_2","I like cows.","Aku seneng sapi."
"cow_3","I saw a cow.","Aku ndeleng sapi."
"cow_4","What noise does a cow make?","Bising apa sapi?"
"duck","Duck","Bebek"
"duck_2","I like ducks.","Aku seneng bebek."
"duck_3","I saw a duck.","Aku ndeleng bebek."
"duck_4","What noise does a duck make?","Apa swara apa itik?"
"horse","Horse","Jaran"
"horse_2","I like horses.","Aku seneng karo jaran."
"horse_3","I saw a horse.","Aku ndeleng jaran."
"horse_4","What noise does a horse make?","Apa swara jaran?"
"chicken","Chicken","Pitik"
"chicken_2","I like chickens.","Aku seneng pitik."
"chicken_3","I saw a chicken.","Aku weruh pitik."
"chicken_4","What noise does a chicken make?","Apa swara apa pitik?"
"bee","Bee","Panggang"
"bee_2","I like bees.","Aku seneng tawon."
"bee_3","I saw a bee.","Aku weruh tawon."
"bee_4","What noise does a bee make?","Apa swara tawon?"
"pig","Pig","Babi"
"pig_2","I like pigs.","Aku seneng karo babi."
"pig_3","I saw a pig.","Aku weruh ana babi."
"pig_4","What noise does a pig make?","Apa gunane babi?"
"dove","Dove","Dove"
"dove_2","I like doves.","Aku seneng manuk dara."
"dove_3","I saw a dove.","Aku weruh manuk dara."
"dove_4","What noise does a dove make?","Apa swara dara sing digunakake?"
"crab","Crab","Kepiting"
"crab_2","I like crabs.","Aku seneng kepiting."
"crab_3","I saw a crab.","Aku ndeleng kepiting."
"crab_4","What noise does a crab make?","Apa swara crab?"
"penguin","Penguin","Penguin"
"penguin_2","I like penguins.","Aku seneng pinguin."
"penguin_3","I saw a penguin.","Aku weruh penguin."
"penguin_4","What noise does a penguin make?","Apa swara pingguin?"
"elephant","Elephant","Gajah"
"elephant_2","I like elephants.","Aku seneng gajah."
"elephant_3","I saw an elephant.","Aku weruh ana gajah."
"elephant_4","What noise does an elephant make?","Apa swara sing ditindakake dening gajah?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Aku seneng zebras."
"zebra_3","I saw a zebra.","Aku weruh zebra."
"zebra_4","What noise does a zebra make?","Apa swara zebra sing ditindakake?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Aku seneng pandas."
"panda_3","I saw a panda.","Aku weruh panda."
"panda_4","What noise does a panda make?","Apa swara panda?"
"monkey","Monkey","Monyet"
"monkey_2","I like monkeys.","Aku seneng monyet."
"monkey_3","I saw a monkey.","Aku weruh kethek."
"monkey_4","What noise does a monkey make?","Apa swara sing diarani monyet?"
"camel","Camel","Camel"
"camel_2","I like camels.","Aku seneng karo unta."
"camel_3","I saw a camel.","Aku ndeleng unta."
"camel_4","What noise does a camel make?","Warta apa unta?"
"mouse","Mouse","Tikus"
"mouse_2","I like mice.","Aku seneng tikus."
"mouse_3","I saw a mouse.","Aku ndeleng tikus."
"mouse_4","What noise does a mouse make?","Apa swara tikus tikus?"
"tiger","Tiger","Macan"
"tiger_2","I like tigers.","Aku seneng macan."
"tiger_3","I saw a tiger.","Aku weruh macan."
"tiger_4","What noise does a tiger make?","Apa swara macan?"
"jellyfish","Jellyfish","Jellyfish"
"jellyfish_2","I like jellyfishes.","Aku seneng jellyfishes."
"jellyfish_3","I saw a jellyfish.","Aku weruh jeli."
"jellyfish_4","What noise does a jellyfish make?","Swara apa sing dienggo jeli?"
"crocodile","Crocodile","Buaya"
"crocodile_2","I like crocodiles.","Aku seneng buaya."
"crocodile_3","I saw a crocodile.","Aku weruh buaya."
"crocodile_4","What noise does a crocodile make?","Apa swara sing digawe buaya?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Aku seneng koalas."
"koala_3","I saw a koala.","Aku weruh koala."
"koala_4","What noise does a koala make?","Apa gunane koala?"
"ostrich","Ostrich","Ostrich"
"ostrich_2","I like ostriches.","Aku seneng ostriches."
"ostrich_3","I saw an ostrich.","Aku weruh manuk unta."
"ostrich_4","What noise does an ostrich make?","Apa gunane manuk unta?"
"racoon","Racoon","Racoon"
"racoon_2","I like racoons.","Aku seneng karo racun."
"racoon_3","I saw a racoon.","Aku weruh balapan."
"racoon_4","What noise does a racoon make?","Apa swara sing ditindakake pithik?"
"bat","Bat","Bat"
"bat_2","I like bats.","Aku seneng kalong."
"bat_3","I saw a bat.","Aku ndeleng kelelawar."
"bat_4","What noise does a bat make?","Apa swara apa bat?"
"eagle","Eagle","Eagle"
"eagle_2","I like eagles.","Aku seneng manuk garudha."
"eagle_3","I saw an eagle.","Aku weruh elang."
"eagle_4","What noise does an eagle make?","Apa swara sing elang?"
"hippopotamus","Hippopotamus","Hipopotamus"
"hippopotamus_2","I like hippopotamus.","Aku seneng hipopotamus."
"hippopotamus_3","I saw a hippopotamus.","Aku weruh hippopotamus."
"hippopotamus_4","What noise does a hippopotamus make?","Apa swara sing diarani hipopotamus?"
"seal","Seal","Segel"
"seal_2","I like seals.","Aku seneng anjing laut."
"seal_3","I saw a seal.","Aku weruh segel."
"seal_4","What noise does a seal make?","Apa swara sing digawe segel?"
"walrus","Walrus","Walrus"
"walrus_2","I like walruses.","Aku seneng walruse."
"walrus_3","I saw a walrus.","Aku weruh walrus."
"walrus_4","What noise does a walrus make?","Apa swara sing ditindakake dening walrus?"
"seahorse","Seahorse","Seahorse"
"seahorse_2","I like seahorses.","Aku seneng seahorses."
"seahorse_3","I saw a seahorse.","Aku weruh seahorse."
"seahorse_4","What noise does a seahorse make?","Swara apa sing digawe saka segara?"
"bull","Bull","Bull"
"bull_2","I like bulls.","Aku seneng banteng."
"bull_3","I saw a bull.","Aku ndeleng bantheng."
"bull_4","What noise does a bull make?","Apa gunane bantheng?"
"pelican","Pelican","Pelican"
"pelican_2","I like pelicans.","Aku seneng pelikan."
"pelican_3","I saw a pelican.","Aku weruh pelikan."
"pelican_4","What noise does a pelican make?","Apa swara pelican?"
"beaver","Beaver","Beaver"
"beaver_2","I like beavers.","Aku seneng berang."
"beaver_3","I saw a beaver.","Aku weruh bruwang."
"beaver_4","What noise does a beaver make?","Apa swara sing dienggo saka bruwang?"
"goldfish","Goldfish","Goldfish"
"goldfish_2","I like goldfishes.","Aku seneng karo emas."
"goldfish_3","I saw a goldfish.","Aku weruh iwak mas."
"goldfish_4","What noise does a goldfish make?","Apa swara ing iwak emas?"
