"activities","Activities","Aktivitäten"
"walking","Walking","Gehen"
"walking_2","I like walking","ich laufe gern"
"walking_3","I don't like walking","Ich gehe nicht gern spazieren"
"walking_4","Do you want to walk together?","Willst du zusammen gehen?"
"running","Running","Laufen"
"running_2","I like running.","Ich mag Rennen."
"running_3","I don't like running.","Ich laufe nicht gern."
"running_4","Do you want to go running?","Willst du rennen gehen?"
"talking","Talking","Reden"
"talking_2","I like talking.","Ich rede gern."
"talking_3","I don't like talking.","Ich rede nicht gern."
"talking_4","Do you want to talk with me?","Willst du mit mir reden?"
"reading","Reading","lesen"
"reading_2","I like reading.","Ich mag es zu lesen."
"reading_3","I don't like reading.","Ich lese nicht gern."
"reading_4","Do you want to read together?","Möchtest du zusammen lesen?"
"football","Football","Fußball"
"football_2","I like playing football.","Ich spiele gern Fußball."
"football_3","I don't like playing football.","Ich spiele nicht gerne Fußball."
"football_4","Do you want to play football?","Möchtest du Fußball spielen?"
"basketball","Basketball","Basketball"
"basketball_2","I like playing basketball.","Ich spiele gerne Basketball."
"basketball_3","I don't like playing basketball.","Ich spiele nicht gerne Basketball."
"basketball_4","Do you want to play basketball?","Willst du Basketball spielen?"
"swimming","Swimming","Schwimmen"
"swimming_2","I like swimming.","Ich gehe gerne Schwimmen."
"swimming_3","I don't like swimming.","Ich schwimme nicht gern."
"swimming_4","Do you want to go to swimming?","Möchtest du schwimmen gehen?"
"painting","Painting","Gemälde"
"painting_2","I like painting.","Ich mag malen."
"painting_3","I don't like painting.","Ich male nicht gern."
"painting_4","Do you want to paint together?","Möchtest du zusammen malen?"
"drawing","Drawing","Zeichnung"
"drawing_2","I like drawing.","Ich zeichne gerne."
"drawing_3","I don't like drawing.","Ich zeichne nicht gern."
"drawing_4","Do you want to draw together?","Möchtest du zusammen zeichnen?"
"cycling","Cycling","Radfahren"
"cycling_2","I like cycling.","Ich mag Fahrradfahren."
"cycling_3","I don't like cycling.","Ich fahre nicht gerne Fahrrad."
"cycling_4","Do you want to go cycling?","Möchtest du Fahrrad fahren?"
"skating","Skating","Skaten"
"skating_2","I like skating.","Ich mag skaten."
"skating_3","I don't like skating.","Ich mag es nicht zu skaten."
"skating_4","Do you want to go skating?","Willst du skaten gehen?"
"sightseeing","Sightseeing","Besichtigung"
"sightseeing_2","I like sightseeing.","Ich mag Sightseeing."
"sightseeing_3","I don't like sightseeing.","Ich mag keine Besichtigungen."
"sightseeing_4","Do you want to go for sightseeing?","Möchten Sie Sightseeing machen?"
"video-games","Video games","Videospiele"
"video-games_2","I like playing video games.","Ich mag Videospiele spielen."
"video-games_3","I don't like playing video games.","Ich spiele keine Videospiele."
"video-games_4","Do you want to play games?","Möchtest du Spiele spielen?"
"tidying","Tidying","Aufräumen"
"tidying_2","I like tidying my room.","Ich räume gerne mein Zimmer auf."
"tidying_3","I don't like tidying my room.","Ich mag es nicht, mein Zimmer aufzuräumen."
"tidying_4","Can you help me tidy my room?","Können Sie mir helfen, mein Zimmer aufzuräumen?"
"toys","Toys","Spielzeuge"
"toys_2","I like toys.","Ich mag Spielzeug."
"toys_3","I don't like toys.","Ich mag kein Spielzeug."
"toys_4","Do you want to play with my toys?","Willst du mit meinen Spielsachen spielen?"
"puzzle","Puzzle","Puzzle"
"puzzle_2","I like solving puzzle.","Ich mag es, Rätsel zu lösen."
"puzzle_3","I don't like solving puzzle.","Ich mag es nicht, Rätsel zu lösen."
"puzzle_4","Do you want to solve puzzles with me?","Willst du mit mir Rätsel lösen?"
"comics","Comics","Comics"
"comics_2","I like reading comics.","Ich lese gerne Comics."
"comics_3","I don't like reading comics.","Ich lese nicht gerne Comics."
"comics_4","Do you want to read comics?","Möchtest du Comics lesen?"
"chess","Chess","Schach"
"chess_2","I like playing chess.","Ich spiele gerne Schach."
"chess_3","I don't like playing chess.","Ich spiele nicht gerne Schach."
"chess_4","Do you want to play chess with me?","Willst du mit mir Schach spielen?"
"using-leeloo","Using Leeloo","Mit Leeloo"
"using-leeloo_2","I like using leeloo.","Ich benutze gerne Leeloo."
"using-leeloo_3","I don't like using leeloo.","Ich mag es nicht, Leeloo zu benutzen."
"using-leeloo_4","Can you change card packs on leeloo?","Können Sie Kartenpakete auf Leeloo wechseln?"
"texting","Texting","SMS"
"texting_2","I like texting.","Ich schreibe gerne eine SMS."
"texting_3","I don't like texting.","Ich mag keine SMS."
"knitting","Knitting","Stricken"
"knitting_2","I like knitting.","Ich stricke gerne."
"knitting_3","I don't like knitting.","Ich stricke nicht gern."
"knitting_4","I want to learn how to knit.","Ich möchte lernen, wie man strickt."
"bowling","Bowling","Bowling"
