"activities","Activities","Hoạt động"
"walking","Walking","Đi dạo"
"walking_2","I like walking","tôi thích đi bộ"
"walking_3","I don't like walking","Tôi không thích đi bộ"
"walking_4","Do you want to walk together?","Bạn có muốn đi bộ cùng nhau không?"
"running","Running","Đang chạy"
"running_2","I like running.","Tôi thích chạy."
"running_3","I don't like running.","Tôi không thích chạy bộ."
"running_4","Do you want to go running?","Bạn có muốn đi chạy không?"
"talking","Talking","Đang nói"
"talking_2","I like talking.","Tôi thích nói chuyện"
"talking_3","I don't like talking.","Tôi không thích nói chuyện."
"talking_4","Do you want to talk with me?","Bạn có muốn nói chuyện với tôi không?"
"reading","Reading","đọc hiểu"
"reading_2","I like reading.","Tôi thích đọc."
"reading_3","I don't like reading.","Tôi không thích đọc sách."
"reading_4","Do you want to read together?","Bạn có muốn đọc cùng nhau không?"
"football","Football","Bóng đá"
"football_2","I like playing football.","Tôi thích chơi bóng đá."
"football_3","I don't like playing football.","Tôi không thích chơi bóng đá."
"football_4","Do you want to play football?","Bạn có muốn chơi bóng đá không?"
"basketball","Basketball","Bóng rổ"
"basketball_2","I like playing basketball.","Tôi thích chơi bóng rổ."
"basketball_3","I don't like playing basketball.","Tôi không thích chơi bóng rổ."
"basketball_4","Do you want to play basketball?","Bạn có muốn chơi bóng rổ?"
"swimming","Swimming","Bơi lội"
"swimming_2","I like swimming.","Tôi thích bơi lội."
"swimming_3","I don't like swimming.","Tôi không thích bơi lội."
"swimming_4","Do you want to go to swimming?","Bạn có muốn đi bơi không?"
"painting","Painting","Bức vẽ"
"painting_2","I like painting.","Tôi thích vẽ."
"painting_3","I don't like painting.","Tôi không thích vẽ tranh."
"painting_4","Do you want to paint together?","Bạn có muốn vẽ cùng nhau không?"
"drawing","Drawing","Đang vẽ"
"drawing_2","I like drawing.","Tôi thích vẽ."
"drawing_3","I don't like drawing.","Tôi không thích vẽ."
"drawing_4","Do you want to draw together?","Bạn có muốn vẽ cùng nhau không?"
"cycling","Cycling","Đạp xe"
"cycling_2","I like cycling.","Tôi thích đi xe đạp."
"cycling_3","I don't like cycling.","Tôi không thích đi xe đạp."
"cycling_4","Do you want to go cycling?","Bạn có muốn đi xe đạp không?"
"skating","Skating","trượt băng"
"skating_2","I like skating.","Tôi thích trượt băng."
"skating_3","I don't like skating.","Tôi không thích trượt băng."
"skating_4","Do you want to go skating?","Bạn có muốn đi trượt băng?"
"sightseeing","Sightseeing","Tham quan"
