"activities","Activities","សកម្មភាព"
"walking","Walking","ដើរ"
"walking_2","I like walking","ខ្ញុំចូលចិត្តដើរ"
"walking_3","I don't like walking","ខ្ញុំមិនចូលចិត្តដើរទេ"
"walking_4","Do you want to walk together?","តើអ្នកចង់ដើរជាមួយគ្នាទេ?"
"running","Running","រត់"
"running_2","I like running.","ខ្ញុំចូលចិត្តរត់។"
"running_3","I don't like running.","ខ្ញុំមិនចូលចិត្តរត់ទេ។"
"running_4","Do you want to go running?","តើអ្នកចង់រត់ទេ?"
"talking","Talking","និយាយ"
"talking_2","I like talking.","ខ្ញុំចូលចិត្តនិយាយ។"
"talking_3","I don't like talking.","ខ្ញុំមិនចូលចិត្តនិយាយទេ។"
"talking_4","Do you want to talk with me?","តើអ្នកចង់និយាយជាមួយខ្ញុំទេ?"
"reading","Reading","ការអាន"
"reading_2","I like reading.","ខ្ញុំ​ចូលចិត្ត​ការ​អាន។"
"reading_3","I don't like reading.","ខ្ញុំមិនចូលចិត្តអានទេ។"
"reading_4","Do you want to read together?","តើអ្នកចង់អានជាមួយគ្នាទេ?"
"football","Football","បាល់ទាត់"
"football_2","I like playing football.","ខ្ញុំចូលចិត្តលេងបាល់ទាត់។"
"football_3","I don't like playing football.","ខ្ញុំមិនចូលចិត្តលេងបាល់ទាត់ទេ។"
"football_4","Do you want to play football?","តើអ្នកចង់លេងបាល់ទាត់ទេ?"
"basketball","Basketball","បាល់បោះ"
"basketball_2","I like playing basketball.","ខ្ញុំចូលចិត្តលេងបាល់បោះ។"
"basketball_3","I don't like playing basketball.","ខ្ញុំមិនចូលចិត្តលេងបាល់បោះទេ។"
"basketball_4","Do you want to play basketball?","តើអ្នកចង់លេងបាល់បោះទេ?"
"swimming","Swimming","ហែលទឹក"
"swimming_2","I like swimming.","ខ្ញុំចូលចិត្តហែលទឹក។"
"swimming_3","I don't like swimming.","ខ្ញុំមិនចូលចិត្តហែលទឹកទេ។"
"swimming_4","Do you want to go to swimming?","តើអ្នកចង់ទៅហែលទឹកទេ?"
"painting","Painting","គំនូរ"
"painting_2","I like painting.","ខ្ញុំចូលចិត្តគំនូរ។"
"painting_3","I don't like painting.","ខ្ញុំមិនចូលចិត្តគំនូរទេ។"
"painting_4","Do you want to paint together?","តើអ្នកចង់គូរជាមួយគ្នាទេ?"
"drawing","Drawing","គំនូរ"
"drawing_2","I like drawing.","ខ្ញុំចូលចិត្តគំនូរ។"
"drawing_3","I don't like drawing.","ខ្ញុំមិនចូលចិត្តគំនូរទេ។"
"drawing_4","Do you want to draw together?","តើអ្នកចង់គូរជាមួយគ្នាទេ?"
"cycling","Cycling","ជិះកង់"
"cycling_2","I like cycling.","ខ្ញុំចូលចិត្តជិះកង់។"
"cycling_3","I don't like cycling.","ខ្ញុំមិនចូលចិត្តជិះកង់ទេ។"
"cycling_4","Do you want to go cycling?","តើអ្នកចង់ជិះកង់ទេ?"
"skating","Skating","ជិះស្គី"
"skating_2","I like skating.","ខ្ញុំចូលចិត្តជិះស្គី។"
"skating_3","I don't like skating.","ខ្ញុំមិនចូលចិត្តជិះស្គីលើទឹកកកទេ។"
"skating_4","Do you want to go skating?","តើអ្នកចង់ជិះស្គីទេ?"
"sightseeing","Sightseeing","ទេសភាព"
"sightseeing_2","I like sightseeing.","ខ្ញុំចូលចិត្តការទស្សនា។"
"sightseeing_3","I don't like sightseeing.","ខ្ញុំមិនចូលចិត្តការទស្សនាទេ។"
"sightseeing_4","Do you want to go for sightseeing?","តើអ្នកចង់ទៅទស្សនាទេ?"
"video-games","Video games","វីដេអូ​ហ្គេម"
"video-games_2","I like playing video games.","ខ្ញុំចូលចិត្តលេងហ្គេមវីដេអូ។"
"video-games_3","I don't like playing video games.","ខ្ញុំមិនចូលចិត្តលេងហ្គេមវីដេអូទេ។"
"video-games_4","Do you want to play games?","តើអ្នកចង់លេងហ្គេមទេ?"
"tidying","Tidying","ការលាក់លៀម"
"tidying_2","I like tidying my room.","ខ្ញុំចូលចិត្តរៀបចំបន្ទប់របស់ខ្ញុំ។"
"tidying_3","I don't like tidying my room.","ខ្ញុំមិនចូលចិត្តរៀបចំបន្ទប់របស់ខ្ញុំទេ។"
"tidying_4","Can you help me tidy my room?","តើអ្នកអាចជួយខ្ញុំក្នុងបន្ទប់របស់ខ្ញុំបានទេ?"
"toys","Toys","ប្រដាប់ប្រដាក្មេងលេង"
"toys_2","I like toys.","ខ្ញុំចូលចិត្តប្រដាប់ប្រដាក្មេងលេង។"
"toys_3","I don't like toys.","ខ្ញុំមិនចូលចិត្តប្រដាប់ប្រដាក្មេងលេងទេ។"
"toys_4","Do you want to play with my toys?","តើអ្នកចង់លេងជាមួយប្រដាប់ប្រដាក្មេងលេងរបស់ខ្ញុំទេ?"
"puzzle","Puzzle","រូបផ្គុំ"
"puzzle_2","I like solving puzzle.","ខ្ញុំចូលចិត្តដោះស្រាយល្បែងផ្គុំរូប។"
"puzzle_3","I don't like solving puzzle.","ខ្ញុំមិនចូលចិត្តដោះស្រាយល្បែងផ្គុំរូបទេ។"
