"activities","Activities","سرگرمیاں"
"walking","Walking","چلنا"
"walking_2","I like walking","مجھے چلنا پسند ہے"
"walking_3","I don't like walking","مجھے چلنا پسند نہیں ہے"
"walking_4","Do you want to walk together?","کیا آپ ساتھ چلنا چاہتے ہیں؟"
"running","Running","چل رہا ہے"
"running_2","I like running.","مجھے دوڑنا پسند ہے"
"running_3","I don't like running.","مجھے دوڑنا پسند نہیں ہے۔"
"running_4","Do you want to go running?","کیا آپ دوڑنا چاہتے ہیں؟"
"talking","Talking","بات کرنا"
"talking_2","I like talking.","مجھے بات کرنا پسند ہے"
"talking_3","I don't like talking.","مجھے بات کرنا پسند نہیں ہے۔"
"talking_4","Do you want to talk with me?","کیا آپ مجھ سے بات کرنا چاہتے ہیں؟"
"reading","Reading","پڑھنا"
"reading_2","I like reading.","مجھے پڑھنا پسند ھے."
"reading_3","I don't like reading.","مجھے پڑھنا پسند نہیں ہے۔"
"reading_4","Do you want to read together?","کیا آپ ایک ساتھ پڑھنا چاہتے ہیں؟"
"football","Football","فٹ بال"
"football_2","I like playing football.","مجھے فٹ بال کھیلنا پسند ہے."
"football_3","I don't like playing football.","مجھے فٹ بال کھیلنا پسند نہیں ہے۔"
"football_4","Do you want to play football?","کیا آپ فٹ بال کھیلنا چاہتے ہیں؟"
"basketball","Basketball","باسکٹ بال"
"basketball_2","I like playing basketball.","مجھے باسکٹ بال کھیلنا پسند ہے"
"basketball_3","I don't like playing basketball.","مجھے باسکٹ بال کھیلنا پسند نہیں ہے۔"
"basketball_4","Do you want to play basketball?","کیا آپ باسکٹ بال کھیلنا چاہتے ہیں؟"
"swimming","Swimming","تیراکی"
"swimming_2","I like swimming.","مجھے تیرنا پسند ہے."
"swimming_3","I don't like swimming.","مجھے تیراکی پسند نہیں ہے"
"swimming_4","Do you want to go to swimming?","کیا آپ تیراکی پر جانا چاہتے ہیں؟"
"painting","Painting","پینٹنگ"
"painting_2","I like painting.","مجھے پینٹنگ پسند ہے"
"painting_3","I don't like painting.","مجھے پینٹنگ پسند نہیں ہے"
"painting_4","Do you want to paint together?","کیا آپ ایک ساتھ پینٹ کرنا چاہتے ہیں؟"
"drawing","Drawing","ڈرائنگ"
"drawing_2","I like drawing.","مجھے ڈرائنگ پسند ہے"
"drawing_3","I don't like drawing.","مجھے ڈرائنگ پسند نہیں ہے"
"drawing_4","Do you want to draw together?","کیا آپ اکٹھا کرنا چاہتے ہیں؟"
"cycling","Cycling","سائیکلنگ"
"cycling_2","I like cycling.","مجھے سائیکلنگ پسند ہے۔"
"cycling_3","I don't like cycling.","مجھے سائیکل چلنا پسند نہیں ہے۔"
"cycling_4","Do you want to go cycling?","کیا آپ سائیکلنگ میں جانا چاہتے ہیں؟"
"skating","Skating","اسکیٹنگ"
"skating_2","I like skating.","مجھے اسکیٹنگ پسند ہے"
"skating_3","I don't like skating.","مجھے اسکیٹنگ پسند نہیں ہے"
"skating_4","Do you want to go skating?","کیا آپ اسکیٹنگ جانا چاہتے ہیں؟"
"sightseeing","Sightseeing","سیر سائٹنگ"
"sightseeing_2","I like sightseeing.","مجھے گھومنا پھرنا پسند ہے"
"sightseeing_3","I don't like sightseeing.","مجھے سیر کرنا پسند نہیں ہے۔"
"sightseeing_4","Do you want to go for sightseeing?","کیا آپ سیر سیاحت کے لئے جانا چاہتے ہیں؟"
"video-games","Video games","ویڈیو گیمز"
"video-games_2","I like playing video games.","مجھے ویڈیو گیمز کھیلنا پسند ہے۔"
"video-games_3","I don't like playing video games.","مجھے ویڈیو گیمز کھیلنا پسند نہیں ہے۔"
"video-games_4","Do you want to play games?","کیا آپ کھیل کھیلنا چاہتے ہیں؟"
"tidying","Tidying","صاف ستھرا"
"tidying_2","I like tidying my room.","مجھے اپنے کمرے میں صاف رکھنا پسند ہے۔"
"tidying_3","I don't like tidying my room.","مجھے اپنے کمرے میں صاف رکھنا پسند نہیں ہے۔"
"tidying_4","Can you help me tidy my room?","کیا آپ میرے کمرے کو صاف رکھنے میں مدد کر سکتے ہیں؟"
"toys","Toys","کھلونے"
"toys_2","I like toys.","مجھے کھلونے پسند ہیں"
"toys_3","I don't like toys.","مجھے کھلونے پسند نہیں ہیں۔"
"toys_4","Do you want to play with my toys?","کیا آپ میرے کھلونوں سے کھیلنا چاہتے ہو؟"
"puzzle","Puzzle","پہیلی"
"puzzle_2","I like solving puzzle.","میں پہیلی کو حل کرنا پسند کرتا ہوں۔"
"puzzle_3","I don't like solving puzzle.","مجھے پہیلی کو حل کرنا پسند نہیں ہے۔"
"puzzle_4","Do you want to solve puzzles with me?","کیا آپ میرے ساتھ پہیلیاں حل کرنا چاہتے ہیں؟"
"comics","Comics","مزاحیہ"
"comics_2","I like reading comics.","مجھے مزاحیہ پڑھنا پسند ہے۔"
"comics_3","I don't like reading comics.","مجھے مزاحیہ پڑھنا پسند نہیں ہے۔"
"comics_4","Do you want to read comics?","کیا آپ مزاحیہ پڑھنا چاہتے ہیں؟"
"chess","Chess","شطرنج"
"chess_2","I like playing chess.","مجھے شطرنج کھیلنا پسند ہے"
"chess_3","I don't like playing chess.","مجھے شطرنج کھیلنا پسند نہیں ہے۔"
"chess_4","Do you want to play chess with me?","کیا آپ میرے ساتھ شطرنج کھیلنا چاہتے ہو؟"
"using-leeloo","Using Leeloo","لیلو کا استعمال"
"using-leeloo_2","I like using leeloo.","مجھے لیلو کا استعمال پسند ہے۔"
"using-leeloo_3","I don't like using leeloo.","مجھے لیلو کا استعمال پسند نہیں ہے۔"
"using-leeloo_4","Can you change card packs on leeloo?","کیا آپ لیلو پر کارڈ پیک تبدیل کرسکتے ہیں؟"
"texting","Texting","ٹیکسٹنگ"
"texting_2","I like texting.","مجھے ٹیکسٹنگ پسند ہے"
