"Leeloo", "Leeloo"
"Hello $1", "Halo $1"
"$1 packs", "Paket $1"
"$1 cards", "Kertu $1"
"ACTIVE", "AKTIF"
"This is a test voice!", "Iki swara swara!"
"New Profile", "Gambar anyar"
"Create a new application user profile.", "Gawe profil pangguna aplikasi anyar."
"Profile Name", "Jeneng profil"
"You can give your child's name", "Sampeyan bisa menehi jeneng anak"
"Profile Avatar", "Profile Avatar"
"Choose an avatar that looks like the user of this profile", "Pilih avatar sing katon kaya pangguna profil iki"
"Assistive Cards Packs", "Paket Kertu Mbantu"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Kita bakal ngeset kertu standar kanggo profil iki. Sampeyan bisa nambah utawa mbusak paket kertu sing dibantu sawise nggawe"
"Change Avatar", "Ngganti Avatar"
"Choose an avatar to symbolize this profile", "Pilih avatar kanggo nglambangake profil iki"
"My Account", "Akun Kula"
"Make changes to the owner of this account.", "Gawe pangowahan kanggo pemilik akun iki."
"Your Name", "Jeneng"
"Name of account handler or parent", "Jeneng pawang akun utawa wong tuwa"
"Email Address", "Alamat email"
"We will send updates and analytics", "Kita bakal ngirim nganyari lan analytics"
"Account ID", "KTP"
"This is an unchangeable ID we might ask from you", "Iki minangka ID sing ora bisa diganti sing bisa uga dijaluk saka sampeyan"
"Language", "Basa"
"Choose the language for app interface and assistive cards", "Pilih basa kanggo antarmuka app lan kertu pitulung"
"Based On Your Device", "Adhedhasar Piranti Sampeyan"
"Languages from your native settings", "Basa saka setelan asli"
"Supported Languages", "Basa sing Didhukung"
"All the languages that assistive cards support", "Kabeh basa sing ndhukung kertu sing ndhukung"
"Text-to-Speech Voice", "Swara Teks-kanggo-Tuturan"
"Select the text-to-speech voice driver", "Pilih driver swara teks-kanggo-wicara"
"Based On Your Location", "Adhedhasar Lokasi Sampeyan"
"Voice drivers that match with both your language and location", "Supir swara sing cocog karo basa lan lokasi sampeyan"
"All Supported Voice Drivers", "Kabeh Driver Voice sing Didhukung"
"List of all accents and supported voice drivers for your language", "Dhaptar kabeh aksen lan driver swara sing didhukung kanggo basa sampeyan"
"Notifications", "Kabar"
"Choose when and why you would like to be notified by the app", "Pilih kapan lan apa sampeyan pengin dikabari app"
"Reminders", "Pangeling-eling"
"We will remind you to use and practice the app", "Kita bakal ngelingake sampeyan nggunakake lan praktek app kasebut"
"Daily Reminders", "Pangeling saben dinten"
"We will send you reminder to practice daily", "Sampeyan bakal ngirim sampeyan pangeling kanggo latihan saben dinane"
"Weekly Reminders", "Pangeling Mingguan"
"We will send you reminder to practice weekly", "Sampeyan bakal ngirim sampeyan pangeling kanggo latihan mingguan"
"Tips & Promotions", "Tips & Promosi"
"Decide if you like us to send you tips for using the app or new promotions", "Pilih yen sampeyan seneng ngirim sampeyan tips kanggo nggunakake aplikasi utawa promosi anyar"
"Usability Tips", "Tips panggunaan"
"How to effectively use the app", "Cara nggunakake app kanthi efektif"
"Promotions", "Promosi"
"Let us notify you when we have a discount for the subscription", "Ayo kita ngabari nalika duwe diskon kanggo lengganan"
"Subscriptions", "Langganan"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Ngatur lengganan lan tuku Leeloo Premium lan ngalih ing antarane rencana."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Kanggo mbatalake langganan, bukak setelan piranti utawa langganan lan langganan."
"You can't downgrade your lifetime premium subscription.", "Sampeyan ora bisa ngganggu langganan premium umur sampeyan."
"One-time payment", "Mbayar siji-wektu"
"Recurring payment", "Mbayar maneh"
"Sign Out", "Mlebu"
"Send Feedback", "Ngirim saran"
"Open Source Licenses", "Bukak Lisensi Open"
"Privacy Policy", "Kebijakan Privasi"
"Terms of Service", "Katentuan Pangginaan supados langkung Layanan"
"Remove My Data", "Mbusak Data Kula"
"Learn how we collect data and ask us to remove the collected data", "Sinau babagan carane ngempalaken data lan takon supaya mbusak data sing wis diklumpukake"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Kita ora ngempalaken Informasi Wong sing bisa dingerteni (PII) kanggo bocah, bocah cilik utawa pangguna cacat intelijen karo para wali sing ditunjuk."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "Nganggo pedoman Undhang-undhang Perlindungan Privasi Online Kanak-kanak (COPPA), sampeyan bisa njaluk kita ngilangi kabeh data anonim utawa bocah apa wae sing dikarepake."
"To learn more, read our Privacy Policy in the previous menu.", "Kanggo sinau luwih lengkap, waca Kebijakan Privasi kita ing menu sadurunge."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Yen sampeyan njaluk kita ngilangi data, kita bakal mbusak akun lan data sing diklumpukake babagan sampeyan utawa anak. Additionaly yen sampeyan duwe langganan, bakal mandhek. Lan data sing dicopot ora bisa dibalekake."
"I understand, remove my data.", "Aku ngerti, mbusak dataku."
"Parents Only", "Wong tuwa Mung"
"Drag and drop the key over padlock in order to unlock the Settings", "Seret banjur culake tombol liwat padlock supaya mbukak kunci Setelan"
"Create a profile!", "Gawe profil!"
"Choose a profile name or tell us the person who is going to use this application.", "Pilih jeneng profil utawa wenehi wong sing arep nggunakake aplikasi iki."
"Your Name", "Jeneng"
"Choose an avatar!", "Pilih avatar!"
"Choose an avatar for the person who is going to use this AAC application.", "Pilih avatar kanggo wong sing bakal nggunakake aplikasi AAC iki."
"Boy", "Bocah lanang"
"Girl", "Prawan"
"Mixed", "Campuran"
"Congratulations, $1!", "Sugeng, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Profil pangguna sampeyan wis rampung. Sampeyan bisa miwiti nggunakake aplikasi Leeloo AAC"
"Welcome to", "Welcome kanggo"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Matur nuwun kanggo download Leeloo AAC, ayo miwiti karo profil leeloo sampeyan."
"View other sign in options", "Deleng opsi liyane tandha"
"Who is using the app?", "Sapa nggunakake app?"
"Search cards and phrases...", "Nggoleki kertu lan frasa ..."
"Unlock Leeloo Premium!", "Mbukak kunci Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Fungsionalitas Leeloo AAC mesthi gratis. Leeloo Premium nawakake +50 paket Kertu Tambahan tambahan."
"Monthly", "Wulan"
"Try 3 days for FREE", "Coba 3 dina kanthi gratis"
"Then $1/year", "Banjur $1 / taun"
"Lifetime", "Sakumur urip"
"One-time Payment", "Pembayaran Siji-wektu"
"SAVE $1%", "Ngirit $1%"
"$1/mo", "$1 / mo"
"See the packs you will unlock", "Deleng bungkus sing bakal sampeyan mbukak kunci"
"Scroll the cards right to see all of the premium assistive cards.", "Gulung kertu nengen kanggo ndeleng kabeh kertu pitulung premium."
"$1 cards", "Kertu $1"
"$1 phrases", "Frasa $1"
"Start 3 days FREE Trial", "Wiwiti Uji coba 3 dina FREE"
"Cancel anytime without cost", "Batal kapan wae tanpa biaya"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "Percobaan gratis sajrone 3 dina mung ngrancang rencana tahunan lan sajrone wektu iki; sampeyan bisa mbatalake lengganan tanpa biaya."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "Priksa manawa kanggo ndeleng Sarat lan Ketentuan platform sing adol sadurunge, yen sampeyan duwe masalah utawa masalah hubungi kita lan kita bakal nindakake kabeh sing bisa kanggo ngrampungake masalah sing sampeyan adhepi."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "Rencana saben wulan lan Taun Witan ambalan lan Rencana umur Urip minangka rencana pembayaran siji-wektu, kanggo lengganan, kajaba pembaruan otomatis dipateni, sampeyan bakal dikenani rega rega nalika wektu saiki rampung."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "Elingi mbalek maneh ditangani platform lan wektu mbalekake lan kabijakan bisa beda-beda bab platform lan pasar sing sampeyan langgani."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "Laporake tumbas kanthi ora sengaja ing dina sing padha utawa paling ora 24 jam kanthi nggunakake kaca 'Kirim Komentar' ing setelan App."
"Leeloo Premium", "Premium Leeloo"
"Subscribe to get more", "Langganan kanggo njaluk liyane"
"Try 3 days for free", "Coba 3 dina gratis"
"Next", "Sabanjure"
"Start", "Miwiti"
"USE", "Gunakake"
"USING", "Nggunakake"
"ADD", "ADD"
"REMOVE", "NGEDANG"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "Piranti sampeyan ora ndhukung driver swara kanggo basa iki. Kanggo nggunakake kapabilitas TTS, sampeyan kudu nginstal driver swara. Sampeyan bisa nyoba 'Google TTS' aplikasi kanggo nginstal lan ngatur driver!"
"Confirm Sign Out", "Konfirmasi Mlebu"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "Elinga sampeyan bisa tetep mlebu, lan ora kudu mlebu akun sampeyan saben-saben."
"Remove Profile", "Mbusak profil"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "Apa sampeyan pengin mbusak profil iki, data sing digawe saka profil iki uga bakal dicopot."
"OK", "OK"
"Cancel", "Batal"
