"activities","Activities","Діяльності"
"walking","Walking","Ходьба"
"walking_2","I like walking","Мені подобається гуляти"
"walking_3","I don't like walking","Мені не подобається гуляти"
"walking_4","Do you want to walk together?","Ви хочете гуляти разом?"
"running","Running","Біг"
"running_2","I like running.","Мені подобається бігати."
"running_3","I don't like running.","Мені не подобається бігати."
"running_4","Do you want to go running?","Ви хочете бігти?"
"talking","Talking","Розмови"
"talking_2","I like talking.","Мені подобається розмовляти."
"talking_3","I don't like talking.","Мені не подобається говорити."
"talking_4","Do you want to talk with me?","Ви хочете поговорити зі мною?"
"reading","Reading","Читання"
"reading_2","I like reading.","Я люблю читати."
"reading_3","I don't like reading.","Мені не подобається читати."
"reading_4","Do you want to read together?","Ви хочете читати разом?"
"football","Football","Футбол"
"football_2","I like playing football.","Мені подобається грати у футбол."
"football_3","I don't like playing football.","Мені не подобається грати у футбол."
"football_4","Do you want to play football?","Ви хочете пограти у футбол?"
"basketball","Basketball","Баскетбол"
"basketball_2","I like playing basketball.","Мені подобається грати в баскетбол."
"basketball_3","I don't like playing basketball.","Мені не подобається грати в баскетбол."
"basketball_4","Do you want to play basketball?","Ви хочете пограти в баскетбол?"
"swimming","Swimming","Плавання"
"swimming_2","I like swimming.","Я люблю плавати."
"swimming_3","I don't like swimming.","Я не люблю плавання."
"swimming_4","Do you want to go to swimming?","Ви хочете плавати?"
"painting","Painting","Живопис"
"painting_2","I like painting.","Мені подобається живопис."
"painting_3","I don't like painting.","Я не люблю малювати."
"painting_4","Do you want to paint together?","Ви хочете малювати разом?"
"drawing","Drawing","Малювання"
"drawing_2","I like drawing.","Мені подобається малювати."
"drawing_3","I don't like drawing.","Мені не подобається малювати."
"drawing_4","Do you want to draw together?","Ви хочете малювати разом?"
"cycling","Cycling","Велоспорт"
"cycling_2","I like cycling.","Мені подобається їзда на велосипеді."
"cycling_3","I don't like cycling.","Я не люблю їздити на велосипеді."
"cycling_4","Do you want to go cycling?","Ви хочете їздити на велосипеді?"
"skating","Skating","Катання на ковзанах"
"skating_2","I like skating.","Мені подобається катання на ковзанах."
"skating_3","I don't like skating.","Я не люблю ковзани."
"skating_4","Do you want to go skating?","Ви хочете кататися на ковзанах?"
