"activities","Activities","Tevékenységek"
"walking","Walking","Walking"
"walking_2","I like walking","szeretek sétálni"
"walking_3","I don't like walking","Nem szeretem sétálni"
"walking_4","Do you want to walk together?","Szeretne együtt sétálni?"
"running","Running","Futás"
"running_2","I like running.","Szeretek futni."
"running_3","I don't like running.","Nem szeretem futni."
"running_4","Do you want to go running?","Futni akarsz?"
"talking","Talking","Beszél"
"talking_2","I like talking.","Szeretek beszélni."
"talking_3","I don't like talking.","Nem szeretek beszélni."
"talking_4","Do you want to talk with me?","Akarsz beszélni velem?"
"reading","Reading","Olvasás"
"reading_2","I like reading.","Szeretek olvasni."
"reading_3","I don't like reading.","Nem szeretek olvasni."
"reading_4","Do you want to read together?","Szeretne együtt olvasni?"
"football","Football","Futball"
"football_2","I like playing football.","Szeretek focizni."
"football_3","I don't like playing football.","Nem szeretek focizni."
"football_4","Do you want to play football?","Futballozni akarsz?"
"basketball","Basketball","Kosárlabda"
"basketball_2","I like playing basketball.","Szeretek kosárlabdázni."
"basketball_3","I don't like playing basketball.","Nem szeretem kosárlabdázni."
"basketball_4","Do you want to play basketball?","Kosárlabdázni akarsz?"
"swimming","Swimming","Úszás"
"swimming_2","I like swimming.","Szeretek úszni."
"swimming_3","I don't like swimming.","Nem szeretek úszni."
"swimming_4","Do you want to go to swimming?","Úszni akarsz úszni?"
"painting","Painting","Festés"
"painting_2","I like painting.","Szeretek festeni."
"painting_3","I don't like painting.","Nem szeretem festeni."
"painting_4","Do you want to paint together?","Szeretne együtt festeni?"
"drawing","Drawing","Rajz"
"drawing_2","I like drawing.","Szeretek rajzolni."
"drawing_3","I don't like drawing.","Nem szeretek rajzolni."
"drawing_4","Do you want to draw together?","Szeretne rajzolni?"
"cycling","Cycling","Kerékpározás"
"cycling_2","I like cycling.","Szeretem a kerékpározást."
"cycling_3","I don't like cycling.","Nem szeretem a kerékpározást."
"cycling_4","Do you want to go cycling?","Kerékpározni akarsz?"
"skating","Skating","Korcsolyázás"
