slug,locale,,,
colors,Colors,,,
crayons,Crayons,❤️I like crayons.,🙋Can you give me crayons?,🖍️I want to draw using my crayons.
red,Red,👉It is red.,💜My favorite color is red.,🙋Can you give me red paint?
blue,Blue,👉It is blue.,💜My favorite color is blue.,🙋Can you give me blue paint?
orange,Orange,👉It is orange color.,💜My favorite color is orange.,🙋Can you give me orange paint?
green,Green,👉It is green.,💜My favorite color is green.,🙋Can you give me green paint?
yellow,Yellow,👉It is yellow.,💜My favorite color is yellow.,🙋Can you give me yellow paint?
purple,Purple,👉It is purple.,💜My favorite color is purple.,🙋Can you give me purple paint?
pink,Pink,👉It is pink.,💜My favorite color is pink.,🙋Can you give me pink paint?
brown,Brown,👉It is brown.,💜My favorite color is brown.,🙋Can you give me brown paint?
black,Black,👉It is black.,💜My favorite color is black.,🙋Can you give me black paint?
white,White,👉It is white.,💜My favorite color is white.,🙋Can you give me white paint?
gray,Gray,👉It is gray.,💜My favorite color is gray.,🙋Can you give me gray paint?
transparent,Transparent,👉It is transparent.,👀I can see behind transparent color.,🙋Can you help me erase?
cyan,Cyan,👉It is cyan.,💜My favorite color is cyan.,🙋Can you give me cyan paint?
violet,Violet,👉It is violet.,💜My favorite color is violet.,🙋Can you give me violet paint?
turquoise,Turquoise,👉It is turquoise.,💜My favorite color is turquoise.,🙋Can you give me turquoise paint?
lime,Lime,👉It is lime.,💜My favorite color is lime.,🙋Can you give me lime paint?
plum,Plum,👉It is plum.,💜My favorite color is plum.,🙋Can you give me plum paint?
tan,Tan,👉It is tan color.,💜My favorite color is tan color.,🙋Can you give me tan color paint?
avocado,Avocado,👉It is avocado color.,💜My favorite color is avocado color.,🙋Can you give me avocado color paint?
barbie-pink,Barbie pink,👉It is barbie pink color.,💜My favorite color is barbie pink.,🙋Can you give me barbie pink paint?
blizzard-blue,Blizzard blue,👉It is blizzard blue color.,💜My favorite color is blizzard blue color.,🙋Can you give me blizzard blue paint?
