"activities","Activities","활동"
"walking","Walking","보행"
"walking_2","I like walking","걷는 걸 좋아해"
"walking_3","I don't like walking","걷는 걸 좋아하지 않아"
"walking_4","Do you want to walk together?","같이 걸으시겠습니까?"
"running","Running","달리는"
"running_2","I like running.","나는 달리기를 좋아한다."
"running_3","I don't like running.","나는 달리기를 좋아하지 않는다."
"running_4","Do you want to go running?","달리고 싶니?"
"talking","Talking","말하는"
"talking_2","I like talking.","나는 이야기하는 것을 좋아합니다."
"talking_3","I don't like talking.","나는 말을 좋아하지 않습니다."
"talking_4","Do you want to talk with me?","나와 대화하고 싶니?"
"reading","Reading","독서"
"reading_2","I like reading.","책 읽는 걸 좋아 해요."
"reading_3","I don't like reading.","나는 독서를 좋아하지 않습니다."
"reading_4","Do you want to read together?","같이 읽고 싶니?"
"football","Football","축구"
"football_2","I like playing football.","축구하는 것을 좋아해."
"football_3","I don't like playing football.","나는 축구를 좋아하지 않습니다."
"football_4","Do you want to play football?","당신은 축구를 하시겠습니까?"
"basketball","Basketball","농구"
"basketball_2","I like playing basketball.","나는 농구를 좋아합니다."
"basketball_3","I don't like playing basketball.","나는 농구를 좋아하지 않습니다."
"basketball_4","Do you want to play basketball?","농구하고 싶니?"
"swimming","Swimming","수영"
"swimming_2","I like swimming.","나는 수영을 좋아한다."
"swimming_3","I don't like swimming.","나는 수영을 좋아하지 않습니다."
"swimming_4","Do you want to go to swimming?","수영하러 가고 싶니?"
"painting","Painting","페인트 등"
"painting_2","I like painting.","나는 그림을 좋아합니다."
"painting_3","I don't like painting.","나는 그림을 좋아하지 않습니다."
"painting_4","Do you want to paint together?","같이 페인트 하시겠습니까?"
"drawing","Drawing","그림"
"drawing_2","I like drawing.","나는 그림을 좋아합니다."
"drawing_3","I don't like drawing.","나는 그림을 좋아하지 않습니다."
"drawing_4","Do you want to draw together?","같이 그리시겠습니까?"
"cycling","Cycling","사이클링"
"cycling_2","I like cycling.","나는 자전거 타기를 좋아한다."
