"activities","Activities","פעילויות"
"walking","Walking","הליכה"
"walking_2","I like walking","אני אוהב ללכת"
"walking_3","I don't like walking","אני לא אוהב ללכת"
"walking_4","Do you want to walk together?","האם אתה רוצה ללכת יחד?"
"running","Running","רץ"
"running_2","I like running.","אני אוהב לרוץ."
"running_3","I don't like running.","אני לא אוהב לרוץ."
"running_4","Do you want to go running?","אתה רוצה לרוץ?"
"talking","Talking","מדברים"
"talking_2","I like talking.","אני אוהב לדבר."
"talking_3","I don't like talking.","אני לא אוהב לדבר."
"talking_4","Do you want to talk with me?","האם אתה רוצה לדבר איתי?"
"reading","Reading","קריאה"
"reading_2","I like reading.","אני אוהב לקרוא."
"reading_3","I don't like reading.","אני לא אוהב לקרוא."
"reading_4","Do you want to read together?","האם אתה רוצה לקרוא יחד?"
"football","Football","כדורגל"
"football_2","I like playing football.","אני אוהב לשחק כדורגל."
"football_3","I don't like playing football.","אני לא אוהב לשחק כדורגל."
"football_4","Do you want to play football?","אתה רוצה לשחק פוטבול?"
"basketball","Basketball","כדורסל"
"basketball_2","I like playing basketball.","אני אוהב לשחק כדורסל."
"basketball_3","I don't like playing basketball.","אני לא אוהב לשחק כדורסל."
"basketball_4","Do you want to play basketball?","האם אתה רוצה לשחק כדורסל?"
"swimming","Swimming","שחייה"
"swimming_2","I like swimming.","אני אוהב לשחות."
"swimming_3","I don't like swimming.","אני לא אוהב לשחות."
"swimming_4","Do you want to go to swimming?","האם אתה רוצה ללכת לשחות?"
"painting","Painting","ציור"
"painting_2","I like painting.","אני אוהב לצייר."
"painting_3","I don't like painting.","אני לא אוהב לצייר."
"painting_4","Do you want to paint together?","האם אתה רוצה לצייר יחד?"
"drawing","Drawing","ציור"
"drawing_2","I like drawing.","אני אוהב לצייר."
"drawing_3","I don't like drawing.","אני לא אוהב לצייר."
"drawing_4","Do you want to draw together?","האם אתה רוצה לצייר יחד?"
"cycling","Cycling","רכיבה על אופניים"
"cycling_2","I like cycling.","אני אוהב לרכוב על אופניים."
"cycling_3","I don't like cycling.","אני לא אוהב רכיבה על אופניים."
"cycling_4","Do you want to go cycling?","האם אתה רוצה ללכת לאופניים?"
"skating","Skating","החלקה"
"skating_2","I like skating.","אני אוהב החלקה."
"skating_3","I don't like skating.","אני לא אוהב החלקה."
"skating_4","Do you want to go skating?","האם אתה רוצה להחליק?"
"sightseeing","Sightseeing","סיור"
"sightseeing_2","I like sightseeing.","אני אוהב סיורים."
"sightseeing_3","I don't like sightseeing.","אני לא אוהב סיורים."
"sightseeing_4","Do you want to go for sightseeing?","האם אתה רוצה לצאת לסיור?"
"video-games","Video games","משחקי וידאו"
"video-games_2","I like playing video games.","אני אוהב לשחק משחקי וידאו."
"video-games_3","I don't like playing video games.","אני לא אוהב לשחק משחקי וידאו."
"video-games_4","Do you want to play games?","האם אתה רוצה לשחק במשחקים?"
"tidying","Tidying","מסודר"
"tidying_2","I like tidying my room.","אני אוהב לסדר את החדר שלי."
"tidying_3","I don't like tidying my room.","אני לא אוהב לסדר את החדר שלי."
"tidying_4","Can you help me tidy my room?","אתה יכול לעזור לי לסדר את החדר שלי?"
"toys","Toys","צעצועים"
"toys_2","I like toys.","אני אוהב צעצועים."
"toys_3","I don't like toys.","אני לא אוהב צעצועים."
"toys_4","Do you want to play with my toys?","האם אתה רוצה לשחק עם הצעצועים שלי?"
"puzzle","Puzzle","פאזל"
"puzzle_2","I like solving puzzle.","אני אוהב לפתור חידה."
"puzzle_3","I don't like solving puzzle.","אני לא אוהב לפתור חידה."
"puzzle_4","Do you want to solve puzzles with me?","האם אתה רוצה לפתור איתי חידות?"
"comics","Comics","קומיקס"
"comics_2","I like reading comics.","אני אוהב לקרוא קומיקס."
"comics_3","I don't like reading comics.","אני לא אוהב לקרוא קומיקס."
"comics_4","Do you want to read comics?","האם אתה רוצה לקרוא קומיקס?"
"chess","Chess","שחמט"
"chess_2","I like playing chess.","אני אוהב לשחק שחמט."
"chess_3","I don't like playing chess.","אני לא אוהב לשחק שחמט."
"chess_4","Do you want to play chess with me?","האם אתה רוצה לשחק איתי שחמט?"
"using-leeloo","Using Leeloo","שימוש בליילו"
"using-leeloo_2","I like using leeloo.","אני אוהב להשתמש בליילו."
"using-leeloo_3","I don't like using leeloo.","אני לא אוהב להשתמש בליילו."
"using-leeloo_4","Can you change card packs on leeloo?","האם אתה יכול להחליף חבילות כרטיסים בליילו?"
"texting","Texting","מסרים"
"texting_2","I like texting.","אני אוהב טקסטים."
"texting_3","I don't like texting.","אני לא אוהב טקסט."
"knitting","Knitting","סריגה"
"knitting_2","I like knitting.","אני אוהבת לסרוג."
"knitting_3","I don't like knitting.","אני לא אוהב לסרוג."
"knitting_4","I want to learn how to knit.","אני רוצה ללמוד לסרוג."
"bowling","Bowling","באולינג"
"bowling_2","I like bowling.","אני אוהבת באולינג."
"bowling_3","I don't like bowling.","אני לא אוהב באולינג."
"bowling_4","Do you want to play bowling with me?","האם אתה רוצה לשחק באולינג איתי?"
"watching-tv","Watching TV","צופה בטלוויזיה"
"watching-tv_2","I like watching tv.","אני אוהב לצפות בטלוויזיה."
"watching-tv_3","I don't like watching tv.","אני לא אוהב לראות טלוויזיה."
"watching-tv_4","Do you want to watch tv?","האם אתה רוצה לראות טלוויזיה?"
"fishing","Fishing","דיג"
"fishing_2","I like fishing.","אני אוהב לדוג."
"fishing_3","I don't like fishing.","אני לא אוהב דיג."
"fishing_4","Do you want to go to fishing?","האם אתה רוצה ללכת לדוג?"
"exercising","Exercising","פעילות גופנית"
"exercising_2","I like exercising.","אני אוהבת להתעמל."
"exercising_3","I don't like exercising.","אני לא אוהב להתעמל."
"exercising_4","Do you want to exercise with me?","האם אתה רוצה להתעמל איתי?"
"tennis","Tennis","טניס"
"tennis_2","I like playing tennis.","אני אוהב לשחק טניס."
"tennis_3","I don't like playing tennis.","אני לא אוהב לשחק טניס."
"tennis_4","Do you want to play tennis with me?","האם אתה רוצה לשחק איתי טניס?"
"animals","Animals","בעלי חיים"
"cat","Cat","חתול"
"cat_2","I like cats.","אני אוהב חתולים."
"cat_3","I saw a cat.","ראיתי חתול."
"cat_4","What noise does a cat make?","איזה רעש עושה חתול?"
"cat_5","Can we get a cat as pet?","האם נוכל להביא חתול כחיית מחמד?"
"dog","Dog","כלב"
"dog_2","I like dog.","אני אוהב כלב."
"dog_3","I saw a dog.","ראיתי כלב."
"dog_4","What noise does a dog make?","איזה רעש כלב משמיע?"
"dog_5","Can we get a dog as pet?","האם נוכל להביא כלב כחיית מחמד?"
"fish","Fish","דג"
"fish_2","I like fish.","אני אוהב דגים."
"fish_3","I saw a fish.","ראיתי דג."
"fish_4","What noise does a fish make?","איזה רעש עושה דג?"
"fish_5","Can we get a fish as pet?","האם נוכל להשיג דג כחיית מחמד?"
"rabbit","Rabbit","ארנב"
"rabbit_2","I like rabbits.","אני אוהב ארנבים."
"rabbit_3","I saw a rabbit.","ראיתי ארנב."
"rabbit_4","What noise does a rabbit make?","איזה רעש עושה ארנב?"
"rabbit_5","Can we get a rabbit as pet?","האם נוכל להשיג ארנב כחיית מחמד?"
"butterfly","Butterfly","פרפר"
"butterfly_2","I like butterflies.","אני אוהב פרפרים."
"butterfly_3","I saw a butterfly.","ראיתי פרפר."
"butterfly_4","What noise does a butterfly make?","איזה רעש עושה פרפר?"
"kangaroo","Kangaroo","קנגרו"
"kangaroo_2","I like kangaroos.","אני אוהב קנגורואים."
"kangaroo_3","I saw a kangaroo.","ראיתי קנגורו."
"kangaroo_4","What noise does a kangaroo make?","איזה רעש קנגורו משמיע?"
"turtle","Turtle","צב"
"turtle_2","I like turtles.","אני אוהב צבים."
"turtle_3","I saw a turtle.","ראיתי צב."
"turtle_4","What noise does a turtle make?","איזה רעש עושה צב?"
"giraffe","Giraffe","ג'ירפה"
"giraffe_2","I like giraffes.","אני אוהב ג'ירפות."
"giraffe_3","I saw a giraffe.","ראיתי ג'ירפה."
"giraffe_4","What noise does a giraffe make?","איזה רעש עושה ג'ירפה?"
"frog","Frog","צפרדע"
"frog_2","I like frogs.","אני אוהב צפרדעים."
"frog_3","I saw a frog.","ראיתי צפרדע."
"frog_4","What noise does a frog make?","איזה רעש עושה צפרדע?"
"swan","Swan","ברבור"
"swan_2","I like swans.","אני אוהב ברבורים."
"swan_3","I saw a swan.","ראיתי ברבור."
"swan_4","What noise does a swan make?","איזה רעש עושה ברבור?"
"spider","Spider","עכביש"
