"Leeloo", "Leeloo"
"Hello $1", "हैलो $1"
"$1 packs", "$1 पैक"
"$1 cards", "$1 के कार्ड"
"ACTIVE", "सक्रिय"
"This is a test voice!", "यह एक टेस्ट वॉयस है!"
"New Profile", "नई प्रोफ़ाइल"
"Create a new application user profile.", "एक नया एप्लिकेशन उपयोगकर्ता प्रोफ़ाइल बनाएं।"
"Profile Name", "प्रोफ़ाइल नाम"
"You can give your child's name", "आप अपने बच्चे का नाम दे सकते हैं"
"Profile Avatar", "प्रोफ़ाइल अवतार"
"Choose an avatar that looks like the user of this profile", "एक अवतार चुनें जो इस प्रोफ़ाइल के उपयोगकर्ता की तरह दिखता है"
"Assistive Cards Packs", "सहायक कार्ड पैक"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "हम इस प्रोफ़ाइल के लिए डिफ़ॉल्ट कार्ड सेट करेंगे। बनाने के बाद आप सहायक कार्ड पैक को जोड़ या हटा सकते हैं"
"Change Avatar", "अवतार परिवर्तन"
"Choose an avatar to symbolize this profile", "इस प्रोफ़ाइल का प्रतीक अवतार चुनें"
"My Account", "मेरा खाता"
"Make changes to the owner of this account.", "इस खाते के स्वामी में परिवर्तन करें।"
"Your Name", "आपका नाम"
"Name of account handler or parent", "अकाउंट हैंडलर या माता-पिता का नाम"
"Email Address", "ईमेल पता"
"We will send updates and analytics", "हम अपडेट और एनालिटिक्स भेजेंगे"
"Account ID", "खाता पहचान"
"This is an unchangeable ID we might ask from you", "यह एक अपरिवर्तनीय आईडी है जो हम आपसे पूछ सकते हैं"
"Language", "भाषा: हिन्दी"
"Choose the language for app interface and assistive cards", "ऐप इंटरफेस और सहायक कार्ड के लिए भाषा चुनें"
"Based On Your Device", "आपके डिवाइस के आधार पर"
"Languages from your native settings", "अपनी मूल सेटिंग्स से भाषाएँ"
"Supported Languages", "समर्थित भाषाएँ"
"All the languages that assistive cards support", "सभी भाषाएँ जो सहायक कार्ड का समर्थन करती हैं"
"Text-to-Speech Voice", "टेक्स्ट-टू-स्पीच वॉयस"
"Select the text-to-speech voice driver", "टेक्स्ट-टू-स्पीच वॉयस ड्राइवर का चयन करें"
"Based On Your Location", "आपके स्थान के आधार पर"
"Voice drivers that match with both your language and location", "वॉइस ड्राइवर जो आपकी भाषा और स्थान दोनों से मेल खाते हैं"
"All Supported Voice Drivers", "सभी समर्थित वॉयस ड्राइवर"
"List of all accents and supported voice drivers for your language", "आपकी भाषा के लिए सभी लहजे और समर्थित आवाज चालकों की सूची"
"Notifications", "सूचनाएं"
"Choose when and why you would like to be notified by the app", "चुनें कि आपको कब और क्यों ऐप द्वारा सूचित किया जाना है"
"Reminders", "अनुस्मारक"
"We will remind you to use and practice the app", "हम आपको ऐप का उपयोग और अभ्यास करने के लिए याद दिलाएंगे"
"Daily Reminders", "दैनिक अनुस्मारक"
"We will send you reminder to practice daily", "हम आपको दैनिक अभ्यास करने के लिए अनुस्मारक भेजेंगे"
"Weekly Reminders", "साप्ताहिक स्मरण"
"We will send you reminder to practice weekly", "हम आपको साप्ताहिक अभ्यास करने के लिए अनुस्मारक भेजेंगे"
"Tips & Promotions", "युक्तियाँ और प्रचार"
"Decide if you like us to send you tips for using the app or new promotions", "यदि आप हमें पसंद करते हैं तो एप्लिकेशन या नए प्रचार का उपयोग करने के लिए सुझाव भेजें"
"Usability Tips", "प्रयोज्य युक्तियाँ"
"How to effectively use the app", "प्रभावी रूप से ऐप का उपयोग कैसे करें"
"Promotions", "प्रचार"
"Let us notify you when we have a discount for the subscription", "जब हम सदस्यता के लिए छूट रखते हैं, तो आपको सूचित करते हैं"
"Subscriptions", "सदस्यता"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "अपने सब्सक्रिप्शन और लीलो प्रीमियम खरीद को प्रबंधित करें और योजनाओं के बीच स्विच करें।"
