"activities","Activities","toiminta"
"walking","Walking","Kävely"
"walking_2","I like walking","Pidän kävelystä"
"walking_3","I don't like walking","En pidä kävelystä"
"walking_4","Do you want to walk together?","Haluatko kävellä yhdessä?"
"running","Running","Running"
"running_2","I like running.","Pidän juoksemisesta."
"running_3","I don't like running.","En pidä juoksemisesta."
"running_4","Do you want to go running?","Haluatko mennä juoksemiseen?"
"talking","Talking","Puhuminen"
"talking_2","I like talking.","Tykkään puhua."
"talking_3","I don't like talking.","En pidä puhumisesta."
"talking_4","Do you want to talk with me?","Haluatko puhua kanssani?"
"reading","Reading","lukeminen"
"reading_2","I like reading.","Pidän lukemisesta."
"reading_3","I don't like reading.","En pidä lukemisesta."
"reading_4","Do you want to read together?","Haluatko lukea yhdessä?"
"football","Football","Jalkapallo"
"football_2","I like playing football.","Pidän jalkapallon pelaamisesta."
"football_3","I don't like playing football.","En halua pelata jalkapalloa."
"football_4","Do you want to play football?","Haluatko pelata jalkapalloa?"
"basketball","Basketball","Koripallo"
"basketball_2","I like playing basketball.","Pidän koripalloa."
"basketball_3","I don't like playing basketball.","En halua pelata koripalloa."
"basketball_4","Do you want to play basketball?","Haluatko pelata koripalloa?"
"swimming","Swimming","Uima"
"swimming_2","I like swimming.","Pidän uimisesta."
"swimming_3","I don't like swimming.","En pidä uinnista."
"swimming_4","Do you want to go to swimming?","Haluatko mennä uimaan?"
"painting","Painting","Maalaus"
"painting_2","I like painting.","Pidän maalaamisesta."
"painting_3","I don't like painting.","En pidä maalaamisesta."
"painting_4","Do you want to paint together?","Haluatko maalata yhdessä?"
"drawing","Drawing","Piirustus"
"drawing_2","I like drawing.","Pidän piirtämisestä."
"drawing_3","I don't like drawing.","En pidä piirtämisestä."
"drawing_4","Do you want to draw together?","Haluatko piirtää yhdessä?"
"cycling","Cycling","Pyöräily"
"cycling_2","I like cycling.","Pidän pyöräilystä."
"cycling_3","I don't like cycling.","En pidä pyöräilystä."
"cycling_4","Do you want to go cycling?","Haluatko mennä pyöräilyyn?"
"skating","Skating","Luistelu"
"skating_2","I like skating.","Pidän luistelusta."
"skating_3","I don't like skating.","En pidä luistelusta."
"skating_4","Do you want to go skating?","Haluatko mennä luisteluun?"
"sightseeing","Sightseeing","Kiertoajelu"
"sightseeing_2","I like sightseeing.","Pidän nähtävyyksistä."
"sightseeing_3","I don't like sightseeing.","En pidä nähtävyyksistä."
"sightseeing_4","Do you want to go for sightseeing?","Haluatko käydä nähtävyyksissä?"
"video-games","Video games","Videopelit"
"video-games_2","I like playing video games.","Pidän videopelien pelaamisesta."
"video-games_3","I don't like playing video games.","En pidä videopelien pelaamisesta."
"video-games_4","Do you want to play games?","Haluatko pelata pelejä?"
"tidying","Tidying","siistiminen"
"tidying_2","I like tidying my room.","Tykkään siivota huoneeni."
"tidying_3","I don't like tidying my room.","En halua siivota huoneeni."
"tidying_4","Can you help me tidy my room?","Voitko auttaa minua siivoamaan huoneeni?"
"toys","Toys","lelut"
