"activities","Activities","faaliyetler"
"walking","Walking","Yürüme"
"walking_2","I like walking","yürümeyi severim"
"walking_3","I don't like walking","Yürümeyi sevmiyorum"
"walking_4","Do you want to walk together?","Birlikte yürümek ister misin?"
"running","Running","Koşu"
"running_2","I like running.","Koşmayı severim."
"running_3","I don't like running.","Koşmayı sevmiyorum."
"running_4","Do you want to go running?","Koşmaya gitmek ister misin?"
"talking","Talking","konuşma"
"talking_2","I like talking.","Konuşmayı seviyorum."
"talking_3","I don't like talking.","Konuşmayı sevmiyorum."
"talking_4","Do you want to talk with me?","Benimle konuşmak ister misin"
"reading","Reading","Okuma"
"reading_2","I like reading.","Okumayı severim."
"reading_3","I don't like reading.","Okumayı sevmem."
"reading_4","Do you want to read together?","Birlikte okumak ister misiniz?"
"football","Football","Futbol"
"football_2","I like playing football.","Futbol oynamayı severim."
"football_3","I don't like playing football.","Futbol oynamayı sevmiyorum."
"football_4","Do you want to play football?","Futbol oynamak istiyor musun?"
"basketball","Basketball","Basketbol"
"basketball_2","I like playing basketball.","Ben basketbol oynamayı severim."
"basketball_3","I don't like playing basketball.","Basketbol oynamayı sevmiyorum."
"basketball_4","Do you want to play basketball?","Basketbol oynamak ister misin?"
"swimming","Swimming","Yüzme"
"swimming_2","I like swimming.","Yüzmeyi severim."
"swimming_3","I don't like swimming.","Yüzmeyi sevmiyorum."
"swimming_4","Do you want to go to swimming?","Yüzmeye gitmek ister misin?"
"painting","Painting","Boyama"
"painting_2","I like painting.","Resmi seviyorum."
"painting_3","I don't like painting.","Resim yapmayı sevmem."
"painting_4","Do you want to paint together?","Birlikte boyamak ister misiniz?"
"drawing","Drawing","Çizim"
"drawing_2","I like drawing.","Çizmeyi severim."
"drawing_3","I don't like drawing.","Çizmeyi sevmiyorum."
"drawing_4","Do you want to draw together?","Birlikte çizmek ister misiniz?"
"cycling","Cycling","Bisiklet sürmek"
"cycling_2","I like cycling.","Bisiklet sürmeyi severim."
"cycling_3","I don't like cycling.","Bisiklet sürmeyi sevmiyorum."
"cycling_4","Do you want to go cycling?","Bisiklete binmek ister misin?"
"skating","Skating","Paten kaymak"
"skating_2","I like skating.","Pateni severim."
"skating_3","I don't like skating.","Paten yapmayı sevmiyorum."
"skating_4","Do you want to go skating?","Buz pateni yapmak ister misin?"
"sightseeing","Sightseeing","Gezi"
"sightseeing_2","I like sightseeing.","Gezmeyi seviyorum."
"sightseeing_3","I don't like sightseeing.","Gezmeyi sevmiyorum."
"sightseeing_4","Do you want to go for sightseeing?","Gezmeye gitmek ister misiniz?"
"video-games","Video games","Video oyunları"
"video-games_2","I like playing video games.","Video oyunları oynamayı seviyorum."
"video-games_3","I don't like playing video games.","Video oyunları oynamayı sevmiyorum."
"video-games_4","Do you want to play games?","Oyun oynamak ister misin?"
"tidying","Tidying","toplama"
"tidying_2","I like tidying my room.","Odamı toplamaktan hoşlanıyorum."
"tidying_3","I don't like tidying my room.","Odamı toplamaktan hoşlanmıyorum."
"tidying_4","Can you help me tidy my room?","Odamı temizlememe yardım edebilir misin?"
"toys","Toys","Oyuncak"
"toys_2","I like toys.","Oyuncakları severim."
"toys_3","I don't like toys.","Oyuncakları sevmiyorum."
"toys_4","Do you want to play with my toys?","Oyuncaklarımla oynamak ister misin?"
"puzzle","Puzzle","Bulmaca"
"puzzle_2","I like solving puzzle.","Bulmaca çözmeyi seviyorum."
"puzzle_3","I don't like solving puzzle.","Bulmaca çözmeyi sevmiyorum."
"puzzle_4","Do you want to solve puzzles with me?","Benimle bulmaca çözmek ister misin?"
"comics","Comics","Karikatürler"
"comics_2","I like reading comics.","Çizgi roman okumayı seviyorum."
"comics_3","I don't like reading comics.","Çizgi roman okumayı sevmiyorum."
"comics_4","Do you want to read comics?","Çizgi roman okumak ister misin?"
"chess","Chess","Satranç"
"chess_2","I like playing chess.","Satranç oynamayı seviyorum."
"chess_3","I don't like playing chess.","Satranç oynamayı sevmiyorum."
"chess_4","Do you want to play chess with me?","Benimle satranç oynamak ister misin?"
"using-leeloo","Using Leeloo","Leeloo kullanma"
"using-leeloo_2","I like using leeloo.","Leeloo kullanmayı seviyorum."
"using-leeloo_3","I don't like using leeloo.","Leeloo kullanmayı sevmiyorum."
"using-leeloo_4","Can you change card packs on leeloo?","Leeloo'daki kart paketlerini değiştirebilir misiniz?"
"texting","Texting","Mesajlaşmak"
"texting_2","I like texting.","Manifatura bayılıyorum."
"texting_3","I don't like texting.","Mesajlaşmayı sevmiyorum."
"knitting","Knitting","örme"
"knitting_2","I like knitting.","Örmeyi seviyorum."
"knitting_3","I don't like knitting.","Örmeyi sevmiyorum."
"knitting_4","I want to learn how to knit.","Nasıl örüleceğini öğrenmek istiyorum."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Bowlingi severim."
"bowling_3","I don't like bowling.","Bowling yapmayı sevmem."
"bowling_4","Do you want to play bowling with me?","Benimle bowling oynamak ister misin?"
"watching-tv","Watching TV","TV izleme"
"watching-tv_2","I like watching tv.","Televizyon izlemeyi severim."
"watching-tv_3","I don't like watching tv.","Televizyon izlemeyi sevmiyorum."
"watching-tv_4","Do you want to watch tv?","Televizyon izlemek istiyor musun?"
"fishing","Fishing","Balık tutma"
"fishing_2","I like fishing.","Balık tutmayı severim."
"fishing_3","I don't like fishing.","Balık tutmayı sevmem."
"fishing_4","Do you want to go to fishing?","Balık tutmaya gitmek ister misin?"
"exercising","Exercising","Egzersiz"
"exercising_2","I like exercising.","Egzersiz yapmayı seviyorum."
"exercising_3","I don't like exercising.","Egzersiz yapmayı sevmiyorum."
"exercising_4","Do you want to exercise with me?","Benimle egzersiz yapmak ister misin?"
"tennis","Tennis","Tenis"
"tennis_2","I like playing tennis.","Tenis oynamayı severim."
"tennis_3","I don't like playing tennis.","Tenis oynamayı sevmiyorum."
"tennis_4","Do you want to play tennis with me?","Benimle tenis oynamak ister misin?"
"animals","Animals","Hayvanlar"
"cat","Cat","Kedi"
"cat_2","I like cats.","Kedileri severim."
"cat_3","I saw a cat.","Bir kedi gördüm."
"cat_4","What noise does a cat make?","Bir kedi ne ses çıkarır?"
"cat_5","Can we get a cat as pet?","Bir kediyi evcil hayvan olarak alabilir miyiz?"
"dog","Dog","Köpek"
"dog_2","I like dog.","Köpekleri severim."
"dog_3","I saw a dog.","Bir köpek gördüm."
"dog_4","What noise does a dog make?","Bir köpek ne ses çıkarır?"
"dog_5","Can we get a dog as pet?","Bir köpeği evcil hayvan olarak alabilir miyiz?"
"fish","Fish","Balık"
"fish_2","I like fish.","Balık severim."
"fish_3","I saw a fish.","Bir balık gördüm."
"fish_4","What noise does a fish make?","Bir balık ne ses çıkarır?"
"fish_5","Can we get a fish as pet?","Evcil hayvan olarak balık bulabilir miyiz?"
"rabbit","Rabbit","Tavşan"
"rabbit_2","I like rabbits.","Tavşanları severim."
"rabbit_3","I saw a rabbit.","Bir tavşan gördüm."
"rabbit_4","What noise does a rabbit make?","Bir tavşan ne ses çıkarır?"
"rabbit_5","Can we get a rabbit as pet?","Evcil hayvan olarak bir tavşan bulabilir miyiz?"
"butterfly","Butterfly","Kelebek"
"butterfly_2","I like butterflies.","Kelebekleri severim."
"butterfly_3","I saw a butterfly.","Bir kelebek gördüm."
"butterfly_4","What noise does a butterfly make?","Bir kelebek ne ses çıkarır?"
"kangaroo","Kangaroo","kanguru"
"kangaroo_2","I like kangaroos.","Kanguruları severim."
"kangaroo_3","I saw a kangaroo.","Bir kanguru gördüm."
"kangaroo_4","What noise does a kangaroo make?","Bir kanguru ne gürültü yapıyor?"
"turtle","Turtle","Kaplumbağa"
"turtle_2","I like turtles.","Kaplumbağaları severim."
"turtle_3","I saw a turtle.","Bir kaplumbağa gördüm."
"turtle_4","What noise does a turtle make?","Bir kaplumbağa ne ses çıkarır?"
"giraffe","Giraffe","Zürafa"
"giraffe_2","I like giraffes.","Zürafaları severim."
"giraffe_3","I saw a giraffe.","Bir zürafa gördüm."
"giraffe_4","What noise does a giraffe make?","Bir zürafa hangi sesi çıkarır?"
"frog","Frog","Kurbağa"
"frog_2","I like frogs.","Kurbağaları severim."
"frog_3","I saw a frog.","Bir kurbağa gördüm."
"frog_4","What noise does a frog make?","Bir kurbağa ne gürültü yapar?"
"swan","Swan","Kuğu"
"swan_2","I like swans.","Kuğuları severim."
"swan_3","I saw a swan.","Bir kuğu gördüm."
"swan_4","What noise does a swan make?","Bir kuğu hangi sesi çıkarır?"
"spider","Spider","Örümcek"
"spider_2","I like spiders.","Örümcekleri severim."
"spider_3","I saw a spider.","Bir örümcek gördüm."
"spider_4","What noise does a spider make?","Bir örümcek ne ses çıkarır?"
"cow","Cow","İnek"
"cow_2","I like cows.","İnekleri severim."
"cow_3","I saw a cow.","Bir inek gördüm."
"cow_4","What noise does a cow make?","Bir inek ne ses çıkarır?"
"duck","Duck","ördek"
"duck_2","I like ducks.","Ördekleri severim."
"duck_3","I saw a duck.","Ördek gördüm."
"duck_4","What noise does a duck make?","Bir ördek ne ses çıkarır?"
"horse","Horse","At"
"horse_2","I like horses.","Atları severim."
"horse_3","I saw a horse.","Bir at gördüm."
"horse_4","What noise does a horse make?","Bir at ne ses çıkarır?"
"chicken","Chicken","Tavuk"
"chicken_2","I like chickens.","Tavukları severim."
