"activities","Activities","කටයුතු"
"walking","Walking","ඇවිදීම"
"walking_2","I like walking","මම ඇවිදින්න කැමතියි"
"walking_3","I don't like walking","මම ඇවිදින්න කැමති නැහැ"
"walking_4","Do you want to walk together?","ඔබට එකට ගමන් කිරීමට අවශ්‍යද?"
"running","Running","ධාවනය"
"running_2","I like running.","මම දුවන්න කැමතියි."
"running_3","I don't like running.","මම දුවන්න කැමති නැහැ."
"running_4","Do you want to go running?","ඔබට දුවන්නට අවශ්‍යද?"
"talking","Talking","කතා කිරීම"
"talking_2","I like talking.","මම කතා කරන්න කැමතියි."
"talking_3","I don't like talking.","මම කතා කරන්න කැමති නැහැ."
"talking_4","Do you want to talk with me?","ඔබට මා සමඟ කතා කිරීමට අවශ්‍යද?"
"reading","Reading","කියවීම"
"reading_2","I like reading.","මම කියවන්න කැමතියි."
"reading_3","I don't like reading.","මම කියවීමට කැමති නැත."
"reading_4","Do you want to read together?","ඔබට එකට කියවීමට අවශ්‍යද?"
"football","Football","පාපන්දු"
"football_2","I like playing football.","මම පාපන්දු ක්‍රීඩා කිරීමට කැමතියි."
"football_3","I don't like playing football.","මම පාපන්දු ක්‍රීඩා කිරීමට කැමති නැහැ."
"football_4","Do you want to play football?","ඔබට පාපන්දු ක්‍රීඩා කිරීමට අවශ්‍යද?"
"basketball","Basketball","පැසිපන්දු"
"basketball_2","I like playing basketball.","මම පැසිපන්දු ක්‍රීඩා කිරීමට කැමතියි."
"basketball_3","I don't like playing basketball.","මම පැසිපන්දු ක්‍රීඩා කිරීමට කැමති නැත."
"basketball_4","Do you want to play basketball?","ඔබට පැසිපන්දු ක්‍රීඩා කිරීමට අවශ්‍යද?"
"swimming","Swimming","පිහිනීම"
"swimming_2","I like swimming.","පිහිනුමට මා කැමතිය."
"swimming_3","I don't like swimming.","මම පිහිනීමට කැමති නැහැ."
"swimming_4","Do you want to go to swimming?","ඔබට පිහිනීමට යාමට අවශ්‍යද?"
"painting","Painting","පින්තාරු කිරීම"
"painting_2","I like painting.","මම පින්තාරු කිරීමට කැමතියි."
"painting_3","I don't like painting.","මම පින්තාරු කිරීමට කැමති නැහැ."
"painting_4","Do you want to paint together?","ඔබට එකට තීන්ත ආලේප කිරීමට අවශ්‍යද?"
"drawing","Drawing","ඇඳීම"
"drawing_2","I like drawing.","මම කැමති චිත්ර අඳින්න."
"drawing_3","I don't like drawing.","මම චිත්‍ර ඇඳීමට කැමති නැත."
"drawing_4","Do you want to draw together?","ඔබට එකට ඇඳීමට අවශ්‍යද?"
"cycling","Cycling","පාපැදි පැදීම"
"cycling_2","I like cycling.","මම බයිසිකල් පැදීමට කැමතියි."
"cycling_3","I don't like cycling.","මම බයිසිකල් පැදීමට කැමති නැත."
"cycling_4","Do you want to go cycling?","ඔබට බයිසිකල් පැදීමට අවශ්‍යද?"
"skating","Skating","ස්කේටිං"
"skating_2","I like skating.","මම ලිස්සා යෑමට කැමතියි."
"skating_3","I don't like skating.","මම ලිස්සා යෑමට කැමති නැහැ."
"skating_4","Do you want to go skating?","ඔබට ස්කේටිං යන්න අවශ්‍යද?"
"sightseeing","Sightseeing","දර්ශන නැරඹීම"
"sightseeing_2","I like sightseeing.","මම දර්ශන නැරඹීමට කැමතියි."
"sightseeing_3","I don't like sightseeing.","මම දර්ශන නැරඹීමට කැමති නැහැ."
